,num,length,response,context_length,name
0,1,17,3.1713915,8,0
1,2,9,1.5852861,8,0
2,3,58,2.2075477,35,0
3,4,43,2.26018,6,0
4,5,58,3.8283005,10,0
5,6,70,3.218604,7,0
6,7,26,0.4309734,22,0
7,8,23,0.6310761,22,0
8,9,40,3.0714443,8,0
9,10,55,0.65226513,52,0
10,11,14,0.95598423,13,0
11,12,20,2.4188645,9,0
12,13,30,0.44707888,25,0
13,14,28,3.7572353,7,0
14,15,38,3.4078608,9,0
15,16,23,4.692859,7,0
16,17,29,0.3898042,26,0
17,18,36,0.32293823,33,0
18,19,33,4.0979624,7,0
19,1,14,0.82472163,13,1
20,2,21,3.4377615,8,1
21,3,19,1.6884578,15,1
22,4,24,4.286189,8,1
23,5,44,3.8041027,8,1
24,6,2,3.065372,81,1
25,7,10,3.6352336,5,1
26,8,15,0.9604238,14,1
27,9,10,1.0065029,7,1
28,10,18,0.74306446,16,1
29,11,28,3.167932,8,1
30,12,4,8.801063,0,1
31,13,10,2.9534261,6,1
32,14,21,3.8983164,12,1
33,15,31,4.055117,9,1
34,16,7,2.371715,11,1
35,17,14,1.878438,12,1
36,18,24,2.693425,5,1
37,19,46,3.974046,9,1
38,20,32,0.4414784,33,1
39,21,28,4.0363803,8,1
40,22,37,3.5127065,9,1
41,23,22,2.4025257,7,1
42,24,20,3.559032,9,1
43,25,27,3.5461695,14,1
44,26,26,3.6671724,8,1
45,27,15,1.0132262,12,1
46,28,24,0.4314532,22,1
47,29,8,3.0152626,8,1
48,30,26,3.8684316,8,1
49,31,46,3.4771318,12,1
50,32,20,2.804995,9,1
51,33,5,1.9978691,22,1
52,1,38,3.4488118,11,2
53,2,32,3.672799,8,2
54,3,20,2.4461572,13,2
55,4,43,4.17497,9,2
56,5,99,2.1575105,49,2
57,6,27,4.3274965,8,2
58,7,26,4.3320327,14,2
59,1,32,0.4403299,31,3
60,2,71,2.143862,7,3
61,3,62,2.4183824,7,3
62,4,55,2.24211,8,3
63,5,21,0.6783686,20,3
64,6,63,1.7574961,9,3
65,7,138,2.1901333,14,3
66,8,3,3.8239753,99,3
67,9,8,1.8828458,4,3
68,10,9,3.542546,7,3
69,11,98,2.8758588,10,3
70,12,52,1.8405745,30,3
71,1,24,2.0257964,13,4
72,2,42,3.1371837,14,4
73,3,89,3.9167664,15,4
74,4,33,4.7601247,11,4
75,5,34,3.5061653,15,4
76,6,54,4.5217776,16,4
77,7,54,3.8164277,10,4
78,8,37,1.1228012,33,4
79,9,18,2.0703485,16,4
80,10,59,2.306653,43,4
81,11,56,3.147621,20,4
82,12,42,3.659467,14,4
83,13,54,3.5519032,16,4
84,14,40,3.8541832,22,4
85,1,37,3.669172,10,5
86,2,30,1.8804016,20,5
87,3,46,3.9331787,13,5
88,4,19,1.3464214,17,5
89,5,8,4.8740373,0,5
90,6,33,2.497671,17,5
91,7,34,2.7385507,16,5
92,8,32,2.3591928,35,5
93,9,49,3.342613,15,5
94,10,40,3.9221358,11,5
95,11,43,0.75618243,35,5
96,12,18,0.76382905,17,5
97,13,20,0.65310055,31,5
98,14,16,0.6150049,36,5
99,15,11,1.1722894,10,5
100,16,45,1.8382055,36,5
101,17,26,3.7320733,12,5
102,18,4,7.3678017,50,5
103,19,38,3.497663,11,5
104,20,34,3.661734,7,5
105,21,35,3.6078358,12,5
106,22,19,2.1631894,23,5
107,1,2,8.1832485,4,6
108,2,18,3.009272,10,6
109,3,21,0.85220623,25,6
110,4,2,5.7809052,1,6
111,5,30,4.1927595,9,6
112,6,2,8.220543,13,6
113,7,48,0.5757689,55,6
114,8,25,2.4695861,11,6
115,9,2,11.8147335,0,6
116,10,22,0.64700806,21,6
117,11,60,2.8648236,16,6
118,12,98,2.8391635,11,6
119,13,49,1.4240893,25,6
120,14,27,2.4958348,15,6
121,15,30,0.7187322,26,6
122,16,33,3.590696,12,6
123,17,2,3.7634487,1,6
124,18,35,2.1944113,27,6
125,19,71,3.2611275,12,6
126,20,55,2.8630283,16,6
127,1,33,0.71599454,26,7
128,2,28,3.53391,12,7
129,3,22,0.8426966,21,7
130,4,21,1.1236638,30,7
131,5,18,3.015975,10,7
132,6,16,2.7332094,8,7
133,7,12,1.1556555,11,7
134,8,11,1.0978268,10,7
135,9,75,2.5999618,7,7
136,10,25,1.6315005,22,7
137,11,48,3.5397599,11,7
138,12,12,1.8919774,13,7
139,13,39,1.6375288,25,7
140,14,19,1.9523551,18,7
141,15,57,2.7953053,9,7
142,16,72,3.763069,8,7
143,17,60,2.1340954,18,7
144,18,16,3.1725664,6,7
145,19,16,1.9622593,12,7
146,20,14,2.5830033,10,7
147,21,14,1.021242,12,7
148,22,13,2.0455468,11,7
149,1,20,1.075076,18,8
150,2,38,3.1273565,12,8
151,3,12,4.5666614,3,8
152,4,2,12.667662,0,8
153,5,2,2.7071025,1,8
154,6,7,2.2925482,2,8
155,7,36,0.85327464,28,8
156,8,47,3.8368871,8,8
157,9,38,3.7965865,11,8
158,10,8,2.1515367,8,8
159,11,64,3.651065,51,8
160,12,8,1.9169232,3,8
161,13,46,3.925298,8,8
162,14,2,12.667662,0,8
163,15,2,2.7071025,1,8
164,16,7,4.1556273,1,8
165,17,25,3.4256396,6,8
166,18,35,3.706214,6,8
167,19,19,0.6988361,18,8
168,20,19,0.45354337,35,8
169,21,14,1.0119082,22,8
170,22,46,0.5652698,38,8
171,23,39,1.7560614,34,8
172,24,21,0.46277994,32,8
173,25,10,2.5228167,5,8
174,26,3,2.0029793,2,8
175,27,43,1.7435535,46,8
176,28,44,1.3520457,58,8
177,29,8,2.222048,3,8
178,1,20,2.8733451,8,9
179,2,34,3.2944632,15,9
180,3,26,3.449158,6,9
181,4,28,1.1457047,33,9
182,5,16,3.8208456,10,9
183,6,33,3.8065264,7,9
184,7,13,1.9617802,14,9
185,8,26,3.813107,9,9
186,9,36,3.510029,11,9
187,10,20,2.5591338,17,9
188,11,50,1.4701717,46,9
189,12,30,3.6387606,8,9
190,13,39,2.5166006,6,9
191,14,24,2.2513046,16,9
192,15,29,4.7282376,7,9
193,16,11,3.7653785,5,9
194,17,59,2.9960093,9,9
195,18,12,2.030911,15,9
196,19,26,0.870535,21,9
197,20,19,4.3100176,7,9
198,21,12,1.8714088,11,9
199,22,33,3.42893,15,9
200,23,40,4.6828794,8,9
201,1,41,3.4303145,12,10
202,2,42,3.3101213,13,10
203,3,18,3.3077674,8,10
204,4,22,4.3984814,7,10
205,5,18,3.5729759,4,10
206,6,9,3.15267,0,10
207,7,22,3.7191906,10,10
208,8,20,1.0203211,23,10
209,9,17,3.5391395,10,10
210,10,24,0.94283104,23,10
211,11,21,2.2247472,15,10
212,12,22,1.804524,13,10
213,13,27,4.4599605,8,10
214,14,23,3.2803411,7,10
215,15,18,0.8760362,17,10
216,16,16,2.6666896,14,10
217,17,22,0.82560843,21,10
218,18,16,2.346963,12,10
219,19,24,2.486256,12,10
220,20,22,3.22508,17,10
221,21,22,3.7125785,11,10
222,22,15,0.87417376,14,10
223,23,14,2.471137,9,10
224,24,17,4.60849,8,10
225,25,27,3.3169024,10,10
226,26,13,2.3521497,12,10
227,27,29,4.031334,10,10
228,28,6,2.7884545,2,10
229,29,14,3.9087055,7,10
230,30,21,3.6415057,7,10
231,31,11,3.366053,7,10
232,1,125,1.8149822,8,11
233,2,36,3.0208569,8,11
234,3,25,1.9413668,6,11
235,4,25,1.5331647,12,11
236,5,65,1.8099762,41,11
237,6,114,2.5776834,14,11
238,7,22,1.5889908,17,11
239,8,19,2.0962243,6,11
240,9,38,4.0854793,7,11
241,10,27,0.649561,21,11
242,11,18,3.8720262,9,11
243,12,23,2.245634,11,11
244,13,11,2.191443,25,11
245,14,11,1.6859974,7,11
246,15,2,12.807602,0,11
247,16,17,5.3171134,11,11
248,1,26,1.5954133,8,12
249,2,40,3.333489,10,12
250,3,26,3.3233387,7,12
251,4,17,2.0261688,12,12
252,5,21,2.7430634,14,12
253,6,25,2.7672637,11,12
254,7,19,4.020455,9,12
255,8,12,2.3015273,11,12
256,9,22,0.7426105,19,12
257,10,23,4.7565813,0,12
258,11,16,2.7760916,6,12
259,12,15,0.6415169,11,12
260,13,8,2.4179826,12,12
261,14,20,1.135888,13,12
262,15,14,0.972514,12,12
263,16,29,4.0058527,5,12
264,17,28,2.4880886,18,12
265,18,25,0.54394895,36,12
266,19,35,3.0141413,10,12
267,20,43,0.75589556,38,12
268,21,23,2.832166,14,12
269,22,23,3.184106,14,12
270,23,44,0.722563,41,12
271,24,13,3.4887557,11,12
272,25,33,1.3673149,31,12
273,1,2,8.1832485,4,13
274,2,49,3.3191516,9,13
275,3,31,3.1246738,13,13
276,4,2,5.7809052,1,13
277,5,43,0.75808924,41,13
278,6,2,8.220543,13,13
279,7,36,2.9616408,14,13
280,8,14,2.9602535,8,13
281,9,46,2.226586,38,13
282,10,24,3.6507263,47,13
283,11,3,2.404302,2,13
284,12,9,5.3270993,3,13
285,13,11,2.507581,10,13
286,14,2,11.8147335,0,13
287,15,37,3.1842196,13,13
288,16,33,1.9218829,25,13
289,17,19,3.3256767,10,13
290,18,53,2.8622978,21,13
291,19,22,3.994138,5,13
292,20,27,0.24712902,23,13
293,21,38,2.3071477,16,13
294,22,27,2.0211842,13,13
295,23,12,3.8072293,5,13
296,24,18,1.4619957,15,13
297,25,2,3.7634487,1,13
298,26,40,2.1861353,12,13
299,1,26,0.5120447,44,14
300,2,21,3.0174098,7,14
301,3,22,0.6115502,27,14
302,4,16,3.3899913,10,14
303,5,13,4.1844983,9,14
304,6,42,3.02047,10,14
305,7,14,0.8835379,12,14
306,8,18,0.77896136,15,14
307,9,21,0.56922054,17,14
308,10,7,6.707968,0,14
309,11,15,2.883433,12,14
310,12,21,0.7176749,14,14
311,13,28,0.49713337,24,14
312,14,15,1.0569427,12,14
313,15,23,0.56232476,19,14
314,16,13,4.2777324,0,14
315,17,21,3.2217011,9,14
316,18,18,3.890792,7,14
317,19,9,2.0782952,8,14
318,20,27,4.1259103,6,14
319,21,14,0.8832975,10,14
320,22,36,3.5972862,9,14
321,23,17,0.8605068,15,14
322,24,29,1.1363142,24,14
323,25,15,0.76497024,13,14
324,26,35,0.6451509,32,14
325,27,19,3.2479682,7,14
326,28,13,1.0926561,12,14
327,29,12,2.1397817,11,14
328,30,32,1.9630603,23,14
329,31,13,2.6887374,17,14
330,32,4,5.1243625,1,14
