,num,length,response,context_length,name
0,1,17,3.7294457,10,0
1,2,9,4.353658,10,0
2,3,58,4.0983458,10,0
3,4,43,2.8985264,10,0
4,5,58,4.167846,10,0
5,6,70,3.272294,10,0
6,7,26,3.5390265,10,0
7,8,23,3.7203617,10,0
8,9,40,3.5829356,10,0
9,10,55,3.719236,10,0
10,11,14,5.790862,10,0
11,12,20,3.6116748,10,0
12,13,30,3.617168,10,0
13,14,28,4.211339,10,0
14,15,38,4.055614,10,0
15,16,23,5.175859,10,0
16,17,29,3.6914606,10,0
17,18,36,3.149478,10,0
18,19,33,4.4329257,10,0
19,1,14,3.5417776,10,1
20,2,21,3.9291382,10,1
21,3,19,4.0675235,10,1
22,4,24,4.695058,10,1
23,5,44,3.89482,10,1
24,6,2,4.7115192,10,1
25,7,10,5.801003,10,1
26,8,15,4.5887322,10,1
27,9,10,4.2092514,10,1
28,10,18,5.382273,10,1
29,11,28,3.7230778,10,1
30,12,4,6.8498254,10,1
31,13,10,5.067582,10,1
32,14,21,4.7009063,10,1
33,15,31,4.19867,10,1
34,16,7,5.6820035,10,1
35,17,14,5.5364904,10,1
36,18,24,3.524854,10,1
37,19,46,4.359313,10,1
38,20,32,3.9311864,10,1
39,21,28,4.2903156,10,1
40,22,37,4.0793834,10,1
41,23,22,3.364833,10,1
42,24,20,4.3301,10,1
43,25,27,5.1489224,10,1
44,26,26,4.2390738,10,1
45,27,15,4.2863064,10,1
46,28,24,4.122096,10,1
47,29,8,4.229166,10,1
48,30,26,4.0975566,10,1
49,31,46,3.8986285,10,1
50,32,20,3.6092103,10,1
51,33,5,3.3893192,10,1
52,1,38,3.8565426,10,2
53,2,32,4.357693,10,2
54,3,20,3.581751,10,2
55,4,43,4.3835025,10,2
56,5,99,3.5461004,10,2
57,6,27,4.7042937,10,2
58,7,26,4.926124,10,2
59,1,32,2.5818615,10,3
60,2,71,2.283731,10,3
61,3,62,2.6058104,10,3
62,4,55,2.748156,10,3
63,5,21,4.7611766,10,3
64,6,63,1.9103721,10,3
65,7,138,2.389967,10,3
66,8,3,4.817202,10,3
67,9,8,4.1930656,10,3
68,10,9,4.408684,10,3
69,11,98,3.1480577,10,3
70,12,52,2.9711103,10,3
71,1,24,3.698151,10,4
72,2,42,4.247971,10,4
73,3,89,4.303515,10,4
74,4,33,5.616085,10,4
75,5,34,4.6014533,10,4
76,6,54,5.3621664,10,4
77,7,54,3.8906271,10,4
78,8,37,4.5799975,10,4
79,9,18,5.0794735,10,4
80,10,59,4.012168,10,4
81,11,56,4.184202,10,4
82,12,42,3.875579,10,4
83,13,54,4.161064,10,4
84,14,40,5.5542774,10,4
85,1,37,4.6581883,10,5
86,2,30,5.487374,10,5
87,3,46,4.2105346,10,5
88,4,19,4.5803046,10,5
89,5,8,4.8294554,10,5
90,6,33,4.0873475,10,5
91,7,34,4.6004543,10,5
92,8,32,4.477708,10,5
93,9,49,4.0831375,10,5
94,10,40,4.9842644,10,5
95,11,43,4.8769193,10,5
96,12,18,5.158629,10,5
97,13,20,4.186828,10,5
98,14,16,4.8656273,10,5
99,15,11,5.47249,10,5
100,16,45,3.9092526,10,5
101,17,26,4.931797,10,5
102,18,4,5.253739,10,5
103,19,38,4.7753816,10,5
104,20,34,4.0163927,10,5
105,21,35,4.551165,10,5
106,22,19,5.440636,10,5
107,1,2,6.618139,10,6
108,2,18,4.154063,10,6
109,3,21,4.113059,10,6
110,4,2,5.3722725,10,6
111,5,30,4.65342,10,6
112,6,2,8.248346,10,6
113,7,48,4.1397643,10,6
114,8,25,3.42061,10,6
115,9,2,6.780661,10,6
116,10,22,3.9113138,10,6
