,num,length,response,context_length,name
0,1,17,3.5032215,0,0
1,2,9,4.448615,0,0
2,3,58,4.078196,0,0
3,4,43,2.783334,0,0
4,5,58,4.069359,0,0
5,6,70,3.252449,0,0
6,7,26,3.5119162,0,0
7,8,23,3.6823905,0,0
8,9,40,3.4888465,0,0
9,10,55,3.695235,0,0
10,11,14,5.6630673,0,0
11,12,20,3.321325,0,0
12,13,30,3.5277402,0,0
13,14,28,4.1583767,0,0
14,15,38,3.9196153,0,0
15,16,23,5.0917225,0,0
16,17,29,3.4690988,0,0
17,18,36,3.0087302,0,0
18,19,33,4.4326196,0,0
19,1,14,2.9886134,0,1
20,2,21,3.165095,0,1
21,3,19,4.0389323,0,1
22,4,24,4.6420937,0,1
23,5,44,3.8719833,0,1
24,6,2,1.7170429,0,1
25,7,10,4.997064,0,1
26,8,15,3.944456,0,1
27,9,10,3.7435877,0,1
28,10,18,5.144533,0,1
29,11,28,3.5920613,0,1
30,12,4,6.2767673,0,1
31,13,10,4.1758604,0,1
32,14,21,4.575682,0,1
33,15,31,3.9763372,0,1
34,16,7,5.535257,0,1
35,17,14,5.505245,0,1
36,18,24,3.307045,0,1
37,19,46,4.3333387,0,1
38,20,32,3.6728244,0,1
39,21,28,4.029343,0,1
40,22,37,4.005761,0,1
41,23,22,3.1265686,0,1
42,24,20,4.0551934,0,1
43,25,27,4.9831185,0,1
44,26,26,3.97443,0,1
45,27,15,3.9358768,0,1
46,28,24,3.4991486,0,1
47,29,8,2.964797,0,1
48,30,26,4.480078,0,1
49,31,46,3.9340184,0,1
50,32,20,3.3439014,0,1
51,33,5,2.7415729,0,1
52,1,38,3.5528307,0,2
53,2,32,4.428518,0,2
54,3,20,3.2039852,0,2
55,4,43,4.3067613,0,2
56,5,99,3.4922504,0,2
57,6,27,4.5810475,0,2
58,7,26,4.5198755,0,2
59,1,32,2.4577625,0,3
60,2,71,2.2333345,0,3
61,3,62,2.5762935,0,3
62,4,55,2.785527,0,3
63,5,21,4.7734184,0,3
64,6,63,1.8721564,0,3
65,7,138,2.3608546,0,3
66,8,3,4.3397927,0,3
67,9,8,4.10322,0,3
68,10,9,3.6277366,0,3
69,11,98,3.1322434,0,3
70,12,52,2.9474542,0,3
71,1,24,3.5742536,0,4
72,2,42,3.9417753,0,4
73,3,89,4.211979,0,4
74,4,33,5.459488,0,4
75,5,34,4.42364,0,4
76,6,54,5.3196783,0,4
77,7,54,3.6963701,0,4
78,8,37,4.5446596,0,4
79,9,18,4.2681346,0,4
80,10,59,4.051122,0,4
81,11,56,3.9865992,0,4
82,12,42,3.9158993,0,4
83,13,54,3.8736985,0,4
84,14,40,5.250685,0,4
85,1,37,4.1446652,0,5
86,2,30,5.185359,0,5
87,3,46,3.9333906,0,5
88,4,19,4.173637,0,5
89,5,8,3.2651494,0,5
90,6,33,3.8787374,0,5
91,7,34,4.441804,0,5
92,8,32,4.2317057,0,5
93,9,49,4.0173492,0,5
94,10,40,4.830201,0,5
95,11,43,4.810977,0,5
96,12,18,5.0103602,0,5
97,13,20,4.14858,0,5
98,14,16,4.6441135,0,5
99,15,11,5.145698,0,5
100,16,45,3.725461,0,5
101,17,26,4.169423,0,5
102,18,4,3.3099902,0,5
103,19,38,4.469525,0,5
104,20,34,4.1545477,0,5
105,21,35,4.3848586,0,5
106,22,19,4.9069176,0,5
107,1,2,3.2703989,0,6
108,2,18,3.4513364,0,6
109,3,21,3.3494196,0,6
110,4,2,6.659811,0,6
111,5,30,4.682021,0,6
112,6,2,3.025468,0,6
113,7,48,3.9747264,0,6
114,8,25,3.26437,0,6
115,9,2,3.252014,0,6
116,10,22,4.026079,0,6
117,11,60,3.404007,0,6
118,12,98,3.0732512,0,6
119,13,49,3.050144,0,6
120,14,27,3.6547296,0,6
121,15,30,3.87296,0,6
122,16,33,3.6980271,0,6
123,17,2,3.9995039,0,6
124,18,35,3.3546343,0,6
125,19,71,3.5114563,0,6
126,20,55,3.4572968,0,6
127,1,33,3.9773471,0,7
128,2,28,4.317858,0,7
129,3,22,2.749352,0,7
130,4,21,4.248217,0,7
131,5,18,3.6331139,0,7
132,6,16,3.356387,0,7
133,7,12,4.5773406,0,7
134,8,11,3.9947522,0,7
135,9,75,2.8813019,0,7
136,10,25,4.150843,0,7
137,11,48,3.7523718,0,7
138,12,12,4.860209,0,7
139,13,39,3.981024,0,7
140,14,19,5.505437,0,7
141,15,57,3.2959743,0,7
142,16,72,3.7404616,0,7
143,17,60,2.9843163,0,7
144,18,16,4.784905,0,7
145,19,16,5.240022,0,7
146,20,14,4.85003,0,7
147,21,14,6.1216383,0,7
148,22,13,6.766886,0,7
149,1,20,2.5275378,0,8
150,2,38,4.271672,0,8
151,3,12,4.5650325,0,8
152,4,2,3.9602897,0,8
153,5,2,4.9638386,0,8
154,6,7,3.9794888,0,8
155,7,36,4.612164,0,8
156,8,47,4.074658,0,8
157,9,38,4.1308627,0,8
158,10,8,4.113543,0,8
159,11,64,4.341116,0,8
160,12,8,3.7915447,0,8
161,13,46,3.8000052,0,8
162,14,2,3.9602897,0,8
163,15,2,4.9638386,0,8
164,16,7,5.6157603,0,8
165,17,25,4.3745627,0,8
166,18,35,3.8181589,0,8
167,19,19,4.522666,0,8
168,20,19,3.4326675,0,8
169,21,14,3.9937196,0,8
170,22,46,3.7442718,0,8
171,23,39,3.814411,0,8
172,24,21,3.4755747,0,8
173,25,10,3.5749326,0,8
174,26,3,6.3082466,0,8
175,27,43,3.7236094,0,8
176,28,44,4.0162735,0,8
177,29,8,4.2887225,0,8
178,1,20,3.2735245,0,9
179,2,34,4.3087816,0,9
180,3,26,3.8791232,0,9
181,4,28,3.6139224,0,9
182,5,16,4.7075953,0,9
183,6,33,3.5961967,0,9
184,7,13,3.3941994,0,9
185,8,26,3.8447635,0,9
186,9,36,3.9582803,0,9
187,10,20,3.5910254,0,9
188,11,50,3.5491083,0,9
189,12,30,3.9034195,0,9
190,13,39,2.870312,0,9
191,14,24,3.1880517,0,9
192,15,29,4.71939,0,9
193,16,11,4.213557,0,9
194,17,59,3.2772307,0,9
195,18,12,3.0073805,0,9
196,19,26,3.4768207,0,9
197,20,19,3.8483858,0,9
198,21,12,4.346555,0,9
199,22,33,3.8311284,0,9
200,23,40,4.4260426,0,9
201,1,41,4.1257534,0,10
202,2,42,3.7330573,0,10
203,3,18,4.720274,0,10
204,4,22,5.099585,0,10
205,5,18,3.6268926,0,10
206,6,9,2.7543528,0,10
207,7,22,4.349113,0,10
208,8,20,4.137378,0,10
209,9,17,4.0224996,0,10
210,10,24,3.617791,0,10
211,11,21,3.3996964,0,10
212,12,22,4.5713124,0,10
213,13,27,4.315997,0,10
214,14,23,3.890251,0,10
215,15,18,4.100123,0,10
216,16,16,5.584369,0,10
217,17,22,4.031744,0,10
218,18,16,5.0459,0,10
219,19,24,4.077389,0,10
220,20,22,4.206051,0,10
221,21,22,4.06155,0,10
222,22,15,4.6495833,0,10
223,23,14,3.345133,0,10
224,24,17,4.6848536,0,10
225,25,27,3.8061056,0,10
226,26,13,4.7365007,0,10
227,27,29,5.2641444,0,10
228,28,6,3.329855,0,10
229,29,14,3.7513165,0,10
230,30,21,3.9386656,0,10
231,31,11,3.4728725,0,10
232,1,125,1.7942744,0,11
233,2,36,3.0997028,0,11
234,3,25,2.589452,0,11
235,4,25,3.2453208,0,11
236,5,65,2.6546109,0,11
237,6,114,2.684547,0,11
238,7,22,4.037044,0,11
239,8,19,2.7893207,0,11
240,9,38,3.942805,0,11
241,10,27,3.7991385,0,11
242,11,18,4.9425893,0,11
243,12,23,3.747776,0,11
244,13,11,5.4186783,0,11
245,14,11,7.033379,0,11
246,15,2,2.2298155,0,11
247,16,17,4.9394035,0,11
248,1,26,2.5213575,0,12
249,2,40,4.1236796,0,12
250,3,26,4.0522165,0,12
251,4,17,3.626594,0,12
252,5,21,4.3312325,0,12
253,6,25,4.4263206,0,12
254,7,19,4.2242055,0,12
255,8,12,4.9817224,0,12
256,9,22,5.1251407,0,12
257,10,23,4.161624,0,12
258,11,16,4.127671,0,12
259,12,15,5.9035745,0,12
260,13,8,4.7625995,0,12
261,14,20,3.471681,0,12
262,15,14,2.901232,0,12
263,16,29,3.893751,0,12
264,17,28,5.1773267,0,12
265,18,25,3.99998,0,12
266,19,35,3.9049017,0,12
267,20,43,3.269382,0,12
268,21,23,3.976571,0,12
269,22,23,4.5977716,0,12
270,23,44,4.4196005,0,12
271,24,13,5.1921434,0,12
272,25,33,4.221697,0,12
273,1,2,3.2703989,0,13
274,2,49,3.8599386,0,13
275,3,31,4.2536383,0,13
276,4,2,6.659811,0,13
277,5,43,3.5550785,0,13
278,6,2,3.025468,0,13
279,7,36,3.8579848,0,13
280,8,14,4.8588367,0,13
281,9,46,4.229166,0,13
282,10,24,5.575763,0,13
283,11,3,4.4910545,0,13
284,12,9,5.118541,0,13
285,13,11,5.6271067,0,13
286,14,2,3.252014,0,13
287,15,37,3.974085,0,13
288,16,33,4.3451095,0,13
289,17,19,4.57563,0,13
290,18,53,3.5050778,0,13
291,19,22,4.5290017,0,13
292,20,27,3.3949637,0,13
293,21,38,3.9147816,0,13
294,22,27,3.6543581,0,13
295,23,12,4.398323,0,13
296,24,18,4.8765416,0,13
297,25,2,3.9995039,0,13
298,26,40,3.3807073,0,13
299,1,26,3.187131,0,14
300,2,21,3.0082731,0,14
301,3,22,3.4453483,0,14
302,4,16,3.7136316,0,14
303,5,13,4.855266,0,14
304,6,42,3.1050274,0,14
305,7,14,3.2325325,0,14
306,8,18,3.624459,0,14
307,9,21,5.2311983,0,14
308,10,7,5.65174,0,14
309,11,15,4.518193,0,14
310,12,21,4.017944,0,14
311,13,28,4.913361,0,14
312,14,15,5.141766,0,14
313,15,23,2.7343974,0,14
314,16,13,3.5214143,0,14
315,17,21,3.844474,0,14
316,18,18,3.8623912,0,14
317,19,9,3.919703,0,14
318,20,27,5.1176295,0,14
319,21,14,4.6199183,0,14
320,22,36,4.210392,0,14
321,23,17,3.9185622,0,14
322,24,29,3.613247,0,14
323,25,15,3.531728,0,14
324,26,35,4.329291,0,14
325,27,19,3.6855588,0,14
326,28,13,4.8295765,0,14
327,29,12,4.821552,0,14
328,30,32,4.4016933,0,14
329,31,13,5.0774236,0,14
330,32,4,4.0230083,0,14
331,1,56,3.4708982,0,15
332,2,23,3.7817004,0,15
333,3,31,4.1336718,0,15
334,4,45,4.3279862,0,15
335,5,33,4.069924,0,15
336,6,26,5.483332,0,15
337,7,25,4.958431,0,15
338,8,26,5.2309184,0,15
339,9,46,4.040877,0,15
340,10,4,3.140006,0,15
341,11,37,4.288321,0,15
342,12,29,5.473607,0,15
343,13,60,3.7752209,0,15
344,14,13,5.161564,0,15
345,15,52,3.9572144,0,15
346,16,23,4.294305,0,15
347,17,47,4.478268,0,15
348,18,38,4.1095843,0,15
349,1,22,4.573802,0,16
350,2,34,4.4539485,0,16
351,3,17,4.048569,0,16
352,4,29,3.9979537,0,16
353,5,23,4.1656117,0,16
354,6,22,4.933077,0,16
355,7,23,4.1712036,0,16
356,8,35,3.558046,0,16
357,9,22,5.1133404,0,16
358,10,6,5.880894,0,16
359,11,27,3.698468,0,16
360,12,14,6.316377,0,16
361,13,2,1.7170429,0,16
362,14,16,4.1325636,0,16
363,15,20,4.2404876,0,16
364,16,38,4.605713,0,16
365,17,32,3.720049,0,16
366,18,28,3.8878136,0,16
367,19,24,3.3350604,0,16
368,20,2,2.0606837,0,16
369,21,35,4.753055,0,16
370,22,2,2.0264275,0,16
371,23,14,4.656679,0,16
372,24,25,4.3854184,0,16
373,25,29,4.208708,0,16
374,26,51,3.6322067,0,16
375,27,7,3.1940415,0,16
376,1,25,3.9853365,0,17
377,2,21,4.1928973,0,17
378,3,22,3.929822,0,17
379,4,20,3.8226988,0,17
380,5,12,3.6293414,0,17
381,6,22,3.706401,0,17
382,7,21,3.551644,0,17
383,8,20,3.8807135,0,17
384,9,23,4.3466115,0,17
385,10,35,3.9705052,0,17
386,11,24,3.8140082,0,17
387,12,20,4.5250587,0,17
388,13,23,3.6335766,0,17
389,14,35,3.7035444,0,17
390,15,34,3.5662706,0,17
391,16,32,4.0650187,0,17
392,17,23,4.386896,0,17
393,18,35,3.374291,0,17
394,19,28,4.0330296,0,17
395,20,21,4.0365734,0,17
396,21,56,3.2534854,0,17
397,1,14,3.5396209,0,18
398,2,19,3.406454,0,18
399,3,35,3.0580888,0,18
400,4,9,5.6792803,0,18
401,5,32,5.0288825,0,18
402,6,30,2.6100824,0,18
403,7,29,3.7465386,0,18
404,8,28,3.7796652,0,18
405,9,13,4.188875,0,18
406,10,25,3.33278,0,18
407,11,39,3.3107274,0,18
408,12,18,2.939862,0,18
409,13,49,3.6559408,0,18
410,14,50,3.9368136,0,18
411,15,22,4.445054,0,18
412,16,23,3.761871,0,18
413,17,28,4.381409,0,18
414,18,25,4.359207,0,18
415,19,30,3.7856605,0,18
416,20,28,3.4885383,0,18
417,21,35,3.631139,0,18
418,22,16,4.685515,0,18
419,1,23,2.8760726,0,19
420,2,21,4.558818,0,19
421,3,15,4.725778,0,19
422,4,9,4.975863,0,19
423,5,14,3.044432,0,19
424,6,12,4.626312,0,19
425,7,16,3.0165222,0,19
426,8,18,3.1008708,0,19
427,9,14,3.1149,0,19
428,10,17,4.7088065,0,19
429,11,14,4.7427506,0,19
430,12,21,4.78008,0,19
431,13,16,4.4830003,0,19
432,14,19,3.3795242,0,19
433,15,9,6.058839,0,19
434,16,14,3.443953,0,19
435,17,20,4.1757336,0,19
436,18,17,4.858817,0,19
437,19,18,4.8183923,0,19
438,20,18,4.034268,0,19
439,21,16,4.235513,0,19
440,22,35,4.172676,0,19
441,23,25,4.1087737,0,19
442,24,40,3.7861738,0,19
443,25,19,3.7656145,0,19
444,26,18,4.341314,0,19
445,27,22,3.3437433,0,19
446,28,19,4.761075,0,19
447,29,19,3.5890262,0,19
448,30,24,3.600281,0,19
449,31,17,5.550898,0,19
450,1,31,3.7154992,0,20
451,2,17,4.9728775,0,20
452,3,7,4.979671,0,20
453,4,36,3.9838126,0,20
454,5,12,4.876471,0,20
455,6,26,4.1767254,0,20
456,7,27,5.337066,0,20
457,8,25,3.7361264,0,20
