,num,length,response,context_length,name
0,1,17,3.5032215,0,0
1,2,9,3.3493319,16,0
2,3,58,3.6897292,24,0
3,4,43,2.361003,73,0
4,5,58,3.5689929,91,0
5,6,70,2.5052211,135,0
6,7,26,2.0193849,147,0
7,8,23,2.7936163,135,0
8,9,40,2.5711412,105,0
9,10,55,2.8322577,81,0
10,11,14,2.4530776,111,0
11,12,20,2.379495,102,0
12,13,30,2.2301564,82,0
13,14,28,3.0212636,55,0
14,15,38,3.1008475,69,0
15,16,23,1.9171485,85,0
16,17,29,2.3597653,81,0
17,18,36,2.630348,80,0
18,19,33,3.9291599,80,0
19,1,14,2.9886134,0,1
20,2,21,3.202523,13,1
21,3,19,3.153922,33,1
22,4,24,4.419302,50,1
23,5,44,3.456202,59,1
24,6,2,5.8445864,77,1
25,7,10,4.538003,61,1
26,8,15,3.698574,47,1
27,9,10,2.5735257,23,1
28,10,18,4.647653,29,1
29,11,28,3.4309573,37,1
30,12,4,5.1064515,48,1
31,13,10,4.675857,44,1
32,14,21,4.4169717,36,1
33,15,31,2.9763734,29,1
34,16,7,3.271236,50,1
35,17,14,4.8011675,48,1
36,18,24,2.5087886,42,1
37,19,46,3.6285467,39,1
38,20,32,3.5061433,72,1
39,21,28,3.525345,89,1
40,22,37,3.314481,94,1
41,23,22,3.2903256,85,1
42,24,20,3.20364,72,1
43,25,27,4.0023723,64,1
44,26,26,3.7725785,55,1
45,27,15,3.7091954,62,1
46,28,24,3.4972715,56,1
47,29,8,3.851184,57,1
48,30,26,3.5068223,40,1
49,31,46,2.9707735,44,1
50,32,20,3.2222342,53,1
51,33,5,3.9796937,65,1
52,1,38,3.5528307,0,2
53,2,32,3.9035945,35,2
54,3,20,3.3815696,62,2
55,4,43,3.8025336,80,2
56,5,99,3.2118385,84,2
57,6,27,3.954816,142,2
58,7,26,3.5848918,145,2
59,1,32,2.4577625,0,3
60,2,71,1.9588841,26,3
61,3,62,2.2075715,77,3
62,4,55,1.9000036,123,3
63,5,21,2.06199,143,3
64,6,63,1.3720835,112,3
65,7,138,1.9103318,116,3
66,8,3,3.9390829,179,3
67,9,8,1.6759013,162,3
68,10,9,4.106956,117,3
69,11,98,2.663193,16,3
70,12,52,2.3218348,94,3
71,1,24,3.5742536,0,4
72,2,42,3.8712187,21,4
73,3,89,3.9824905,56,4
74,4,33,4.626519,131,4
75,5,34,3.3786688,140,4
76,6,54,4.785064,138,4
77,7,54,3.2996473,112,4
78,8,37,3.884723,127,4
79,9,18,3.8078678,128,4
80,10,59,3.6801364,96,4
81,11,56,3.5012107,108,4
82,12,42,3.363472,123,4
83,13,54,3.1115704,139,4
84,14,40,4.8199673,132,4
85,1,37,4.1446652,0,5
86,2,30,4.330361,33,5
87,3,46,3.3183668,57,5
88,4,19,3.4206476,100,5
89,5,8,2.9812915,85,5
90,6,33,3.6179504,68,5
91,7,34,3.81869,52,5
92,8,32,3.0232093,66,5
93,9,49,3.260412,88,5
94,10,40,3.3718507,99,5
95,11,43,3.656109,103,5
96,12,18,3.531833,109,5
97,13,20,3.2741814,88,5
98,14,16,3.6197016,71,5
99,15,11,3.9376585,49,5
100,16,45,3.3428657,42,5
101,17,26,4.107975,60,5
102,18,4,4.760448,71,5
103,19,38,3.8487103,63,5
104,20,34,3.2997034,59,5
105,21,35,3.8862276,65,5
106,22,19,3.791084,93,5
107,1,2,3.2703989,0,6
108,2,18,4.108631,1,6
109,3,21,3.052305,18,6
110,4,2,6.799007,38,6
111,5,30,4.268289,38,6
112,6,2,4.9901404,44,6
113,7,48,3.6797338,25,6
114,8,25,2.3530602,63,6
115,9,2,7.5563197,64,6
116,10,22,2.685629,64,6
117,11,60,3.0106168,46,6
118,12,98,2.5913613,71,6
119,13,49,2.0640388,154,6
120,14,27,2.5437999,170,6
121,15,30,2.3130624,146,6
122,16,33,3.4957666,90,6
123,17,2,5.947745,85,6
124,18,35,2.9411075,61,6
125,19,71,3.124444,65,6
126,20,55,3.402221,92,6
127,1,33,3.9773471,0,7
128,2,28,4.0681276,26,7
129,3,22,2.203342,52,7
130,4,21,3.2201595,71,7
131,5,18,2.8892028,63,7
132,6,16,2.442783,54,7
133,7,12,3.8831255,49,7
134,8,11,3.4413733,42,7
135,9,75,2.7044015,35,7
136,10,25,3.4213123,82,7
137,11,48,3.8510926,93,7
138,12,12,3.2215428,123,7
139,13,39,3.4769702,73,7
140,14,19,4.2317505,85,7
141,15,57,2.9316947,61,7
142,16,72,3.349224,103,7
143,17,60,2.484751,132,7
144,18,16,2.9979017,171,7
145,19,16,4.017232,130,7
146,20,14,4.0083117,77,7
147,21,14,4.5075207,33,7
148,22,13,4.5114164,33,7
149,1,20,2.5275378,0,8
150,2,38,3.604943,16,8
151,3,12,4.3774467,48,8
152,4,2,5.0476904,54,8
153,5,2,7.0386343,39,8
154,6,7,3.6777802,8,8
155,7,36,4.477407,4,8
156,8,47,3.0425467,29,8
157,9,38,3.0025685,63,8
158,10,8,1.8459619,91,8
159,11,64,3.0028403,68,8
160,12,8,3.0772512,84,8
161,13,46,3.0835242,57,8
162,14,2,5.195634,88,8
163,15,2,6.871496,38,8
164,16,7,3.7803788,36,8
165,17,25,4.4508853,4,8
166,18,35,2.980632,20,8
167,19,19,3.67505,44,8
168,20,19,2.7163544,60,8
169,21,14,3.3229003,61,8
170,22,46,3.6243646,49,8
171,23,39,2.7437124,69,8
172,24,21,1.9992911,86,8
173,25,10,3.6688986,90,8
174,26,3,2.5487835,57,8
175,27,43,2.6054773,24,8
176,28,44,3.3868282,34,8
177,29,8,2.8094573,60,8
178,1,20,3.2735245,0,9
179,2,34,3.78118,16,9
180,3,26,2.941724,47,9
181,4,28,2.8207603,71,9
182,5,16,3.9953208,79,9
183,6,33,3.4601617,60,9
184,7,13,2.6636107,63,9
185,8,26,2.9888122,49,9
186,9,36,3.2620127,60,9
187,10,20,2.8716729,68,9
188,11,50,3.0794408,74,9
189,12,30,3.5864472,96,9
190,13,39,2.252636,88,9
191,14,24,1.9834924,108,9
192,15,29,4.050537,86,9
193,16,11,4.110037,82,9
194,17,59,2.983666,56,9
195,18,12,2.345723,85,9
196,19,26,3.2590032,72,9
197,20,19,3.30177,83,9
198,21,12,3.0816543,47,9
199,22,33,3.2395928,48,9
200,23,40,3.9675999,58,9
201,1,41,4.1257534,0,10
202,2,42,3.3689573,33,10
203,3,18,3.7277932,72,10
204,4,22,4.337975,89,10
205,5,18,3.5710397,74,10
206,6,9,2.816095,50,10
207,7,22,3.7308648,38,10
208,8,20,3.7166972,40,10
209,9,17,3.5339715,43,10
210,10,24,3.364974,54,10
211,11,21,2.2670956,57,10
212,12,22,4.0637636,59,10
213,13,27,3.945293,59,10
214,14,23,3.5448854,58,10
215,15,18,3.9961967,59,10
216,16,16,4.8845367,60,10
217,17,22,3.1245286,53,10
218,18,16,3.9528012,50,10
219,19,24,3.3420749,48,10
220,20,22,3.949234,53,10
221,21,22,3.7194977,52,10
222,22,15,3.8402224,57,10
223,23,14,2.6067395,51,10
224,24,17,3.9588726,47,10
225,25,27,3.2291474,43,10
226,26,13,3.6031938,55,10
