,num,length,response,context_length,name
0,1,17,3.5032215,0,0
1,2,9,3.3493319,16,0
2,3,58,3.917415,8,0
3,4,43,2.383927,49,0
4,5,58,3.6232452,34,0
5,6,70,2.957804,52,0
6,7,26,2.4873047,61,0
7,8,23,3.282878,22,0
8,9,40,2.7750835,22,0
9,10,55,2.9927313,37,0
10,11,14,2.4910257,52,0
11,12,20,2.5605464,13,0
12,13,30,2.803658,17,0
13,14,28,3.2348967,25,0
14,15,38,3.1869152,27,0
15,16,23,1.9591548,33,0
16,17,29,2.873185,21,0
17,18,36,2.8449075,26,0
18,19,33,3.747785,33,0
19,1,14,2.9886134,0,1
20,2,21,3.202523,13,1
21,3,19,3.6484137,20,1
22,4,24,4.496009,17,1
23,5,44,3.4761007,22,1
24,6,2,5.8633966,38,1
25,7,10,5.444871,1,1
26,8,15,3.81911,8,1
27,9,10,2.6126893,14,1
28,10,18,4.907203,7,1
29,11,28,3.4361863,16,1
30,12,4,4.928438,25,1
31,13,10,5.0412626,3,1
32,14,21,4.758847,8,1
33,15,31,3.4475486,18,1
34,16,7,4.4739847,24,1
35,17,14,5.0702252,6,1
36,18,24,2.8794656,12,1
37,19,46,3.9707177,21,1
38,20,32,3.5381947,39,1
39,21,28,3.8348415,29,1
40,22,37,3.6069477,26,1
41,23,22,3.343479,30,1
42,24,20,4.3653007,16,1
43,25,27,4.265255,18,1
44,26,26,3.9079347,21,1
45,27,15,4.0328298,23,1
46,28,24,3.55296,12,1
47,29,8,4.0628834,22,1
48,30,26,3.7382581,6,1
49,31,46,2.9910512,16,1
50,32,20,3.125857,31,1
51,33,5,3.4841075,18,1
52,1,38,3.5528307,0,2
53,2,32,3.9035945,35,2
54,3,20,3.4932544,27,2
55,4,43,4.2437353,18,2
56,5,99,3.3205783,39,2
57,6,27,4.0949802,85,2
58,7,26,4.403683,21,2
59,1,32,2.4577625,0,3
60,2,71,1.9588841,26,3
61,3,62,2.249214,51,3
62,4,55,2.185794,46,3
63,5,21,2.639136,46,3
64,6,63,1.5556445,20,3
65,7,138,2.0568194,50,3
66,8,3,4.5807104,109,3
67,9,8,4.202066,3,3
68,10,9,4.333891,5,3
69,11,98,3.1595292,8,3
70,12,52,2.3055463,81,3
71,1,24,3.5742536,0,4
72,2,42,3.8712187,21,4
73,3,89,4.023328,35,4
74,4,33,4.7541423,75,4
75,5,34,3.3216417,30,4
76,6,54,4.893554,33,4
77,7,54,3.4070206,49,4
78,8,37,4.2987547,45,4
79,9,18,3.9413419,34,4
80,10,59,3.7778952,17,4
81,11,56,3.4714634,57,4
82,12,42,3.353685,49,4
83,13,54,3.5974746,33,4
84,14,40,4.8748965,50,4
85,1,37,4.1446652,0,5
86,2,30,4.330361,33,5
87,3,46,3.547533,24,5
88,4,19,3.8580537,43,5
89,5,8,3.4849694,18,5
90,6,33,3.925933,7,5
91,7,34,3.9771228,27,5
92,8,32,3.0050602,32,5
93,9,49,3.781712,29,5
94,10,40,3.4873123,38,5
95,11,43,3.8290281,36,5
96,12,18,3.7466507,35,5
97,13,20,3.318973,17,5
98,14,16,3.6135168,19,5
99,15,11,5.077188,13,5
100,16,45,3.5530355,10,5
101,17,26,4.0872316,37,5
102,18,4,4.989546,24,5
103,19,38,4.580203,2,5
104,20,34,3.2951972,33,5
105,21,35,3.9521694,30,5
106,22,19,3.8683846,30,5
107,1,2,3.2703989,0,6
108,2,18,4.108631,1,6
109,3,21,3.057221,17,6
110,4,2,7.7003036,20,6
111,5,30,4.6095877,1,6
112,6,2,8.57946,23,6
113,7,48,4.0169077,1,6
114,8,25,2.3064187,39,6
115,9,2,9.793417,24,6
116,10,22,3.7527032,1,6
117,11,60,3.0520813,21,6
118,12,98,2.6387804,49,6
119,13,49,2.2737086,84,6
120,14,27,3.0477712,37,6
121,15,30,3.236926,25,6
122,16,33,3.7953112,28,6
123,17,2,6.0252337,32,6
124,18,35,3.4004765,1,6
125,19,71,3.2052977,32,6
126,20,55,3.4386668,59,6
127,1,33,3.9773471,0,7
128,2,28,4.0681276,26,7
129,3,22,2.3039005,26,7
130,4,21,3.4515424,19,7
131,5,18,3.3160942,18,7
132,6,16,2.6582925,17,7
133,7,12,4.076451,14,7
134,8,11,3.8487406,11,7
135,9,75,2.7646,10,7
136,10,25,3.421967,61,7
137,11,48,3.7649803,22,7
138,12,12,4.3042493,40,7
139,13,39,3.489799,11,7
140,14,19,4.4607162,34,7
141,15,57,2.96773,16,7
142,16,72,3.4641635,53,7
143,17,60,2.6233988,63,7
144,18,16,3.2325563,55,7
145,19,16,4.2818117,12,7
146,20,14,4.0622287,10,7
147,21,14,5.7032933,11,7
148,22,13,4.8074946,12,7
149,1,20,2.5275378,0,8
150,2,38,3.604943,16,8
151,3,12,4.339912,32,8
152,4,2,4.9409623,6,8
153,5,2,4.42256,1,8
154,6,7,4.7766337,1,8
155,7,36,4.5487185,2,8
156,8,47,3.0351648,26,8
157,9,38,3.0648727,35,8
158,10,8,1.6547816,30,8
159,11,64,4.156897,3,8
160,12,8,3.1622844,51,8
161,13,46,3.5473444,3,8
162,14,2,4.9393616,34,8
163,15,2,4.42256,1,8
164,16,7,5.902685,1,8
165,17,25,4.551873,2,8
166,18,35,2.949955,17,8
167,19,19,3.6807964,25,8
168,20,19,2.9186761,18,8
169,21,14,3.7561922,18,8
170,22,46,3.8351557,13,8
171,23,39,3.0472121,38,8
172,24,21,3.053397,35,8
173,25,10,3.8290186,17,8
174,26,3,2.647143,5,8
175,27,43,3.7061145,2,8
176,28,44,3.5048218,27,8
177,29,8,2.8404493,31,8
178,1,20,3.2735245,0,9
179,2,34,3.78118,16,9
180,3,26,3.079381,31,9
181,4,28,3.2758894,24,9
182,5,16,4.1293545,24,9
183,6,33,3.5029266,12,9
184,7,13,2.9963527,27,9
185,8,26,3.6093028,10,9
186,9,36,3.0690298,23,9
187,10,20,3.2620597,35,9
188,11,50,3.1252756,16,9
189,12,30,3.6309538,45,9
190,13,39,2.50085,27,9
191,14,24,1.9704617,36,9
192,15,29,4.0433493,23,9
193,16,11,4.221,23,9
194,17,59,3.221349,10,9
195,18,12,2.375766,52,9
196,19,26,3.3983152,10,9
197,20,19,3.5466542,21,9
198,21,12,3.068998,16,9
199,22,33,3.297714,11,9
200,23,40,4.1907167,31,9
201,1,41,4.1257534,0,10
202,2,42,3.3689573,33,10
203,3,18,3.8732128,39,10
204,4,22,4.6388087,17,10
205,5,18,3.8962033,18,10
206,6,9,3.0070076,15,10
207,7,22,4.4658465,5,10
208,8,20,3.7981575,20,10
209,9,17,3.7405243,18,10
210,10,24,3.5389795,16,10
211,11,21,2.2569718,23,10
212,12,22,4.159047,20,10
213,13,27,4.0397496,16,10
214,14,23,3.4585452,22,10
215,15,18,4.0780764,21,10
216,16,16,5.382923,17,10
217,17,22,3.113699,15,10
218,18,16,4.202758,18,10
219,19,24,4.119708,15,10
220,20,22,3.9402642,20,10
221,21,22,3.7598584,17,10
222,22,15,4.155756,20,10
223,23,14,2.6670907,14,10
224,24,17,3.9364736,13,10
225,25,27,3.777653,16,10
226,26,13,3.7802165,26,10
