,num,length,response,context_length,name
0,1,17,0.8601354,42,0
1,2,9,0.9429849,58,0
2,3,58,3.3658957,50,0
3,4,43,1.6996958,91,0
4,5,58,3.5681236,76,0
5,6,70,2.8465517,94,0
6,7,26,2.1517296,103,0
7,8,23,2.320046,64,0
8,9,40,2.7874143,64,0
9,10,55,2.9415743,79,0
10,11,14,2.565733,94,0
11,12,20,2.4384463,55,0
12,13,30,2.5471811,59,0
13,14,28,2.9912617,67,0
14,15,38,3.1482632,69,0
15,16,23,2.1467712,75,0
16,17,29,2.6594102,63,0
17,18,36,2.6108468,68,0
18,19,33,3.7596958,75,0
19,1,14,2.632328,52,1
20,2,21,2.9539325,65,1
21,3,19,3.2614024,72,1
22,4,24,3.391753,69,1
23,5,44,3.2561283,74,1
24,6,2,5.837244,90,1
25,7,10,4.232283,53,1
26,8,15,3.64171,60,1
27,9,10,2.5304334,66,1
28,10,18,4.5285196,59,1
29,11,28,3.5198765,68,1
30,12,4,4.837023,77,1
31,13,10,4.167961,55,1
32,14,21,4.4995017,60,1
33,15,31,3.0854614,70,1
34,16,7,4.172569,76,1
35,17,14,5.4044824,58,1
36,18,24,2.7462037,64,1
37,19,46,3.905955,73,1
38,20,32,3.527012,91,1
39,21,28,3.9118655,81,1
40,22,37,3.4064953,78,1
41,23,22,3.3448017,82,1
42,24,20,3.8338866,68,1
43,25,27,4.1655755,70,1
44,26,26,3.9257889,73,1
45,27,15,3.7434099,75,1
46,28,24,3.3403063,64,1
47,29,8,3.6306963,74,1
48,30,26,1.7806388,58,1
49,31,46,1.4972755,68,1
50,32,20,0.4944283,83,1
51,33,5,3.3420568,70,1
52,1,38,0.46137863,52,2
53,2,32,4.014348,87,2
54,3,20,0.84278095,79,2
55,4,43,4.1399016,70,2
56,5,99,2.9860897,91,2
57,6,27,4.019454,137,2
58,7,26,4.5131874,73,2
59,1,32,1.2255609,72,3
60,2,71,1.586041,98,3
61,3,62,1.7737776,123,3
62,4,55,2.0970325,118,3
63,5,21,2.0555332,118,3
64,6,63,1.5314016,92,3
65,7,138,1.9839453,122,3
66,8,3,3.7119129,181,3
67,9,8,3.51157,75,3
68,10,9,4.116715,77,3
69,11,98,2.8742697,80,3
70,12,52,1.8832638,153,3
71,1,24,3.6037076,41,4
72,2,42,3.7088926,62,4
73,3,89,2.4818723,76,4
74,4,33,4.772055,116,4
75,5,34,3.3026135,71,4
76,6,54,4.986777,74,4
77,7,54,3.3687377,90,4
78,8,37,4.112499,86,4
79,9,18,3.6324768,75,4
80,10,59,3.7244337,58,4
81,11,56,3.471422,98,4
82,12,42,3.3380942,90,4
83,13,54,3.5513005,74,4
84,14,40,4.895575,91,4
85,1,37,3.7126718,65,5
86,2,30,0.39170378,98,5
87,3,46,1.7555673,89,5
88,4,19,0.5599164,108,5
89,5,8,3.7343357,83,5
90,6,33,3.612048,72,5
91,7,34,3.6122391,92,5
92,8,32,3.2010226,97,5
93,9,49,3.6314948,94,5
94,10,40,2.968819,103,5
95,11,43,2.1161582,101,5
96,12,18,3.5729315,100,5
97,13,20,2.9493642,82,5
98,14,16,2.564578,84,5
99,15,11,4.476052,78,5
100,16,45,3.198931,75,5
101,17,26,4.090079,102,5
102,18,4,4.8911734,89,5
103,19,38,4.6163344,67,5
104,20,34,3.3425546,98,5
105,21,35,3.8250532,95,5
106,22,19,3.8883789,95,5
107,1,2,11.291026,65,6
108,2,18,3.1241293,66,6
109,3,21,3.2232904,82,6
110,4,2,6.704125,85,6
111,5,30,1.4513781,66,6
112,6,2,11.946745,88,6
113,7,48,3.4926388,66,6
114,8,25,2.4014218,104,6
115,9,2,8.868877,89,6
116,10,22,2.4923441,66,6
117,11,60,1.9111738,86,6
118,12,98,2.1615686,114,6
119,13,49,2.2876775,149,6
120,14,27,2.5561986,102,6
121,15,30,3.0301652,90,6
122,16,33,3.4958184,93,6
123,17,2,6.355967,97,6
124,18,35,2.855121,66,6
125,19,71,3.2418458,97,6
126,20,55,3.2252343,124,6
127,1,33,2.3657725,36,7
128,2,28,2.1358876,62,7
129,3,22,2.215315,62,7
130,4,21,3.2094498,55,7
131,5,18,3.0267184,54,7
132,6,16,2.5805345,53,7
133,7,12,1.5814676,50,7
134,8,11,3.1043725,47,7
135,9,75,2.588786,46,7
136,10,25,3.3689766,97,7
137,11,48,3.6761901,58,7
138,12,12,3.637131,76,7
139,13,39,3.3697085,47,7
140,14,19,3.9726532,70,7
141,15,57,2.9463344,52,7
142,16,72,3.4198868,89,7
143,17,60,2.5746355,99,7
144,18,16,3.0214343,91,7
145,19,16,3.7155488,48,7
146,20,14,3.8799872,46,7
147,21,14,4.0360093,47,7
148,22,13,4.3755326,48,7
149,1,20,0.5231125,43,8
150,2,38,0.7294276,59,8
151,3,12,4.4748397,75,8
152,4,2,4.9976444,49,8
153,5,2,6.1181903,44,8
154,6,7,6.0257406,44,8
155,7,36,3.3740783,45,8
156,8,47,3.0134068,69,8
157,9,38,2.9823282,78,8
158,10,8,1.5931306,73,8
159,11,64,3.8087926,46,8
160,12,8,2.7693882,94,8
161,13,46,3.6542125,46,8
162,14,2,5.026304,77,8
163,15,2,6.1181903,44,8
164,16,7,6.2739105,44,8
165,17,25,4.244232,45,8
166,18,35,3.0585046,60,8
167,19,19,3.9982197,68,8
168,20,19,2.9898975,61,8
169,21,14,3.2193685,61,8
170,22,46,3.808992,56,8
171,23,39,3.0537956,81,8
172,24,21,3.113407,78,8
173,25,10,3.7147741,60,8
174,26,3,2.9311256,48,8
175,27,43,3.732806,45,8
176,28,44,3.0915067,70,8
177,29,8,2.7150419,74,8
178,1,20,3.0257134,61,9
179,2,34,3.226835,77,9
180,3,26,2.890814,92,9
181,4,28,2.979012,85,9
182,5,16,4.092437,85,9
183,6,33,3.2080953,73,9
184,7,13,1.8470615,88,9
185,8,26,0.5243122,71,9
186,9,36,3.4126213,84,9
187,10,20,2.640374,96,9
188,11,50,3.066372,77,9
189,12,30,1.101907,106,9
190,13,39,2.4924219,88,9
191,14,24,1.9612929,97,9
192,15,29,3.7069657,84,9
193,16,11,4.1324983,84,9
194,17,59,2.8378553,71,9
195,18,12,2.5439305,113,9
196,19,26,3.3236892,71,9
197,20,19,3.5247216,82,9
198,21,12,2.5736005,77,9
199,22,33,3.2434409,72,9
200,23,40,4.123483,92,9
201,1,41,4.1359653,37,10
202,2,42,3.4090867,70,10
203,3,18,3.4768925,76,10
204,4,22,4.357796,54,10
205,5,18,3.7179875,55,10
206,6,9,3.2603486,52,10
207,7,22,2.3554952,42,10
208,8,20,1.9624888,57,10
209,9,17,3.7771127,55,10
210,10,24,3.6424124,53,10
211,11,21,2.3373675,60,10
212,12,22,4.295798,57,10
213,13,27,3.899384,53,10
214,14,23,3.3193815,59,10
215,15,18,3.4102037,58,10
216,16,16,1.0071075,54,10
217,17,22,3.1510155,52,10
218,18,16,3.9867184,55,10
219,19,24,3.6576133,52,10
220,20,22,4.080324,57,10
221,21,22,3.3797522,54,10
222,22,15,3.6626594,57,10
223,23,14,2.6179118,51,10
224,24,17,3.9600174,50,10
225,25,27,3.0198987,53,10
226,26,13,3.8519099,63,10
227,27,29,4.1991844,49,10
228,28,6,2.1786864,64,10
229,29,14,3.960562,39,10
230,30,21,3.3368444,47,10
231,31,11,3.3702443,55,10
232,1,125,1.70073,50,11
233,2,36,0.2331417,138,11
234,3,25,2.3880637,80,11
235,4,25,1.8408974,61,11
236,5,65,1.8901173,67,11
237,6,114,1.4508826,90,11
238,7,22,1.0762683,132,11
239,8,19,2.0647926,64,11
240,9,38,3.041091,58,11
241,10,27,3.2038403,85,11
242,11,18,3.6669455,71,11
243,12,23,2.7692618,66,11
244,13,11,4.704656,71,11
245,14,11,6.435879,61,11
246,15,2,2.744379,57,11
247,16,17,5.307811,51,11
248,1,26,0.8461949,38,12
249,2,40,3.728058,59,12
250,3,26,2.8025968,72,12
251,4,17,2.4486032,62,12
252,5,21,3.3395448,54,12
253,6,25,3.579895,57,12
254,7,19,3.550836,60,12
255,8,12,4.189334,54,12
256,9,22,1.1994189,49,12
257,10,23,3.1624327,57,12
258,11,16,3.3340127,58,12
259,12,15,3.8331952,51,12
260,13,8,4.365945,49,12
261,14,20,2.0856142,45,12
262,15,14,3.2334535,53,12
263,16,29,3.3865476,50,12
264,17,28,3.626197,59,12
265,18,25,3.371357,63,12
266,19,35,3.1065488,62,12
267,20,43,2.8312767,70,12
268,21,23,3.6535447,79,12
269,22,23,4.1574507,59,12
270,23,44,3.6604266,60,12
271,24,13,4.5050535,80,12
272,25,33,3.5459592,49,12
273,1,2,11.367846,50,13
274,2,49,3.3259735,51,13
275,3,31,2.155012,87,13
276,4,2,7.6578,79,13
277,5,43,2.9338615,51,13
278,6,2,7.164929,91,13
279,7,36,3.480436,51,13
280,8,14,3.7783897,78,13
281,9,46,4.014182,63,13
282,10,24,5.3186274,94,13
283,11,3,3.60414,71,13
284,12,9,3.9996734,52,13
285,13,11,4.750439,56,13
286,14,2,9.503713,60,13
287,15,37,2.0008729,51,13
288,16,33,3.8162093,84,13
289,17,19,2.9970717,80,13
290,18,53,2.3774374,64,13
291,19,22,3.807092,99,13
292,20,27,2.8185446,68,13
293,21,38,3.3295302,73,13
294,22,27,3.1509702,82,13
295,23,12,3.8197584,73,13
296,24,18,3.9492238,61,13
297,25,2,6.5478554,67,13
298,26,40,2.8800015,51,13
299,1,26,0.46030706,66,14
300,2,21,2.8582687,88,14
301,3,22,2.679783,86,14
302,4,16,3.0367198,87,14
303,5,13,3.972381,81,14
304,6,42,2.9922662,77,14
305,7,14,2.2163904,98,14
306,8,18,3.3224537,78,14
307,9,21,4.8718653,81,14
308,10,7,5.829062,83,14
309,11,15,3.3611894,71,14
310,12,21,3.6213758,79,14
311,13,28,4.061646,80,14
312,14,15,3.8787973,90,14
313,15,23,2.4959521,78,14
314,16,13,2.3188512,85,14
315,17,21,3.606761,78,14
316,18,18,3.2814841,81,14
317,19,9,3.3689964,82,14
318,20,27,4.9914484,74,14
319,21,14,4.7043576,85,14
320,22,36,3.591634,76,14
321,23,17,3.4147027,98,14
322,24,29,3.4439516,81,14
323,25,15,2.8302348,91,14
324,26,35,0.52704585,79,14
325,27,19,3.6727552,98,14
326,28,13,1.3056548,84,14
327,29,12,4.8399444,78,14
328,30,32,3.7507873,77,14
329,31,13,4.544293,88,14
330,32,4,3.7008457,78,14
331,1,56,3.101332,65,15
332,2,23,2.50088,113,15
333,3,31,3.7296348,84,15
334,4,45,3.31052,93,15
335,5,33,3.1013944,104,15
336,6,26,4.9617257,93,15
337,7,25,1.5988065,90,15
338,8,26,0.9246665,86,15
339,9,46,3.600083,87,15
340,10,4,3.024957,105,15
341,11,37,3.6187835,66,15
342,12,29,0.54482615,97,15
343,13,60,3.4676983,89,15
344,14,13,3.2281458,109,15
345,15,52,3.4411743,76,15
346,16,23,3.231506,105,15
347,17,47,3.6466942,84,15
348,18,38,2.8729374,101,15
349,1,22,0.5384117,56,16
350,2,34,1.1728213,75,16
351,3,17,0.55455595,86,16
352,4,29,3.5610108,72,16
353,5,23,2.785252,82,16
354,6,22,4.5516634,77,16
355,7,23,3.2397377,72,16
356,8,35,3.2431467,75,16
357,9,22,4.553871,81,16
358,10,6,5.196838,75,16
359,11,27,3.3398576,61,16
360,12,14,4.714509,80,16
361,13,2,2.8189142,67,16
362,14,16,3.3863046,57,16
363,15,20,3.4165304,68,16
364,16,38,3.8605409,71,16
365,17,32,3.2391393,88,16
366,18,28,3.620826,83,16
367,19,24,3.2701375,78,16
368,20,2,7.255307,77,16
369,21,35,4.550563,57,16
370,22,2,6.9293833,85,16
371,23,14,4.1344304,57,16
372,24,25,4.1501865,69,16
373,25,29,4.360275,79,16
374,26,51,3.5183034,80,16
