,num,length,response,context_length,name
0,1,22,1.6085815,5,0
1,2,16,3.9494877,6,0
2,3,20,2.8243773,6,0
3,4,21,3.771014,9,0
4,5,21,0.59049094,19,0
5,6,35,0.37101996,38,0
6,7,37,2.509467,7,0
7,8,22,0.42038676,20,0
8,9,18,0.7442946,15,0
9,10,30,2.6939569,9,0
10,11,35,0.5689888,32,0
11,12,19,0.54347,16,0
12,13,31,2.4913096,10,0
13,14,23,0.6302456,22,0
14,15,21,1.389976,12,0
15,16,29,2.756629,8,0
16,17,25,2.797696,13,0
17,18,26,0.6685418,20,0
18,19,37,2.4060466,7,0
19,20,22,1.130015,20,0
20,1,16,1.2094767,18,1
21,2,28,3.3126156,8,1
22,3,32,1.0190873,25,1
23,4,18,2.4224772,8,1
24,5,27,3.034695,8,1
25,6,27,0.5230092,25,1
26,7,15,2.1421022,9,1
27,8,22,0.9997023,26,1
28,9,37,2.4368148,11,1
29,10,24,2.477572,8,1
30,11,28,2.3724227,10,1
31,12,25,2.6075265,15,1
32,13,18,0.98029876,15,1
33,14,23,2.2071347,12,1
34,15,23,1.2357769,21,1
35,16,19,0.52372026,16,1
36,17,25,0.5544035,23,1
37,18,23,2.67587,7,1
38,1,40,2.2755308,10,2
39,2,27,2.864138,11,2
40,3,25,2.5043945,13,2
41,4,29,2.9526477,10,2
42,5,53,1.4447733,23,2
43,6,31,2.6210096,8,2
44,7,22,2.6480253,12,2
45,8,34,0.7092104,29,2
46,9,32,2.090776,8,2
47,10,26,1.3127315,21,2
48,11,22,0.4522376,17,2
49,12,28,4.0967364,8,2
50,13,24,2.6880248,10,2
51,1,19,1.0799694,18,3
52,2,27,3.7210755,6,3
53,3,26,3.0496829,6,3
54,4,26,2.7375264,8,3
55,5,24,2.8093183,8,3
56,6,26,0.87616473,20,3
57,7,26,2.308223,10,3
58,8,22,0.47521546,19,3
59,9,27,2.8823855,8,3
60,10,24,3.6790614,5,3
61,11,19,1.6646698,11,3
62,12,17,3.533638,8,3
63,13,19,1.476732,19,3
64,14,34,0.26136732,26,3
65,15,20,3.6991882,11,3
66,16,27,1.8392092,14,3
67,17,46,3.265791,6,3
68,1,34,0.43266147,47,4
69,2,22,2.0639577,12,4
70,3,14,0.7958716,13,4
71,4,25,2.9543033,13,4
72,5,12,1.623846,12,4
73,6,15,0.7013229,11,4
74,7,29,2.32914,8,4
75,8,13,0.92872006,12,4
76,9,13,1.2564706,12,4
77,10,21,1.5307215,18,4
78,11,15,2.6427207,7,4
79,12,22,0.7596477,21,4
80,13,22,2.507385,17,4
81,14,15,0.90850866,14,4
82,15,14,1.8148243,5,4
83,16,23,2.7880993,11,4
84,17,11,1.1135048,10,4
85,18,18,2.0700965,8,4
86,19,19,3.5859175,10,4
87,20,30,2.5487852,14,4
88,21,43,0.5509691,38,4
89,22,33,2.4627657,11,4
90,1,33,1.8092122,9,5
91,2,31,2.1068053,19,5
92,3,24,2.9292343,7,5
93,4,22,1.1546452,17,5
94,5,33,0.7014895,32,5
95,6,36,2.5347598,11,5
96,7,30,0.27341092,37,5
97,8,25,0.9127019,31,5
98,9,27,2.6295624,15,5
99,10,20,0.6423149,17,5
100,11,29,0.5178844,25,5
101,12,20,0.80855054,19,5
102,13,25,1.4091799,17,5
103,14,28,0.7919377,24,5
104,15,34,1.9539953,15,5
105,1,22,1.9478948,11,6
106,2,22,0.56434953,21,6
107,3,28,3.0723403,10,6
108,4,32,1.7555748,14,6
109,5,23,2.6674273,11,6
110,6,34,2.406241,10,6
111,7,28,1.6888177,17,6
112,8,32,2.719068,11,6
113,9,44,3.143216,8,6
114,10,30,1.0404304,36,6
115,11,31,1.8404852,14,6
116,12,30,1.7962847,14,6
117,13,25,1.753272,13,6
118,14,21,0.7759843,20,6
119,1,29,3.179411,9,7
120,2,28,1.6393279,14,7
121,3,19,0.74703526,23,7
122,4,20,2.1184394,17,7
123,5,38,2.796638,8,7
124,6,20,2.1545286,9,7
125,7,26,0.8453518,28,7
126,8,36,2.705904,9,7
127,9,25,0.8375057,20,7
128,10,29,0.43421903,32,7
129,11,24,0.52310705,23,7
130,12,37,3.350772,8,7
131,13,21,2.312337,9,7
132,14,30,1.8432195,11,7
133,1,46,0.6053768,37,8
134,2,31,2.6804059,10,8
135,3,31,3.0899107,8,8
136,4,34,2.2687638,10,8
137,5,26,1.9522214,15,8
138,6,23,0.6263942,21,8
139,7,28,1.3195795,14,8
140,8,23,1.0974557,20,8
141,9,30,3.3310168,12,8
142,10,37,2.809378,16,8
143,11,31,3.031385,9,8
144,12,17,1.2573191,17,8
145,1,19,0.8545394,18,9
146,2,16,3.2002153,13,9
147,3,18,1.1255499,15,9
148,4,32,3.2007792,12,9
149,5,27,0.89593285,23,9
150,6,31,2.4902284,7,9
151,7,35,2.561402,9,9
152,8,20,0.44780424,17,9
153,9,36,2.898607,10,9
154,10,38,2.7308779,9,9
155,11,23,3.039358,9,9
156,12,31,2.0190892,16,9
157,13,25,2.1979218,16,9
158,14,25,1.5816522,22,9
159,15,26,3.1707332,17,9
160,16,29,3.062511,7,9
161,1,13,2.0581927,9,10
162,2,20,1.299866,15,10
163,3,17,2.8982363,8,10
164,4,17,0.7865076,16,10
165,5,36,2.1455355,16,10
166,6,24,3.2488263,8,10
167,7,17,0.86405194,17,10
168,8,19,3.6568058,8,10
169,9,24,2.6431282,14,10
170,10,25,2.5040615,9,10
171,11,16,0.7308044,13,10
172,12,18,1.7117106,19,10
173,13,26,0.6526221,22,10
174,14,21,0.8654999,16,10
175,15,16,3.2441788,15,10
176,16,38,2.5559237,11,10
177,17,25,0.5641149,21,10
178,1,16,3.002793,11,11
179,2,24,1.8228865,18,11
180,3,26,1.0736544,22,11
181,4,19,0.6637113,17,11
182,5,27,2.7170746,17,11
183,6,29,3.6799736,12,11
184,7,33,2.8832273,8,11
185,8,26,2.4383168,12,11
186,9,27,0.8908985,27,11
187,10,22,2.7094278,14,11
188,11,34,0.2852643,29,11
189,12,32,3.0133152,8,11
190,13,13,1.1565461,12,11
191,14,21,0.76651645,17,11
192,1,33,0.7657316,29,12
193,2,38,2.3459802,16,12
194,3,32,0.22771995,27,12
195,4,27,0.5808342,30,12
196,5,43,0.44139913,35,12
197,6,30,3.5305517,9,12
198,7,36,2.3090658,12,12
199,8,41,0.9085076,36,12
200,9,45,0.4108603,40,12
201,10,32,2.4909406,9,12
