,num,length,response,context_length,name
0,1,22,2.0981162,10,0
1,2,16,4.7746677,10,0
2,3,20,3.5286994,10,0
3,4,21,4.5051713,10,0
4,5,21,3.4310205,10,0
5,6,35,2.6080003,10,0
6,7,37,2.7540853,10,0
7,8,22,3.1659443,10,0
8,9,18,2.7910347,10,0
9,10,30,2.9987385,10,0
10,11,35,3.4300091,10,0
11,12,19,2.8481126,10,0
12,13,31,3.0474231,10,0
13,14,23,4.4080997,10,0
14,15,21,2.2279418,10,0
15,16,29,3.1630154,10,0
16,17,25,3.5713398,10,0
17,18,26,2.768594,10,0
18,19,37,2.55634,10,0
19,20,22,2.6338823,10,0
20,1,16,2.9777405,10,1
21,2,28,3.8201256,10,1
22,3,32,3.3016489,10,1
23,4,18,2.8034706,10,1
24,5,27,3.1336412,10,1
25,6,27,2.7152596,10,1
26,7,15,3.2566752,10,1
27,8,22,3.071433,10,1
28,9,37,3.0542142,10,1
29,10,24,2.6181867,10,1
30,11,28,2.8729393,10,1
31,12,25,3.2548566,10,1
32,13,18,3.0368917,10,1
33,14,23,3.2720587,10,1
34,15,23,3.676267,10,1
35,16,19,3.5756733,10,1
36,17,25,3.483637,10,1
37,18,23,2.8114998,10,1
38,1,40,2.7646923,10,2
39,2,27,3.9693491,10,2
40,3,25,3.0527604,10,2
41,4,29,3.394866,10,2
42,5,53,2.3093596,10,2
43,6,31,3.0990522,10,2
44,7,22,3.2937772,10,2
45,8,34,2.999297,10,2
46,9,32,2.840992,10,2
47,10,26,3.7232673,10,2
48,11,22,3.3043623,10,2
49,12,28,4.028648,10,2
50,13,24,4.1571846,10,2
51,1,19,4.760335,10,3
52,2,27,4.1688533,10,3
53,3,26,4.6324368,10,3
54,4,26,2.8752925,10,3
55,5,24,3.0797472,10,3
56,6,26,4.4064074,10,3
57,7,26,2.5054452,10,3
58,8,22,3.857652,10,3
59,9,27,4.016145,10,3
60,10,24,3.8576963,10,3
61,11,19,4.3690724,10,3
62,12,17,4.12381,10,3
63,13,19,3.943626,10,3
64,14,34,4.039286,10,3
65,15,20,3.6515393,10,3
66,16,27,3.9611416,10,3
67,17,46,3.2408853,10,3
68,1,34,2.9935622,10,4
69,2,22,3.429461,10,4
70,3,14,3.5557365,10,4
71,4,25,3.9011676,10,4
72,5,12,4.2669873,10,4
73,6,15,3.2809312,10,4
74,7,29,3.275976,10,4
75,8,13,3.7766821,10,4
76,9,13,3.5412354,10,4
77,10,21,3.3038793,10,4
78,11,15,3.3908057,10,4
79,12,22,2.9650834,10,4
80,13,22,3.3229918,10,4
81,14,15,3.849613,10,4
82,15,14,2.9850256,10,4
83,16,23,3.7087479,10,4
84,17,11,4.7763085,10,4
85,18,18,3.2742875,10,4
86,19,19,4.3483896,10,4
87,20,30,3.3111482,10,4
88,21,43,2.842391,10,4
89,22,33,2.87016,10,4
90,1,33,2.2720633,10,5
91,2,31,3.8116653,10,5
92,3,24,4.3377233,10,5
93,4,22,4.754168,10,5
94,5,33,3.6533775,10,5
95,6,36,3.2044241,10,5
96,7,30,2.8483748,10,5
97,8,25,4.3058596,10,5
98,9,27,4.0494976,10,5
99,10,20,3.7145052,10,5
100,11,29,3.5792973,10,5
101,12,20,4.4782534,10,5
102,13,25,4.5418015,10,5
103,14,28,3.9747612,10,5
104,15,34,2.9969997,10,5
105,1,22,3.5173268,10,6
106,2,22,4.536066,10,6
107,3,28,4.019255,10,6
108,4,32,2.8429694,10,6
109,5,23,3.5852852,10,6
110,6,34,3.49081,10,6
111,7,28,3.5066485,10,6
112,8,32,3.3527298,10,6
113,9,44,3.2006586,10,6
114,10,30,2.8296878,10,6
115,11,31,3.4707894,10,6
116,12,30,2.9284704,10,6
117,13,25,2.7454255,10,6
118,14,21,2.9765592,10,6
119,1,29,4.3408875,10,7
120,2,28,3.5795877,10,7
121,3,19,4.8401175,10,7
122,4,20,4.8382726,10,7
123,5,38,3.102251,10,7
124,6,20,3.6919935,10,7
125,7,26,5.0443664,10,7
126,8,36,3.841059,10,7
127,9,25,3.754846,10,7
128,10,29,3.4934692,10,7
129,11,24,4.572882,10,7
130,12,37,3.44027,10,7
131,13,21,4.047402,10,7
132,14,30,3.2129848,10,7
133,1,46,4.7399583,10,8
134,2,31,3.5959914,10,8
135,3,31,4.1429524,10,8
136,4,34,3.8333035,10,8
137,5,26,4.9540806,10,8
138,6,23,3.5486262,10,8
139,7,28,3.2312024,10,8
140,8,23,4.4735003,10,8
141,9,30,4.168167,10,8
142,10,37,3.6152003,10,8
143,11,31,4.2997694,10,8
144,12,17,2.8239477,10,8
145,1,19,3.323178,10,9
146,2,16,4.1361904,10,9
147,3,18,3.6805544,10,9
148,4,32,3.2178485,10,9
149,5,27,2.6302593,10,9
150,6,31,3.0086339,10,9
151,7,35,2.9243634,10,9
152,8,20,2.7839558,10,9
153,9,36,3.7393904,10,9
154,10,38,2.9860244,10,9
155,11,23,3.299423,10,9
156,12,31,3.2578557,10,9
157,13,25,2.8940778,10,9
158,14,25,2.871739,10,9
159,15,26,3.248051,10,9
160,16,29,3.1965628,10,9
161,1,13,4.2779503,10,10
162,2,20,3.0313876,10,10
163,3,17,3.546995,10,10
164,4,17,3.0470684,10,10
165,5,36,2.998918,10,10
166,6,24,3.7453785,10,10
167,7,17,3.776042,10,10
168,8,19,4.2344775,10,10
169,9,24,3.233095,10,10
170,10,25,2.823023,10,10
171,11,16,2.8799117,10,10
172,12,18,3.9243312,10,10
173,13,26,3.0617552,10,10
174,14,21,2.35551,10,10
175,15,16,3.6428943,10,10
176,16,38,3.0458548,10,10
177,17,25,3.0004525,10,10
178,1,16,4.653509,10,11
179,2,24,4.1667533,10,11
180,3,26,3.6945958,10,11
181,4,19,5.058797,10,11
182,5,27,4.067691,10,11
183,6,29,3.889902,10,11
184,7,33,3.6164834,10,11
185,8,26,3.8514938,10,11
186,9,27,4.6855574,10,11
187,10,22,4.172804,10,11
188,11,34,3.2086687,10,11
189,12,32,3.5884137,10,11
190,13,13,3.723776,10,11
191,14,21,3.8576062,10,11
192,1,33,3.107014,10,12
193,2,38,3.0462039,10,12
194,3,32,2.9199963,10,12
195,4,27,4.2260227,10,12
196,5,43,3.5203133,10,12
197,6,30,4.111732,10,12
198,7,36,3.123455,10,12
199,8,41,3.8534064,10,12
200,9,45,2.939349,10,12
201,10,32,3.3810642,10,12
202,11,26,3.6177802,10,12
203,1,21,4.123153,10,13
204,2,27,3.1813781,10,13
205,3,19,3.4373443,10,13
206,4,31,3.1790185,10,13
207,5,19,4.1450076,10,13
208,6,27,3.8337004,10,13
209,7,25,3.9958375,10,13
210,8,31,4.0038414,10,13
211,9,33,3.484693,10,13
212,10,28,3.721892,10,13
213,11,41,3.5408018,10,13
214,12,8,3.0615711,10,13
215,13,29,3.6600919,10,13
216,14,21,4.0347075,10,13
217,15,22,4.991364,10,13
218,16,16,4.468687,10,13
219,17,27,4.213616,10,13
220,18,24,3.1559436,10,13
221,19,34,3.5365822,10,13
222,20,26,4.4476843,10,13
223,21,19,3.8095856,10,13
224,1,21,2.809584,10,14
225,2,32,2.359957,10,14
226,3,35,2.475078,10,14
227,4,26,3.037651,10,14
228,5,20,3.1886947,10,14
229,6,21,2.9706743,10,14
230,7,19,3.5158715,10,14
231,8,19,2.3676162,10,14
232,9,18,2.6723316,10,14
233,10,42,2.5746505,10,14
234,11,18,3.2074008,10,14
235,12,29,2.8831263,10,14
236,13,33,2.6505244,10,14
237,14,37,2.463573,10,14
238,15,31,2.8355515,10,14
239,1,21,5.130977,10,15
240,2,30,3.2407305,10,15
241,3,22,4.2041345,10,15
242,4,20,3.9410808,10,15
243,5,23,3.9885056,10,15
244,6,18,4.6947584,10,15
245,7,19,4.211764,10,15
246,8,28,3.8948967,10,15
247,9,24,4.315498,10,15
248,10,34,3.1195953,10,15
249,11,20,4.5493116,10,15
250,12,33,3.2094193,10,15
251,13,31,3.183567,10,15
252,14,41,3.810968,10,15
253,15,24,2.6642041,10,15
254,1,23,4.0063233,10,16
255,2,39,3.2036312,10,16
256,3,28,2.8249085,10,16
257,4,18,4.1073074,10,16
258,5,32,2.336826,10,16
259,6,22,3.683928,10,16
260,7,30,3.0746777,10,16
261,8,31,3.4035466,10,16
262,9,26,3.6047788,10,16
263,10,22,3.913652,10,16
264,11,23,4.4737453,10,16
265,12,28,3.2460802,10,16
266,13,23,4.1992116,10,16
