,num,length,response,context_length,name
0,1,22,1.936486,0,0
1,2,16,4.280737,0,0
2,3,20,3.0359428,0,0
3,4,21,3.9187808,0,0
4,5,21,3.3398666,0,0
5,6,35,2.4236684,0,0
6,7,37,2.6655958,0,0
7,8,22,3.2414544,0,0
8,9,18,2.7832723,0,0
9,10,30,2.8623211,0,0
10,11,35,3.2111263,0,0
11,12,19,2.8927345,0,0
12,13,31,2.8312495,0,0
13,14,23,4.263613,0,0
14,15,21,2.2557142,0,0
15,16,29,2.8124828,0,0
16,17,25,3.3444378,0,0
17,18,26,2.7818594,0,0
18,19,37,2.2271345,0,0
19,20,22,2.4707553,0,0
20,1,16,2.581144,0,1
21,2,28,3.639387,0,1
22,3,32,3.0341096,0,1
23,4,18,2.8624887,0,1
24,5,27,3.0155787,0,1
25,6,27,2.519892,0,1
26,7,15,3.6254456,0,1
27,8,22,2.9325867,0,1
28,9,37,3.0528913,0,1
29,10,24,2.8961458,0,1
30,11,28,2.8739297,0,1
31,12,25,2.9709861,0,1
32,13,18,3.390398,0,1
33,14,23,3.2454946,0,1
34,15,23,3.5911944,0,1
35,16,19,3.741668,0,1
36,17,25,3.435066,0,1
37,18,23,2.6727383,0,1
38,1,40,2.6565158,0,2
39,2,27,3.3124938,0,2
40,3,25,3.265336,0,2
41,4,29,3.1583865,0,2
42,5,53,2.3771393,0,2
43,6,31,2.7176487,0,2
44,7,22,3.4056432,0,2
45,8,34,2.7807982,0,2
46,9,32,3.0133605,0,2
47,10,26,3.6809673,0,2
48,11,22,3.1803362,0,2
49,12,28,3.8425505,0,2
50,13,24,3.907961,0,2
51,1,19,4.388328,0,3
52,2,27,3.7865436,0,3
53,3,26,3.9790454,0,3
54,4,26,2.5823755,0,3
55,5,24,3.1914675,0,3
56,6,26,4.040902,0,3
57,7,26,2.1738312,0,3
58,8,22,4.3054175,0,3
59,9,27,3.628273,0,3
60,10,24,3.8554738,0,3
61,11,19,4.785468,0,3
62,12,17,4.0365696,0,3
63,13,19,3.9109368,0,3
64,14,34,4.4378295,0,3
65,15,20,3.5471978,0,3
66,16,27,4.131053,0,3
67,17,46,3.2167468,0,3
68,1,34,2.740903,0,4
69,2,22,3.216539,0,4
70,3,14,3.3529022,0,4
71,4,25,3.0095472,0,4
72,5,12,3.090226,0,4
73,6,15,3.272603,0,4
74,7,29,2.5349486,0,4
75,8,13,2.9211395,0,4
76,9,13,3.7391179,0,4
77,10,21,2.990066,0,4
78,11,15,2.7307487,0,4
79,12,22,2.9029589,0,4
80,13,22,2.872796,0,4
81,14,15,2.706943,0,4
82,15,14,3.119555,0,4
83,16,23,2.893672,0,4
84,17,11,3.2234232,0,4
85,18,18,3.1555433,0,4
86,19,19,3.4320283,0,4
87,20,30,3.0461595,0,4
88,21,43,2.7556958,0,4
89,22,33,2.7396107,0,4
90,1,33,2.039871,0,5
91,2,31,3.6717207,0,5
92,3,24,3.7322233,0,5
93,4,22,4.614724,0,5
94,5,33,3.2873144,0,5
95,6,36,3.027432,0,5
96,7,30,2.7853591,0,5
97,8,25,3.7327404,0,5
98,9,27,3.8403192,0,5
99,10,20,3.5693085,0,5
100,11,29,3.2996156,0,5
101,12,20,4.230856,0,5
102,13,25,4.463153,0,5
103,14,28,3.466989,0,5
104,15,34,2.9161205,0,5
105,1,22,3.3816643,0,6
106,2,22,4.560691,0,6
107,3,28,3.6428275,0,6
108,4,32,2.9372008,0,6
109,5,23,3.1392918,0,6
110,6,34,3.1854384,0,6
111,7,28,3.2843728,0,6
112,8,32,3.3284345,0,6
113,9,44,3.1715133,0,6
114,10,30,2.4909308,0,6
115,11,31,3.4860117,0,6
116,12,30,2.888733,0,6
117,13,25,2.250002,0,6
118,14,21,2.7054605,0,6
119,1,29,4.172778,0,7
120,2,28,3.2310338,0,7
121,3,19,4.4268217,0,7
122,4,20,4.302169,0,7
123,5,38,2.704992,0,7
124,6,20,3.581707,0,7
125,7,26,4.776032,0,7
126,8,36,3.676414,0,7
127,9,25,3.7272806,0,7
128,10,29,3.408183,0,7
129,11,24,4.614714,0,7
130,12,37,3.4492614,0,7
131,13,21,3.8413851,0,7
132,14,30,2.8507276,0,7
133,1,46,4.521549,0,8
134,2,31,3.2572894,0,8
135,3,31,4.198192,0,8
136,4,34,3.4385707,0,8
137,5,26,4.7282906,0,8
138,6,23,3.6137,0,8
139,7,28,2.9890409,0,8
140,8,23,3.86113,0,8
141,9,30,3.9106011,0,8
142,10,37,3.5053535,0,8
143,11,31,3.8696628,0,8
144,12,17,2.3246355,0,8
145,1,19,2.8390007,0,9
146,2,16,4.1145773,0,9
147,3,18,3.4087193,0,9
148,4,32,2.9734209,0,9
149,5,27,2.540157,0,9
150,6,31,2.7812793,0,9
151,7,35,2.8833632,0,9
152,8,20,2.9887123,0,9
153,9,36,3.4538865,0,9
154,10,38,2.9404938,0,9
155,11,23,3.1434028,0,9
156,12,31,3.30915,0,9
157,13,25,3.151526,0,9
158,14,25,2.7889764,0,9
159,15,26,3.2684124,0,9
160,16,29,2.8456323,0,9
161,1,13,4.1774426,0,10
162,2,20,2.7932925,0,10
163,3,17,3.5618663,0,10
164,4,17,3.25605,0,10
165,5,36,2.9291458,0,10
166,6,24,3.7966537,0,10
167,7,17,4.3854527,0,10
168,8,19,3.5921063,0,10
169,9,24,2.8900454,0,10
170,10,25,2.4809303,0,10
171,11,16,3.2801642,0,10
172,12,18,3.843636,0,10
173,13,26,2.9378333,0,10
174,14,21,2.3938289,0,10
175,15,16,4.0587707,0,10
176,16,38,3.0659199,0,10
177,17,25,3.1082916,0,10
178,1,16,4.5853357,0,11
179,2,24,3.7208595,0,11
180,3,26,3.4600632,0,11
181,4,19,4.7821293,0,11
182,5,27,3.899024,0,11
183,6,29,3.6842606,0,11
184,7,33,3.4287808,0,11
185,8,26,3.9047196,0,11
186,9,27,4.4764085,0,11
187,10,22,3.7982056,0,11
188,11,34,3.2239745,0,11
189,12,32,3.4871013,0,11
190,13,13,3.6108932,0,11
191,14,21,3.317463,0,11
192,1,33,2.7853336,0,12
193,2,38,3.0091603,0,12
194,3,32,2.932693,0,12
195,4,27,4.3218384,0,12
196,5,43,3.6168306,0,12
197,6,30,3.8972511,0,12
198,7,36,3.1536,0,12
199,8,41,3.8379154,0,12
200,9,45,2.9707642,0,12
201,10,32,3.371312,0,12
202,11,26,3.3772957,0,12
203,1,21,3.802001,0,13
204,2,27,2.9508,0,13
205,3,19,2.8602228,0,13
206,4,31,3.0503256,0,13
207,5,19,3.8499038,0,13
208,6,27,3.911427,0,13
209,7,25,3.7443852,0,13
210,8,31,3.8159466,0,13
211,9,33,3.561251,0,13
212,10,28,3.4585545,0,13
213,11,41,3.5068097,0,13
214,12,8,3.550792,0,13
215,13,29,3.4842603,0,13
216,14,21,3.9145694,0,13
217,15,22,4.365068,0,13
218,16,16,3.9134026,0,13
219,17,27,3.823345,0,13
220,18,24,3.2042344,0,13
221,19,34,3.245552,0,13
222,20,26,3.8289378,0,13
223,21,19,3.364124,0,13
224,1,21,2.4859116,0,14
225,2,32,2.2658548,0,14
226,3,35,2.6838217,0,14
227,4,26,2.9480622,0,14
228,5,20,3.8727915,0,14
229,6,21,3.0009122,0,14
230,7,19,3.4382432,0,14
231,8,19,2.6701748,0,14
232,9,18,2.6823084,0,14
233,10,42,2.6429114,0,14
234,11,18,3.3611865,0,14
235,12,29,2.776747,0,14
236,13,33,2.4271762,0,14
237,14,37,2.534904,0,14
238,15,31,2.7263818,0,14
239,1,21,4.6852236,0,15
240,2,30,2.929914,0,15
