,num,length,response,context_length,name
0,1,22,1.936486,0,0
1,2,16,3.9390879,19,0
2,3,20,2.6489997,34,0
3,4,21,2.965581,52,0
4,5,21,2.545839,51,0
5,6,35,1.9717529,53,0
6,7,37,2.1855292,66,0
7,8,22,1.5511178,77,0
8,9,18,2.240119,80,0
9,10,30,1.9665275,64,0
10,11,35,2.8736367,63,0
11,12,19,1.3505783,75,0
12,13,31,2.5674086,76,0
13,14,23,3.2293053,73,0
14,15,21,1.4984078,63,0
15,16,29,2.253075,66,0
16,17,25,2.4306955,67,0
17,18,26,1.8236641,67,0
18,19,37,1.8628254,67,0
19,20,22,2.0306065,76,0
20,1,16,2.581144,0,1
21,2,28,3.0165763,15,1
22,3,32,2.3222635,38,1
23,4,18,1.4313745,67,1
24,5,27,2.2416346,68,1
25,6,27,1.8505415,69,1
26,7,15,2.2523346,65,1
27,8,22,2.3306718,62,1
28,9,37,2.2978866,58,1
29,10,24,1.9795723,66,1
30,11,28,2.0104215,73,1
31,12,25,2.3527777,78,1
32,13,18,1.2786143,66,1
33,14,23,2.5506527,59,1
34,15,23,2.9497316,53,1
35,16,19,2.3860536,53,1
36,17,25,2.561086,56,1
37,18,23,1.7555972,60,1
38,1,40,2.6565158,0,2
39,2,27,2.3466547,36,2
40,3,25,2.067611,56,2
41,4,29,2.378645,78,2
42,5,53,1.7348485,70,2
43,6,31,2.0321991,95,2
44,7,22,1.9753083,101,2
45,8,34,2.2229896,91,2
46,9,32,1.8512292,75,2
47,10,26,2.5338016,73,2
48,11,22,1.8972243,79,2
49,12,28,2.5506065,67,2
50,13,24,1.843342,67,2
51,1,19,4.388328,0,3
52,2,27,3.110276,18,3
53,3,26,2.6376982,40,3
54,4,26,2.5216925,61,3
55,5,24,2.4523768,66,3
56,6,26,3.6081386,64,3
57,7,26,2.1075006,66,3
58,8,22,3.0418804,66,3
59,9,27,2.2299006,65,3
60,10,24,2.882041,67,3
61,11,19,1.3147984,66,3
62,12,17,2.4688237,63,3
63,13,19,1.7144305,54,3
64,14,34,2.257387,50,3
65,15,20,3.061018,60,3
66,16,27,1.9494094,62,3
67,17,46,2.6067917,68,3
68,1,34,2.740903,0,4
69,2,22,2.4119003,28,4
70,3,14,2.3332481,49,4
71,4,25,2.226056,61,4
72,5,12,3.0501642,55,4
73,6,15,1.6430436,45,4
74,7,29,2.1838875,44,4
75,8,13,2.8606858,47,4
76,9,13,1.6750419,48,4
77,10,21,2.2930796,48,4
78,11,15,2.2895367,42,4
79,12,22,1.5485022,42,4
80,13,22,2.3846188,51,4
81,14,15,2.1979253,52,4
82,15,14,1.2979788,54,4
83,16,23,2.352374,46,4
84,17,11,2.770462,47,4
85,18,18,2.3572032,43,4
86,19,19,3.0013244,46,4
87,20,30,2.4301827,41,4
88,21,43,2.2754347,59,4
89,22,33,1.8278033,81,4
90,1,33,2.039871,0,5
91,2,31,3.4110532,26,5
92,3,24,2.7647676,50,5
93,4,22,2.7552962,70,5
94,5,33,2.138106,64,5
95,6,36,2.319983,71,5
96,7,30,1.7143171,83,5
97,8,25,2.0949872,90,5
98,9,27,2.0313818,83,5
99,10,20,2.241183,75,5
100,11,29,2.0680058,65,5
101,12,20,2.6007876,66,5
102,13,25,3.586931,61,5
103,14,28,2.0360863,66,5
104,15,34,1.8535054,65,5
105,1,22,3.3816643,0,6
106,2,22,3.1300397,18,6
107,3,28,2.8063643,39,6
108,4,32,1.4056889,65,6
109,5,23,2.2286563,75,6
110,6,34,2.196179,75,6
111,7,28,2.00975,81,6
112,8,32,2.6137786,79,6
113,9,44,1.8377384,86,6
114,10,30,2.0893378,93,6
115,11,31,1.8578154,94,6
116,12,30,1.7609218,92,6
117,13,25,1.6609415,80,6
118,14,21,2.36147,76,6
119,1,29,4.172778,0,7
120,2,28,2.7916236,27,7
121,3,19,2.7242215,52,7
122,4,20,2.4793375,69,7
123,5,38,1.9017344,60,7
124,6,20,2.472693,67,7
125,7,26,3.70134,68,7
126,8,36,2.479746,75,7
127,9,25,2.3988574,76,7
128,10,29,2.5102234,77,7
129,11,24,3.1589277,73,7
130,12,37,2.2533581,63,7
131,13,21,2.2180834,77,7
132,14,30,1.9814719,75,7
133,1,46,4.521549,0,8
134,2,31,1.8076671,37,8
135,3,31,1.8127991,63,8
136,4,34,1.8264266,86,8
137,5,26,1.76287,71,8
138,6,23,1.9779952,65,8
139,7,28,1.6346416,62,8
140,8,23,2.6540287,62,8
141,9,30,2.533571,63,8
142,10,37,2.3277316,64,8
143,11,31,3.0940008,72,8
144,12,17,2.0273151,81,8
145,1,19,2.8390007,0,9
146,2,16,3.1465447,18,9
147,3,18,2.7551117,32,9
148,4,32,2.75049,48,9
149,5,27,1.8397102,55,9
150,6,31,2.3344655,63,9
151,7,35,2.3160021,76,9
152,8,20,1.7799802,80,9
153,9,36,2.6436722,75,9
154,10,38,2.1800287,79,9
155,11,23,3.12755,86,9
156,12,31,2.0902743,87,9
157,13,25,2.1217675,80,9
158,14,25,2.1022124,64,9
159,15,26,2.8029506,70,9
160,16,29,2.9133563,68,9
161,1,13,4.1774426,0,10
162,2,20,2.065458,12,10
163,3,17,2.2862906,27,10
164,4,17,2.231165,43,10
165,5,36,1.9720114,45,10
166,6,24,2.9389002,64,10
167,7,17,2.3348393,70,10
168,8,19,2.293383,71,10
169,9,24,1.9341911,54,10
170,10,25,1.9799268,53,10
171,11,16,2.4294827,58,10
172,12,18,2.705905,54,10
173,13,26,2.202815,50,10
174,14,21,1.6012859,51,10
175,15,16,3.1174934,55,10
176,16,38,2.4886441,51,10
177,17,25,2.1022627,66,10
178,1,16,4.5853357,0,11
179,2,24,2.880061,13,11
180,3,26,2.8526745,35,11
181,4,19,3.8155527,59,11
182,5,27,2.4625046,63,11
183,6,29,3.1035485,66,11
184,7,33,2.4489715,68,11
185,8,26,3.1961672,81,11
186,9,27,3.0803797,78,11
187,10,22,3.0162039,78,11
188,11,34,2.3078997,69,11
189,12,32,2.7471166,76,11
190,13,13,3.0298135,79,11
191,14,21,2.6737394,70,11
192,1,33,2.7853336,0,12
193,2,38,2.284561,29,12
194,3,32,1.8685453,62,12
195,4,27,2.9939,89,12
196,5,43,2.5720391,83,12
197,6,30,2.5406415,83,12
198,7,36,2.0425315,81,12
199,8,41,2.7085757,86,12
200,9,45,2.057575,89,12
201,10,32,2.4042604,102,12
202,11,26,2.915877,104,12
203,1,21,3.802001,0,13
204,2,27,2.6416461,18,13
205,3,19,2.2907922,39,13
206,4,31,2.3267376,56,13
207,5,19,3.0210872,67,13
208,6,27,2.8534627,62,13
209,7,25,3.0160394,68,13
210,8,31,2.607966,59,13
211,9,33,2.6976106,69,13
212,10,28,3.1032774,75,13
213,11,41,2.1691177,78,13
214,12,8,1.96208,90,13
215,13,29,2.0786417,67,13
216,14,21,2.1230588,65,13
217,15,22,3.0027695,43,13
218,16,16,2.9095197,57,13
219,17,27,3.3923447,51,13
220,18,24,2.0056975,59,13
221,19,34,2.6806056,59,13
222,20,26,3.113587,75,13
223,21,19,2.6335742,75,13
224,1,21,2.4859116,0,14
225,2,32,1.9770452,20,14
226,3,35,1.9936718,48,14
227,4,26,2.3558922,80,14
228,5,20,2.227267,80,14
229,6,21,1.9649247,70,14
230,7,19,2.095379,55,14
231,8,19,2.2038589,51,14
232,9,18,2.0305157,50,14
233,10,42,2.1099606,47,14
234,11,18,2.5422764,67,14
235,12,29,2.2300432,66,14
236,13,33,1.8745927,77,14
237,14,37,1.6717422,70,14
238,15,31,2.3480098,83,14
239,1,21,4.6852236,0,15
240,2,30,2.846644,19,15
241,3,22,1.9761816,45,15
242,4,20,2.931354,64,15
243,5,23,2.521106,63,15
244,6,18,1.4175192,59,15
245,7,19,3.1626568,56,15
246,8,28,2.975023,55,15
247,9,24,2.1591365,59,15
248,10,34,2.211312,65,15
249,11,20,2.2530403,79,15
250,12,33,2.456614,71,15
251,13,31,2.4152088,80,15
252,14,41,2.1720333,78,15
253,15,24,2.1061802,98,15
254,1,23,3.8337827,0,16
255,2,39,2.3381033,21,16
256,3,28,1.6553262,58,16
257,4,18,3.0627296,80,16
258,5,32,1.564003,76,16
259,6,22,2.1656175,60,16
260,7,30,2.3361065,57,16
261,8,31,2.164117,68,16
262,9,26,2.2664592,76,16
263,10,22,3.050637,79,16
264,11,23,3.2968369,70,16
265,12,28,2.0377254,59,16
266,13,23,3.3571064,62,16
267,14,25,2.209969,65,16
268,15,26,2.1513896,68,16
269,16,24,2.8263633,66,16
270,1,25,2.8587806,0,17
271,2,20,2.118606,21,17
272,3,27,1.8139331,39,17
273,4,30,1.8714883,63,17
274,5,24,1.550077,69,17
275,6,32,2.7053194,71,17
276,7,21,1.7440364,77,17
277,8,31,1.9830344,68,17
278,9,17,1.2008375,76,17
279,10,37,1.5048151,60,17
280,11,24,1.9251027,76,17
281,12,36,1.964148,67,17
282,1,23,2.4667256,0,18
283,2,21,1.4892019,18,18
284,3,22,2.5368917,38,18
285,4,18,1.8597155,59,18
286,5,16,2.1496527,56,18
287,6,21,2.0791807,51,18
288,7,26,1.7846912,50,18
289,8,26,2.1154199,57,18
290,9,33,1.8962936,66,18
291,10,39,2.0967016,74,18
292,11,19,1.3535265,87,18
293,12,26,2.5967963,79,18
294,1,18,3.5421927,0,19
295,2,22,2.6743884,15,19
296,3,24,2.4039025,33,19
297,4,32,2.0176854,55,19
298,5,16,2.7321339,69,19
299,6,20,1.9378327,66,19
300,7,16,2.817303,62,19
301,8,28,2.6525025,48,19
302,9,34,2.4567246,56,19
303,10,24,2.3416588,70,19
304,11,33,1.8696189,73,19
305,12,15,3.179587,80,19
306,13,34,2.033237,60,19
307,14,30,2.5301497,72,19
308,1,24,3.243162,0,20
309,2,18,2.186627,21,20
310,3,21,1.3896163,37,20
311,4,17,3.1666453,54,20
312,5,32,1.7232598,48,20
313,6,31,3.080948,60,20
314,7,41,1.6174715,71,20
315,8,22,1.4834536,93,20
316,9,45,1.8216813,82,20
317,10,29,1.8630341,96,20
318,11,33,2.0160332,85,20
319,12,36,1.9077028,95,20
320,1,24,3.9537747,0,21
321,2,24,2.6415768,21,21
322,3,28,2.8926966,39,21
323,4,31,2.727625,63,21
324,5,26,3.5251253,65,21
325,6,32,3.8203237,65,21
326,7,27,4.153397,70,21
327,8,16,3.3913927,73,21
328,9,17,3.6580038,68,21
329,10,24,3.1641102,54,21
330,11,23,2.7604053,51,21
331,12,33,2.4942014,58,21
332,13,36,4.0341024,69,21
333,14,14,3.2541773,78,21
334,15,14,3.1254785,71,21
335,1,42,3.076469,0,22
336,2,24,2.184226,38,22
337,3,41,2.111883,60,22
338,4,30,2.1826754,97,22
339,5,25,2.444849,87,22
340,6,45,2.1468265,87,22
341,7,33,2.3590326,92,22
342,8,38,2.2210507,93,22
343,9,36,2.7279103,107,22
