,num,length,response,context_length,name
0,1,22,1.936486,0,0
1,2,16,3.9390879,19,0
2,3,20,2.854487,15,0
3,4,21,3.2492747,18,0
4,5,21,2.8317754,18,0
5,6,35,2.0542636,17,0
6,7,37,2.2108893,31,0
7,8,22,2.80459,29,0
8,9,18,2.2680888,20,0
9,10,30,2.2795165,15,0
10,11,35,2.8542438,28,0
11,12,19,1.8291571,32,0
12,13,31,2.7346628,16,0
13,14,23,3.5751314,25,0
14,15,21,1.6789489,22,0
15,16,29,2.4199667,19,0
16,17,25,3.0241296,26,0
17,18,26,1.8950185,22,0
18,19,37,1.957522,19,0
19,20,22,2.065545,35,0
20,1,16,2.581144,0,1
21,2,28,3.0165763,15,1
22,3,32,2.4528427,23,1
23,4,18,1.6347244,29,1
24,5,27,2.5518901,16,1
25,6,27,2.1053119,24,1
26,7,15,2.7783732,25,1
27,8,22,2.4450552,13,1
28,9,37,2.4636357,20,1
29,10,24,2.3290882,33,1
30,11,28,2.3542655,20,1
31,12,25,2.6137073,25,1
32,13,18,2.3015382,21,1
33,14,23,2.6348348,13,1
34,15,23,3.4342873,19,1
35,16,19,3.107949,21,1
36,17,25,2.8596766,16,1
37,18,23,2.2690592,23,1
38,1,40,2.6565158,0,2
39,2,27,2.3466547,36,2
40,3,25,2.2491484,20,2
41,4,29,2.831099,22,2
42,5,53,2.1015556,28,2
43,6,31,2.4781492,45,2
44,7,22,2.2348254,28,2
45,8,34,2.4330904,18,2
46,9,32,1.9883683,29,2
47,10,26,2.8868384,26,2
48,11,22,2.0496283,24,2
49,12,28,3.1056764,17,2
50,13,24,2.6845653,26,2
51,1,19,4.388328,0,3
52,2,27,3.110276,18,3
53,3,26,3.9082873,22,3
54,4,26,2.71264,21,3
55,5,24,2.7599437,23,3
56,6,26,3.5394197,20,3
57,7,26,2.0835414,23,3
58,8,22,3.9873903,23,3
59,9,27,2.4054286,19,3
60,10,24,2.9685078,25,3
61,11,19,2.774313,22,3
62,12,17,3.080518,16,3
63,13,19,3.5404954,16,3
64,14,34,3.259107,18,3
65,15,20,3.0240798,26,3
66,16,27,3.7410963,18,3
67,17,46,3.094909,24,3
68,1,34,2.740903,0,4
69,2,22,2.4119003,28,4
70,3,14,2.482983,21,4
71,4,25,2.3848276,12,4
72,5,12,3.1514385,22,4
73,6,15,2.595729,11,4
74,7,29,2.3285708,11,4
75,8,13,2.9178636,25,4
76,9,13,3.1338272,12,4
77,10,21,2.5213695,11,4
78,11,15,2.4553838,19,4
79,12,22,2.5291579,12,4
80,13,22,2.493922,20,4
81,14,15,2.8917873,20,4
82,15,14,2.1438673,14,4
83,16,23,2.598601,12,4
84,17,11,3.4754136,21,4
85,18,18,2.8058102,10,4
86,19,19,3.1147015,15,4
87,20,30,2.7963305,16,4
88,21,43,2.323063,28,4
89,22,33,2.0561028,37,4
90,1,33,2.039871,0,5
91,2,31,3.4110532,26,5
92,3,24,2.8563483,24,5
93,4,22,2.870301,20,5
94,5,33,2.22947,20,5
95,6,36,2.3275015,31,5
96,7,30,1.9610534,32,5
97,8,25,3.4144173,27,5
98,9,27,2.747119,24,5
99,10,20,2.3712442,24,5
100,11,29,2.4677455,17,5
101,12,20,3.097402,25,5
102,13,25,3.9553206,19,5
103,14,28,2.6889305,22,5
104,15,34,2.691358,24,5
105,1,22,3.3816643,0,6
106,2,22,3.1300397,18,6
107,3,28,2.8677642,21,6
108,4,32,2.4727745,26,6
109,5,23,2.5105772,28,6
110,6,34,2.6391678,21,6
111,7,28,2.587653,32,6
112,8,32,2.7093132,26,6
113,9,44,2.2629318,28,6
114,10,30,2.080485,39,6
115,11,31,3.3647711,27,6
116,12,30,1.8669827,26,6
117,13,25,1.9100592,27,6
118,14,21,2.6290627,23,6
119,1,29,4.172778,0,7
120,2,28,2.7916236,27,7
121,3,19,2.8567758,25,7
122,4,20,2.694097,17,7
123,5,38,2.0332582,18,7
124,6,20,2.339539,32,7
125,7,26,3.8514044,18,7
126,8,36,3.2113547,25,7
127,9,25,2.3702826,33,7
128,10,29,2.5834768,19,7
129,11,24,3.3944616,21,7
130,12,37,2.6818602,23,7
131,13,21,2.3747315,33,7
132,14,30,2.1111977,19,7
133,1,46,4.521549,0,8
134,2,31,1.8076671,37,8
135,3,31,3.2275825,26,8
136,4,34,2.1925693,23,8
137,5,26,3.2563376,22,8
138,6,23,2.4427226,20,8
139,7,28,2.1345968,20,8
140,8,23,3.2718933,22,8
141,9,30,2.9660466,21,8
142,10,37,2.3309906,21,8
143,11,31,3.4532378,30,8
144,12,17,2.3005302,30,8
145,1,19,2.8390007,0,9
146,2,16,3.1465447,18,9
147,3,18,2.7652812,14,9
148,4,32,2.8281295,16,9
149,5,27,2.322949,25,9
150,6,31,2.3974292,22,9
151,7,35,2.3560095,29,9
152,8,20,2.1177382,29,9
153,9,36,3.2142532,17,9
154,10,38,2.3624964,33,9
155,11,23,3.1243336,36,9
156,12,31,2.458867,18,9
157,13,25,2.2175195,26,9
158,14,25,2.1618729,20,9
159,15,26,2.884128,24,9
160,16,29,2.835622,24,9
161,1,13,4.1774426,0,10
162,2,20,2.065458,12,10
163,3,17,3.0252097,15,10
164,4,17,2.4328558,16,10
165,5,36,2.5100682,14,10
166,6,24,3.340575,34,10
167,7,17,3.0620158,22,10
168,8,19,2.593849,15,10
169,9,24,2.2687044,17,10
170,10,25,2.061737,21,10
171,11,16,2.5148463,20,10
172,12,18,3.256057,13,10
173,13,26,2.4007826,17,10
174,14,21,1.6584319,21,10
175,15,16,3.424558,17,10
176,16,38,2.5886114,13,10
177,17,25,2.4572682,36,10
178,1,16,4.5853357,0,11
179,2,24,2.880061,13,11
180,3,26,2.92724,22,11
181,4,19,3.647849,24,11
182,5,27,3.292373,17,11
183,6,29,3.268217,25,11
184,7,33,2.589135,26,11
185,8,26,3.2216885,30,11
186,9,27,3.8246617,22,11
187,10,22,3.2996485,26,11
188,11,34,2.8127954,21,11
189,12,32,3.0468643,29,11
190,13,13,3.0675642,29,11
191,14,21,3.0213628,12,11
192,1,33,2.7853336,0,12
193,2,38,2.284561,29,12
194,3,32,2.1140547,33,12
195,4,27,3.1280823,27,12
196,5,43,2.8389924,23,12
197,6,30,2.7316227,33,12
198,7,36,2.3584974,25,12
199,8,41,2.7786849,28,12
200,9,45,2.2250946,36,12
201,10,32,2.41989,38,12
202,11,26,2.9294207,30,12
203,1,21,3.802001,0,13
204,2,27,2.6416461,18,13
205,3,19,2.3168273,21,13
206,4,31,2.6375983,17,13
207,5,19,3.1479828,29,13
208,6,27,3.2755022,16,13
209,7,25,3.1683578,23,13
210,8,31,3.4883394,20,13
211,9,33,2.960352,26,13
212,10,28,3.0097654,29,13
213,11,41,3.088155,23,13
214,12,8,2.5009532,38,13
215,13,29,3.3847117,6,13
216,14,21,2.3525734,21,13
217,15,22,3.7471106,16,13
218,16,16,3.2883344,20,13
219,17,27,3.5704746,15,13
220,18,24,2.1631284,24,13
221,19,34,2.8001108,20,13
222,20,26,3.3348036,31,13
223,21,19,3.0663512,24,13
224,1,21,2.4859116,0,14
225,2,32,1.9770452,20,14
226,3,35,2.0494235,28,14
227,4,26,2.4129066,32,14
228,5,20,2.8080354,20,14
229,6,21,2.2245486,18,14
230,7,19,2.2056623,17,14
231,8,19,2.2570632,16,14
232,9,18,2.2881808,17,14
233,10,42,2.2153366,14,14
234,11,18,2.346161,36,14
235,12,29,2.3666685,16,14
236,13,33,1.8717178,25,14
237,14,37,2.0552998,29,14
238,15,31,2.322517,29,14
239,1,21,4.6852236,0,15
240,2,30,2.846644,19,15
241,3,22,3.3083,26,15
242,4,20,3.2733092,19,15
243,5,23,3.1722977,18,15
244,6,18,3.1760442,22,15
245,7,19,3.5472794,16,15
246,8,28,3.4073856,17,15
247,9,24,3.4982,26,15
248,10,34,2.370479,22,15
249,11,20,3.7811005,31,15
250,12,33,2.5345356,18,15
251,13,31,2.696719,31,15
252,14,41,3.167821,29,15
253,15,24,2.2184665,38,15
254,1,23,3.8337827,0,16
255,2,39,2.3381033,21,16
256,3,28,2.1360128,37,16
257,4,18,3.6009324,22,16
258,5,32,1.896009,17,16
259,6,22,3.1806352,21,16
260,7,30,2.967197,19,16
261,8,31,2.9873316,28,16
262,9,26,2.421291,29,16
263,10,22,3.0847495,22,16
264,11,23,3.8195503,19,16
265,12,28,2.5657976,18,16
266,13,23,3.4423997,25,16
267,14,25,2.7925813,22,16
268,15,26,2.3890219,21,16
269,16,24,2.971937,23,16
270,1,25,2.8587806,0,17
271,2,20,2.118606,21,17
272,3,27,2.0378594,18,17
273,4,30,2.0783176,24,17
274,5,24,1.9378114,27,17
275,6,32,2.8243814,20,17
276,7,21,2.0484633,30,17
277,8,31,2.191968,18,17
278,9,17,1.7064441,28,17
279,10,37,1.6753869,14,17
280,11,24,1.9484092,34,17
281,12,36,2.08393,19,17
282,1,23,2.4667256,0,18
283,2,21,1.4892019,18,18
284,3,22,2.9704792,20,18
285,4,18,2.2015178,21,18
286,5,16,2.6173959,15,18
287,6,21,2.9336455,15,18
288,7,26,1.9654055,20,18
289,8,26,2.2455707,22,18
290,9,33,2.1936073,24,18
291,10,39,2.2437992,28,18
292,11,19,1.3881831,35,18
293,12,26,2.7628734,16,18
294,1,18,3.5421927,0,19
295,2,22,2.6743884,15,19
296,3,24,2.4192095,18,19
297,4,32,2.3708146,22,19
298,5,16,3.0488634,29,19
299,6,20,2.2094026,15,19
300,7,16,3.3338552,18,19
301,8,28,2.8461561,15,19
302,9,34,2.5437155,23,19
303,10,24,2.2995899,32,19
304,11,33,2.347802,18,19
305,12,15,3.301152,30,19
306,13,34,2.5472963,12,19
307,14,30,2.7788525,30,19
308,1,24,3.243162,0,20
309,2,18,2.186627,21,20
310,3,21,2.962374,16,20
311,4,17,3.23785,17,20
312,5,32,2.6431506,15,20
313,6,31,3.2508001,28,20
314,7,41,2.360265,28,20
315,8,22,1.6462656,37,20
316,9,45,1.8212453,17,20
317,10,29,2.82829,42,20
318,11,33,2.0801349,26,20
319,12,36,2.702961,27,20
320,1,24,3.9537747,0,21
321,2,24,2.6415768,21,21
322,3,28,3.0610347,18,21
323,4,31,3.6280122,24,21
324,5,26,3.694107,23,21
325,6,32,3.9627829,18,21
326,7,27,4.416365,29,21
327,8,16,3.6127696,26,21
328,9,17,3.855025,13,21
329,10,24,3.5606828,15,21
330,11,23,2.7168238,23,21
331,12,33,2.623248,20,21
332,13,36,4.0078516,26,21
333,14,14,3.3889763,32,21
334,15,14,3.2259126,13,21
335,1,42,3.076469,0,22
336,2,24,2.184226,38,22
337,3,41,2.6563938,22,22
338,4,30,2.2021234,37,22
339,5,25,2.8441412,28,22
340,6,45,2.3238828,22,22
341,7,33,2.5694911,42,22
342,8,38,2.41643,29,22
343,9,36,2.9013708,36,22
