,num,length,response,context_length,name
0,1,22,0.4375658,56,0
1,2,16,4.389699,75,0
2,3,20,0.86169523,71,0
3,4,21,3.3628528,74,0
4,5,21,2.337352,74,0
5,6,35,1.9788563,73,0
6,7,37,1.2626954,87,0
7,8,22,2.3897748,85,0
8,9,18,1.7332014,76,0
9,10,30,2.160073,71,0
10,11,35,2.7896037,84,0
11,12,19,1.8487747,88,0
12,13,31,2.473341,72,0
13,14,23,3.3407476,81,0
14,15,21,1.7783344,78,0
15,16,29,2.1963468,75,0
16,17,25,2.980792,82,0
17,18,26,1.6027486,78,0
18,19,37,1.8918539,75,0
19,20,22,2.203152,91,0
20,1,16,0.6641909,53,1
21,2,28,1.6061478,68,1
22,3,32,0.96540725,76,1
23,4,18,1.4197148,82,1
24,5,27,2.2153506,69,1
25,6,27,1.909279,77,1
26,7,15,1.8985827,78,1
27,8,22,2.1683767,66,1
28,9,37,2.0194972,73,1
29,10,24,2.0696752,86,1
30,11,28,1.7336636,73,1
31,12,25,2.3779356,78,1
32,13,18,1.6889167,74,1
33,14,23,2.5248406,66,1
34,15,23,3.1268628,72,1
35,16,19,2.0083675,74,1
36,17,25,1.9105917,69,1
37,18,23,1.9962546,76,1
38,1,40,2.0433645,54,2
39,2,27,0.3976912,90,2
40,3,25,1.2710502,74,2
41,4,29,1.1507934,76,2
42,5,53,1.7866853,82,2
43,6,31,1.9959395,99,2
44,7,22,1.8713264,82,2
45,8,34,2.3003104,72,2
46,9,32,1.9500929,83,2
47,10,26,2.006368,80,2
48,11,22,1.5378405,78,2
49,12,28,2.3321846,71,2
50,13,24,1.9164141,80,2
51,1,19,2.3528588,58,3
52,2,27,0.38144144,76,3
53,3,26,1.5307299,80,3
54,4,26,2.5544057,79,3
55,5,24,0.40546876,81,3
56,6,26,3.1169052,78,3
57,7,26,2.2948613,81,3
58,8,22,1.8044245,81,3
59,9,27,2.0869002,77,3
60,10,24,2.8796265,83,3
61,11,19,2.1049201,80,3
62,12,17,2.3235414,74,3
63,13,19,2.5490017,74,3
64,14,34,2.5130785,76,3
65,15,20,3.0454383,84,3
66,16,27,1.9526379,76,3
67,17,46,2.969618,82,3
68,1,34,1.1228825,42,4
69,2,22,0.41342652,70,4
70,3,14,2.2766232,63,4
71,4,25,2.2739255,54,4
72,5,12,3.251038,64,4
73,6,15,2.6805103,53,4
74,7,29,2.1736712,53,4
75,8,13,2.9885163,67,4
76,9,13,3.1296792,54,4
77,10,21,2.4697032,53,4
78,11,15,2.6464128,61,4
79,12,22,2.3419344,54,4
80,13,22,2.4924412,62,4
81,14,15,2.7130263,62,4
82,15,14,2.445984,56,4
83,16,23,2.407861,54,4
84,17,11,3.528405,63,4
85,18,18,2.3719776,52,4
86,19,19,2.89955,57,4
87,20,30,2.5499184,58,4
88,21,43,1.3665605,70,4
89,22,33,1.5774913,79,4
90,1,33,0.83937204,56,5
91,2,31,1.5112089,82,5
92,3,24,0.42704055,80,5
93,4,22,2.8737235,76,5
94,5,33,2.177995,76,5
95,6,36,2.3732054,87,5
96,7,30,1.870703,88,5
97,8,25,2.453852,83,5
98,9,27,2.310307,80,5
99,10,20,2.3526177,80,5
100,11,29,1.9175336,73,5
101,12,20,2.9034257,81,5
102,13,25,3.057945,75,5
103,14,28,2.490725,78,5
104,15,34,1.5834451,80,5
105,1,22,2.351423,44,6
106,2,22,3.1815023,62,6
107,3,28,2.8828933,65,6
108,4,32,1.4392513,70,6
109,5,23,1.9782664,72,6
110,6,34,2.448577,65,6
111,7,28,2.3288224,76,6
112,8,32,2.227565,70,6
113,9,44,2.0609782,72,6
114,10,30,1.9242915,83,6
115,11,31,2.5547817,71,6
116,12,30,0.50721246,70,6
117,13,25,0.7242999,71,6
118,14,21,2.6649246,67,6
119,1,29,1.7996174,39,7
120,2,28,0.50895476,66,7
121,3,19,2.7371953,64,7
122,4,20,2.4845755,56,7
123,5,38,1.9191476,57,7
124,6,20,2.5459206,71,7
