,num,length,response,context_length,name
0,1,24,0.5015197,21,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,32,2.8425024,7,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,22,3.0278053,9,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,12,6.2745433,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,16,2.8145483,11,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,32,2.588231,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,30,1.2537935,26,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,1,6.370479,1,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,34,3.464552,13,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,17,3.1697187,12,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,12,4.8131437,6,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,18,4.5902,13,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,4,9.748006,1,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,19,1.2625932,16,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,20,1.7914343,15,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,21,2.3207955,13,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,16,4.8216386,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,20,4.3246403,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,19,32,2.6548028,9,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
19,20,28,1.9558914,25,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
20,21,35,2.6730056,6,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
21,22,1,6.370479,1,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
22,23,19,2.2414765,7,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
23,24,5,2.269924,4,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
24,25,25,1.5881013,18,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
25,1,2,5.918128,2,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,2,3,7.2455363,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,3,22,3.8408751,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,4,23,1.5421808,23,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,5,14,4.8672056,9,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,6,21,3.7255282,8,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,7,20,3.850518,9,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,8,16,1.5124763,13,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,9,26,3.034108,8,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,10,20,2.3980448,12,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,11,11,2.0325472,49,f42473cabb81d447785c15a46e0ccd2a9eb70434
36,12,16,5.1205616,7,f42473cabb81d447785c15a46e0ccd2a9eb70434
37,13,10,5.434311,6,f42473cabb81d447785c15a46e0ccd2a9eb70434
38,14,26,0.8482985,20,f42473cabb81d447785c15a46e0ccd2a9eb70434
39,15,33,4.144289,5,f42473cabb81d447785c15a46e0ccd2a9eb70434
40,16,5,5.198383,4,f42473cabb81d447785c15a46e0ccd2a9eb70434
41,17,8,1.0012672,7,f42473cabb81d447785c15a46e0ccd2a9eb70434
42,18,23,3.305356,12,f42473cabb81d447785c15a46e0ccd2a9eb70434
43,19,36,1.6079412,29,f42473cabb81d447785c15a46e0ccd2a9eb70434
44,20,8,1.6428008,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
45,21,1,6.370479,1,f42473cabb81d447785c15a46e0ccd2a9eb70434
46,22,3,6.650614,1,f42473cabb81d447785c15a46e0ccd2a9eb70434
47,23,16,4.1215005,11,f42473cabb81d447785c15a46e0ccd2a9eb70434
48,24,14,3.8631253,8,f42473cabb81d447785c15a46e0ccd2a9eb70434
49,25,10,3.4103966,8,f42473cabb81d447785c15a46e0ccd2a9eb70434
50,26,20,3.478798,8,f42473cabb81d447785c15a46e0ccd2a9eb70434
51,27,8,4.8521924,7,f42473cabb81d447785c15a46e0ccd2a9eb70434
52,28,13,5.848001,13,f42473cabb81d447785c15a46e0ccd2a9eb70434
53,29,8,6.3174677,8,f42473cabb81d447785c15a46e0ccd2a9eb70434
54,30,33,3.4971642,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
55,31,20,1.7168047,18,f42473cabb81d447785c15a46e0ccd2a9eb70434
56,32,24,2.7088342,14,f42473cabb81d447785c15a46e0ccd2a9eb70434
57,33,3,6.174975,2,f42473cabb81d447785c15a46e0ccd2a9eb70434
