,num,length,response,context_length,name
0,1,24,2.6855915,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,32,2.8217635,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,22,2.5551002,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,12,4.292069,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,16,4.1236753,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,32,2.4137404,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,30,3.80897,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,1,nan,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,34,3.9318168,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,17,4.910987,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,12,5.702098,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,18,4.4699707,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,4,6.16301,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,19,2.6130726,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,20,3.1898143,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,21,3.5735128,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,16,4.0629144,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,20,3.410906,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,19,32,2.8032095,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
19,20,28,2.5577877,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
20,21,35,2.5216177,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
21,22,1,nan,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
22,23,19,2.3597486,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
23,24,5,3.2293544,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
24,25,25,3.422444,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
25,1,2,8.697603,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,2,3,4.749938,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,3,22,3.8671799,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,4,23,3.3081279,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,5,14,5.684754,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,6,21,3.8058507,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,7,20,3.4924734,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,8,16,3.775882,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,9,26,3.11278,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,10,20,3.4652655,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,11,11,4.129859,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
36,12,16,4.7076488,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
37,13,10,4.88579,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
38,14,26,3.3076954,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
39,15,33,4.2944083,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
40,16,5,5.0400577,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
41,17,8,5.1548853,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
42,18,23,3.5061243,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
43,19,36,3.1003337,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
44,20,8,3.9355998,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
45,21,1,nan,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
46,22,3,5.6038756,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
47,23,16,4.2118583,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
48,24,14,4.602365,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
49,25,10,3.4601724,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
50,26,20,4.5688953,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
51,27,8,4.7200084,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
52,28,13,5.7627897,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
53,29,8,5.000125,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
54,30,33,4.096577,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
55,31,20,4.078698,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
56,32,24,3.9598505,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
57,33,3,5.8359213,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
58,34,15,4.771113,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
59,35,16,3.9135497,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
60,36,35,2.8151782,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
61,1,4,3.922942,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
62,2,33,2.454461,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
63,3,17,4.3967633,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
