,num,length,response,context_length,name
0,1,24,2.6855915,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,32,2.4732506,21,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,22,2.2650752,43,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,12,3.201847,64,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,16,3.202246,55,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,32,2.31011,48,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,30,2.7526038,56,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,1,10.257937,71,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,34,3.193306,57,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,17,4.3273945,55,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,12,5.3780823,41,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,18,3.5435457,50,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,4,5.3843765,41,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,19,3.0916665,30,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,20,2.9239967,36,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,21,2.5683992,37,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,16,2.9596362,55,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,20,2.9135644,54,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,19,32,2.8037615,52,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
19,20,28,2.3493047,58,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
20,21,35,2.234649,61,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
21,22,1,8.235856,73,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
22,23,19,1.9293905,48,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
23,24,5,3.4706428,42,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
24,25,25,3.2140377,17,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
25,1,2,8.697603,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,2,3,4.8913503,2,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,3,22,3.9789634,5,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,4,23,3.0224597,26,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,5,14,4.284072,44,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,6,21,2.597699,51,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,7,20,3.1539178,50,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,8,16,2.7144704,49,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,9,26,2.802102,52,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,10,20,2.517994,51,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,11,11,4.7248745,50,f42473cabb81d447785c15a46e0ccd2a9eb70434
36,12,16,3.7138996,44,f42473cabb81d447785c15a46e0ccd2a9eb70434
37,13,10,2.1079385,40,f42473cabb81d447785c15a46e0ccd2a9eb70434
38,14,26,3.1309507,31,f42473cabb81d447785c15a46e0ccd2a9eb70434
39,15,33,3.530701,44,f42473cabb81d447785c15a46e0ccd2a9eb70434
40,16,5,4.030708,57,f42473cabb81d447785c15a46e0ccd2a9eb70434
41,17,8,3.6765945,52,f42473cabb81d447785c15a46e0ccd2a9eb70434
42,18,23,3.2606747,39,f42473cabb81d447785c15a46e0ccd2a9eb70434
43,19,36,2.6624253,34,f42473cabb81d447785c15a46e0ccd2a9eb70434
44,20,8,2.970257,57,f42473cabb81d447785c15a46e0ccd2a9eb70434
45,21,1,9.645227,58,f42473cabb81d447785c15a46e0ccd2a9eb70434
46,22,3,4.6243925,36,f42473cabb81d447785c15a46e0ccd2a9eb70434
47,23,16,3.2531943,11,f42473cabb81d447785c15a46e0ccd2a9eb70434
48,24,14,3.9842124,18,f42473cabb81d447785c15a46e0ccd2a9eb70434
49,25,10,2.9677122,29,f42473cabb81d447785c15a46e0ccd2a9eb70434
50,26,20,4.2462606,35,f42473cabb81d447785c15a46e0ccd2a9eb70434
51,27,8,3.6113803,37,f42473cabb81d447785c15a46e0ccd2a9eb70434
52,28,13,4.7565527,33,f42473cabb81d447785c15a46e0ccd2a9eb70434
53,29,8,2.7767186,37,f42473cabb81d447785c15a46e0ccd2a9eb70434
54,30,33,3.693591,26,f42473cabb81d447785c15a46e0ccd2a9eb70434
55,31,20,3.8562758,47,f42473cabb81d447785c15a46e0ccd2a9eb70434
56,32,24,3.5150917,52,f42473cabb81d447785c15a46e0ccd2a9eb70434
57,33,3,6.644815,65,f42473cabb81d447785c15a46e0ccd2a9eb70434
58,34,15,3.7954655,38,f42473cabb81d447785c15a46e0ccd2a9eb70434
59,35,16,2.1919286,33,f42473cabb81d447785c15a46e0ccd2a9eb70434
60,36,35,2.52618,26,f42473cabb81d447785c15a46e0ccd2a9eb70434
61,1,4,3.922942,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
62,2,33,2.6735787,2,1c7b415f6d78ac63c237d68ddb437a147a89450c
63,3,17,3.8638997,33,1c7b415f6d78ac63c237d68ddb437a147a89450c
