,num,length,response,context_length,name
0,1,24,1.8499522,58,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,32,2.1908572,79,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,22,0.76595455,80,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,12,3.11114,79,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,16,2.7289908,70,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,32,2.3056514,73,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,30,1.4573689,87,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,1,10.370926,85,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,34,3.164866,59,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,17,4.421672,85,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,12,5.80961,71,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,18,4.458383,68,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,4,6.8563724,76,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,19,2.3475652,60,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,20,2.7284627,74,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,21,2.470316,77,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,16,2.9080877,78,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,20,2.9841874,73,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,19,32,2.6614351,75,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
19,20,28,2.1323853,84,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
20,21,35,2.4357314,76,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
21,22,1,10.583938,87,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
22,23,19,2.1548378,59,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
23,24,5,3.1938868,70,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
24,25,25,3.2701159,62,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
25,1,2,11.06223,28,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,2,3,4.543428,30,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,3,22,3.4420059,31,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,4,23,1.0259501,49,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,5,14,1.7183795,48,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,6,21,3.1604073,38,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,7,20,3.1883998,48,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,8,16,2.5289738,47,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,9,26,2.9607172,41,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,10,20,2.9090548,47,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,11,11,4.695202,46,f42473cabb81d447785c15a46e0ccd2a9eb70434
36,12,16,3.6325805,35,f42473cabb81d447785c15a46e0ccd2a9eb70434
37,13,10,2.5522819,43,f42473cabb81d447785c15a46e0ccd2a9eb70434
38,14,26,3.0741084,37,f42473cabb81d447785c15a46e0ccd2a9eb70434
39,15,33,3.798349,48,f42473cabb81d447785c15a46e0ccd2a9eb70434
40,16,5,4.2730546,56,f42473cabb81d447785c15a46e0ccd2a9eb70434
41,17,8,3.2342966,32,f42473cabb81d447785c15a46e0ccd2a9eb70434
42,18,23,3.3444912,35,f42473cabb81d447785c15a46e0ccd2a9eb70434
43,19,36,2.6487188,51,f42473cabb81d447785c15a46e0ccd2a9eb70434
44,20,8,3.4567187,55,f42473cabb81d447785c15a46e0ccd2a9eb70434
45,21,1,8.903112,36,f42473cabb81d447785c15a46e0ccd2a9eb70434
46,22,3,4.7531734,29,f42473cabb81d447785c15a46e0ccd2a9eb70434
47,23,16,3.6461978,30,f42473cabb81d447785c15a46e0ccd2a9eb70434
48,24,14,3.3597727,43,f42473cabb81d447785c15a46e0ccd2a9eb70434
49,25,10,3.223114,40,f42473cabb81d447785c15a46e0ccd2a9eb70434
50,26,20,3.9304774,36,f42473cabb81d447785c15a46e0ccd2a9eb70434
51,27,8,3.8185,45,f42473cabb81d447785c15a46e0ccd2a9eb70434
52,28,13,4.457368,36,f42473cabb81d447785c15a46e0ccd2a9eb70434
53,29,8,3.669773,40,f42473cabb81d447785c15a46e0ccd2a9eb70434
54,30,33,3.6487617,34,f42473cabb81d447785c15a46e0ccd2a9eb70434
55,31,20,4.0106473,57,f42473cabb81d447785c15a46e0ccd2a9eb70434
56,32,24,3.6871789,45,f42473cabb81d447785c15a46e0ccd2a9eb70434
57,33,3,6.760034,47,f42473cabb81d447785c15a46e0ccd2a9eb70434
58,34,15,3.427404,30,f42473cabb81d447785c15a46e0ccd2a9eb70434
59,35,16,2.9939842,40,f42473cabb81d447785c15a46e0ccd2a9eb70434
60,36,35,2.5784585,40,f42473cabb81d447785c15a46e0ccd2a9eb70434
61,1,4,5.3416758,45,1c7b415f6d78ac63c237d68ddb437a147a89450c
62,2,33,1.3063734,47,1c7b415f6d78ac63c237d68ddb437a147a89450c
63,3,17,3.804639,76,1c7b415f6d78ac63c237d68ddb437a147a89450c
64,4,31,1.7876537,61,1c7b415f6d78ac63c237d68ddb437a147a89450c
65,5,26,2.3974988,75,1c7b415f6d78ac63c237d68ddb437a147a89450c
66,6,61,2.5022957,69,1c7b415f6d78ac63c237d68ddb437a147a89450c
67,7,31,4.518571,99,1c7b415f6d78ac63c237d68ddb437a147a89450c
68,8,30,2.8242729,73,1c7b415f6d78ac63c237d68ddb437a147a89450c
69,9,23,2.5982497,68,1c7b415f6d78ac63c237d68ddb437a147a89450c
70,10,15,2.6331859,66,1c7b415f6d78ac63c237d68ddb437a147a89450c
71,11,15,3.6633735,58,1c7b415f6d78ac63c237d68ddb437a147a89450c
72,12,19,3.1195214,57,1c7b415f6d78ac63c237d68ddb437a147a89450c
73,13,34,1.9938798,62,1c7b415f6d78ac63c237d68ddb437a147a89450c
74,14,32,1.9806373,74,1c7b415f6d78ac63c237d68ddb437a147a89450c
75,15,17,2.7005222,75,1c7b415f6d78ac63c237d68ddb437a147a89450c
76,16,28,2.2396288,61,1c7b415f6d78ac63c237d68ddb437a147a89450c
77,1,2,11.183657,37,10bff7c36ed8fa82e170be617a1f417f3722a18c
78,2,3,8.075265,39,10bff7c36ed8fa82e170be617a1f417f3722a18c
79,3,3,3.6815453,40,10bff7c36ed8fa82e170be617a1f417f3722a18c
80,4,7,3.3192546,39,10bff7c36ed8fa82e170be617a1f417f3722a18c
81,5,2,6.886268,43,10bff7c36ed8fa82e170be617a1f417f3722a18c
82,6,3,4.4683313,39,10bff7c36ed8fa82e170be617a1f417f3722a18c
83,7,7,4.167035,39,10bff7c36ed8fa82e170be617a1f417f3722a18c
84,8,29,2.3471205,43,10bff7c36ed8fa82e170be617a1f417f3722a18c
85,9,29,0.48237392,64,10bff7c36ed8fa82e170be617a1f417f3722a18c
86,10,27,1.9268467,63,10bff7c36ed8fa82e170be617a1f417f3722a18c
87,11,28,0.3256094,61,10bff7c36ed8fa82e170be617a1f417f3722a18c
88,12,19,2.629937,60,10bff7c36ed8fa82e170be617a1f417f3722a18c
89,13,56,2.6535718,51,10bff7c36ed8fa82e170be617a1f417f3722a18c
90,14,29,2.4189372,84,10bff7c36ed8fa82e170be617a1f417f3722a18c
91,15,34,3.1581464,62,10bff7c36ed8fa82e170be617a1f417f3722a18c
92,16,18,3.4100199,68,10bff7c36ed8fa82e170be617a1f417f3722a18c
93,17,27,1.701356,54,10bff7c36ed8fa82e170be617a1f417f3722a18c
94,18,34,3.2411761,60,10bff7c36ed8fa82e170be617a1f417f3722a18c
95,19,29,2.5931492,69,10bff7c36ed8fa82e170be617a1f417f3722a18c
96,20,1,6.529978,62,10bff7c36ed8fa82e170be617a1f417f3722a18c
97,21,31,3.1546094,38,10bff7c36ed8fa82e170be617a1f417f3722a18c
98,22,22,3.3261049,64,10bff7c36ed8fa82e170be617a1f417f3722a18c
99,23,33,2.32814,55,10bff7c36ed8fa82e170be617a1f417f3722a18c
100,24,18,3.3744805,67,10bff7c36ed8fa82e170be617a1f417f3722a18c
101,25,18,3.0801013,54,10bff7c36ed8fa82e170be617a1f417f3722a18c
102,26,22,3.6354575,51,10bff7c36ed8fa82e170be617a1f417f3722a18c
103,1,2,11.388752,40,403c0bf3c57f5a31191557d16ce880a531ca770c
104,2,3,6.443376,42,403c0bf3c57f5a31191557d16ce880a531ca770c
105,3,3,4.5092278,43,403c0bf3c57f5a31191557d16ce880a531ca770c
106,4,7,4.690129,42,403c0bf3c57f5a31191557d16ce880a531ca770c
107,5,2,8.185112,46,403c0bf3c57f5a31191557d16ce880a531ca770c
108,6,4,5.153917,42,403c0bf3c57f5a31191557d16ce880a531ca770c
109,7,6,4.2719235,43,403c0bf3c57f5a31191557d16ce880a531ca770c
110,8,29,2.700693,45,403c0bf3c57f5a31191557d16ce880a531ca770c
111,9,27,1.460137,66,403c0bf3c57f5a31191557d16ce880a531ca770c
112,10,33,2.4190297,66,403c0bf3c57f5a31191557d16ce880a531ca770c
113,11,5,4.747457,64,403c0bf3c57f5a31191557d16ce880a531ca770c
114,12,27,1.8755772,44,403c0bf3c57f5a31191557d16ce880a531ca770c
115,13,18,2.5890727,64,403c0bf3c57f5a31191557d16ce880a531ca770c
116,14,18,4.427967,53,403c0bf3c57f5a31191557d16ce880a531ca770c
117,15,45,3.3184786,54,403c0bf3c57f5a31191557d16ce880a531ca770c
118,16,43,1.9776702,75,403c0bf3c57f5a31191557d16ce880a531ca770c
119,17,20,0.60003495,72,403c0bf3c57f5a31191557d16ce880a531ca770c
120,18,6,4.9601808,56,403c0bf3c57f5a31191557d16ce880a531ca770c
121,19,17,4.6412272,44,403c0bf3c57f5a31191557d16ce880a531ca770c
122,20,8,5.4877386,56,403c0bf3c57f5a31191557d16ce880a531ca770c
123,21,10,4.691537,47,403c0bf3c57f5a31191557d16ce880a531ca770c
124,22,15,3.5847108,48,403c0bf3c57f5a31191557d16ce880a531ca770c
125,23,39,3.8029368,52,403c0bf3c57f5a31191557d16ce880a531ca770c
126,24,66,3.0574224,78,403c0bf3c57f5a31191557d16ce880a531ca770c
127,25,2,7.6238804,94,403c0bf3c57f5a31191557d16ce880a531ca770c
128,26,32,1.3168474,41,403c0bf3c57f5a31191557d16ce880a531ca770c
129,27,15,3.1544557,68,403c0bf3c57f5a31191557d16ce880a531ca770c
130,28,31,3.5983088,53,403c0bf3c57f5a31191557d16ce880a531ca770c
131,29,23,2.7374418,65,403c0bf3c57f5a31191557d16ce880a531ca770c
132,30,14,1.780459,59,403c0bf3c57f5a31191557d16ce880a531ca770c
133,31,4,5.3017945,53,403c0bf3c57f5a31191557d16ce880a531ca770c
134,32,8,6.4837446,42,403c0bf3c57f5a31191557d16ce880a531ca770c
135,33,5,3.4995415,48,403c0bf3c57f5a31191557d16ce880a531ca770c
