,num,length,response,context_length,name
0,1,23,0.98478925,19,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,31,1.7949733,22,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,29,1.8026482,27,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,43,2.126508,6,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,29,1.4334538,12,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,21,1.92575,15,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,25,1.5288631,19,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,26,2.6557271,8,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,35,2.0963805,9,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,32,1.7436959,8,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,19,2.608788,8,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,24,1.7187146,14,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,41,1.9716145,11,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,14,4.969801,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,35,2.0538883,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,26,2.4170718,16,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,29,1.888407,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,33,2.3004532,13,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,1,30,2.203287,20,f42473cabb81d447785c15a46e0ccd2a9eb70434
19,2,33,3.3792958,9,f42473cabb81d447785c15a46e0ccd2a9eb70434
20,3,16,0.8476319,15,f42473cabb81d447785c15a46e0ccd2a9eb70434
21,4,27,2.7431865,7,f42473cabb81d447785c15a46e0ccd2a9eb70434
22,5,15,2.6161034,12,f42473cabb81d447785c15a46e0ccd2a9eb70434
23,6,17,1.3399767,12,f42473cabb81d447785c15a46e0ccd2a9eb70434
24,7,30,1.7131531,22,f42473cabb81d447785c15a46e0ccd2a9eb70434
25,8,31,1.0049242,27,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,9,22,0.76128435,22,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,10,22,1.0120909,18,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,11,20,0.80809164,19,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,12,18,0.8172892,16,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,13,22,0.47511902,21,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,14,24,1.8323766,22,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,15,24,2.548407,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,16,27,2.3291886,17,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,17,37,3.4025147,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,18,24,1.0651035,20,f42473cabb81d447785c15a46e0ccd2a9eb70434
36,19,24,2.7238379,6,f42473cabb81d447785c15a46e0ccd2a9eb70434
37,20,24,3.1407058,11,f42473cabb81d447785c15a46e0ccd2a9eb70434
38,1,20,2.2558637,9,1c7b415f6d78ac63c237d68ddb437a147a89450c
39,2,26,2.0842042,9,1c7b415f6d78ac63c237d68ddb437a147a89450c
40,3,26,2.2942214,7,1c7b415f6d78ac63c237d68ddb437a147a89450c
41,4,38,2.2471552,7,1c7b415f6d78ac63c237d68ddb437a147a89450c
42,5,32,2.9112384,6,1c7b415f6d78ac63c237d68ddb437a147a89450c
43,6,19,2.269531,8,1c7b415f6d78ac63c237d68ddb437a147a89450c
44,7,25,1.910231,14,1c7b415f6d78ac63c237d68ddb437a147a89450c
45,8,26,1.5897641,14,1c7b415f6d78ac63c237d68ddb437a147a89450c
46,9,21,1.3865134,14,1c7b415f6d78ac63c237d68ddb437a147a89450c
47,10,35,2.532759,8,1c7b415f6d78ac63c237d68ddb437a147a89450c
48,11,34,1.9026669,17,1c7b415f6d78ac63c237d68ddb437a147a89450c
49,12,21,2.6740406,7,1c7b415f6d78ac63c237d68ddb437a147a89450c
50,13,19,3.1258855,8,1c7b415f6d78ac63c237d68ddb437a147a89450c
