,num,length,response,context_length,name
0,1,23,3.4086916,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,31,2.4456651,21,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,29,3.3669755,49,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,43,1.7582127,74,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,29,1.5705163,89,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,21,2.2825224,85,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,25,1.8955966,77,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,26,2.2542243,64,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,35,1.89602,63,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,32,1.5317198,76,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,19,1.9454429,81,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,24,2.6712294,75,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,41,2.053321,63,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,14,3.8135722,72,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,35,2.2994897,67,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,26,2.1657534,81,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,29,1.9358468,67,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,33,2.0705059,82,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,1,30,2.63543,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
19,2,33,2.4461749,25,f42473cabb81d447785c15a46e0ccd2a9eb70434
20,3,16,1.7399334,55,f42473cabb81d447785c15a46e0ccd2a9eb70434
21,4,27,2.1197407,70,f42473cabb81d447785c15a46e0ccd2a9eb70434
22,5,15,2.1084073,70,f42473cabb81d447785c15a46e0ccd2a9eb70434
23,6,17,1.5612733,54,f42473cabb81d447785c15a46e0ccd2a9eb70434
24,7,30,2.43225,55,f42473cabb81d447785c15a46e0ccd2a9eb70434
25,8,31,2.3418286,56,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,9,22,1.8246309,69,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,10,22,2.4832928,72,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,11,20,2.1725485,66,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,12,18,2.135392,58,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,13,22,2.5962508,55,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,14,24,2.588624,56,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,15,24,1.8192534,60,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,16,27,2.1889822,66,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,17,37,2.6177716,70,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,18,24,1.7331651,77,f42473cabb81d447785c15a46e0ccd2a9eb70434
36,19,24,2.584386,77,f42473cabb81d447785c15a46e0ccd2a9eb70434
37,20,24,2.2557795,74,f42473cabb81d447785c15a46e0ccd2a9eb70434
38,1,20,2.7204213,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
39,2,26,1.8722564,17,1c7b415f6d78ac63c237d68ddb437a147a89450c
40,3,26,1.8668321,42,1c7b415f6d78ac63c237d68ddb437a147a89450c
41,4,38,1.9135597,66,1c7b415f6d78ac63c237d68ddb437a147a89450c
42,5,32,2.3630564,82,1c7b415f6d78ac63c237d68ddb437a147a89450c
43,6,19,1.8154076,86,1c7b415f6d78ac63c237d68ddb437a147a89450c
44,7,25,1.6676201,79,1c7b415f6d78ac63c237d68ddb437a147a89450c
45,8,26,1.5895635,65,1c7b415f6d78ac63c237d68ddb437a147a89450c
46,9,21,1.7961482,57,1c7b415f6d78ac63c237d68ddb437a147a89450c
47,10,35,2.2290857,58,1c7b415f6d78ac63c237d68ddb437a147a89450c
48,11,34,2.1307583,69,1c7b415f6d78ac63c237d68ddb437a147a89450c
49,12,21,2.4264011,79,1c7b415f6d78ac63c237d68ddb437a147a89450c
50,13,19,2.304961,81,1c7b415f6d78ac63c237d68ddb437a147a89450c
