,num,length,response,context_length,name
0,1,23,2.5592704,40,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,31,2.261065,61,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,29,3.4899592,68,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,43,1.763263,65,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,29,1.7057873,76,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,21,2.49545,64,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,25,1.8322062,57,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,26,2.4994557,63,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,35,1.8625212,63,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,32,1.3935354,70,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,19,2.4703724,68,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,24,2.43058,57,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,41,1.9317012,58,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,14,3.458447,77,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,35,2.4308014,52,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,26,2.2935672,72,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,29,1.9524921,63,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,33,2.2973595,67,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,1,30,1.0053412,48,f42473cabb81d447785c15a46e0ccd2a9eb70434
19,2,33,2.4278545,73,f42473cabb81d447785c15a46e0ccd2a9eb70434
20,3,16,0.78827024,78,f42473cabb81d447785c15a46e0ccd2a9eb70434
21,4,27,2.2608173,63,f42473cabb81d447785c15a46e0ccd2a9eb70434
22,5,15,2.1510124,73,f42473cabb81d447785c15a46e0ccd2a9eb70434
23,6,17,1.47723,62,f42473cabb81d447785c15a46e0ccd2a9eb70434
24,7,30,2.0049872,64,f42473cabb81d447785c15a46e0ccd2a9eb70434
25,8,31,2.3199463,74,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,9,22,1.7725738,75,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,10,22,3.2000017,67,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,11,20,2.084545,68,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,12,18,1.1270775,67,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,13,22,2.8715906,64,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,14,24,2.2158248,69,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,15,24,1.6457635,71,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,16,27,2.2501118,70,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,17,37,2.5795054,73,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,18,24,1.4636343,78,f42473cabb81d447785c15a46e0ccd2a9eb70434
36,19,24,2.1158223,70,f42473cabb81d447785c15a46e0ccd2a9eb70434
37,20,24,2.38869,70,f42473cabb81d447785c15a46e0ccd2a9eb70434
38,1,20,2.301159,50,1c7b415f6d78ac63c237d68ddb437a147a89450c
39,2,26,1.2558733,67,1c7b415f6d78ac63c237d68ddb437a147a89450c
40,3,26,1.0029641,75,1c7b415f6d78ac63c237d68ddb437a147a89450c
41,4,38,1.9272263,74,1c7b415f6d78ac63c237d68ddb437a147a89450c
42,5,32,2.1617556,83,1c7b415f6d78ac63c237d68ddb437a147a89450c
43,6,19,1.8313192,79,1c7b415f6d78ac63c237d68ddb437a147a89450c
44,7,25,1.4975734,67,1c7b415f6d78ac63c237d68ddb437a147a89450c
45,8,26,1.5103248,69,1c7b415f6d78ac63c237d68ddb437a147a89450c
46,9,21,1.6765589,71,1c7b415f6d78ac63c237d68ddb437a147a89450c
47,10,35,2.2219594,68,1c7b415f6d78ac63c237d68ddb437a147a89450c
48,11,34,2.2135797,80,1c7b415f6d78ac63c237d68ddb437a147a89450c
49,12,21,1.9970745,81,1c7b415f6d78ac63c237d68ddb437a147a89450c
50,13,19,2.3191288,70,1c7b415f6d78ac63c237d68ddb437a147a89450c
51,14,28,2.5324109,66,1c7b415f6d78ac63c237d68ddb437a147a89450c
52,15,27,1.4648315,75,1c7b415f6d78ac63c237d68ddb437a147a89450c
53,16,25,2.8877506,73,1c7b415f6d78ac63c237d68ddb437a147a89450c
54,17,27,1.896288,73,1c7b415f6d78ac63c237d68ddb437a147a89450c
