,num,length,response,context_length,name
0,1,24,3.6129076,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,32,4.004915,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,22,3.6010742,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,12,6.6785464,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,16,5.7063637,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,32,3.2761137,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,30,4.5542197,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,1,10.395954,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,34,4.9390116,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,17,5.9547653,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,12,6.0070624,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,18,5.817831,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,4,12.494861,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,19,3.6852882,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,20,4.5518394,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,21,4.414689,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,16,5.051543,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,20,4.2993116,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,19,32,3.7804604,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
19,20,28,3.4151678,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
20,21,35,3.3231106,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
21,22,1,10.395954,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
22,23,19,3.005775,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
23,24,5,5.2868185,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
24,25,25,4.2703176,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
25,1,2,9.291156,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,2,3,5.4989057,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,3,22,4.279643,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,4,23,4.219859,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,5,14,6.188223,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,6,21,4.3470235,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,7,20,4.384601,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,8,16,4.5770807,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,9,26,3.6804185,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,10,20,5.191111,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,11,11,6.133144,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
36,12,16,5.472616,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
37,13,10,7.310249,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
38,14,26,3.7493746,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
39,15,33,4.863681,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
40,16,5,7.596172,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
41,17,8,5.6678452,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
