,num,length,response,context_length,name
0,1,24,2.6855915,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,32,2.4732506,21,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,22,2.2304602,22,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,12,3.2876284,21,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,16,3.9573078,12,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,32,2.347167,15,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,30,3.2876089,29,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,1,12.388867,27,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,34,4.096729,1,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,17,4.424149,27,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,12,5.469118,13,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,18,4.537762,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,4,6.661635,18,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,19,3.1627998,2,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,20,2.891512,16,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,21,2.5609415,19,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,16,3.1040096,20,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,20,3.2301896,15,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,19,32,2.8504872,17,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
19,20,28,2.3187077,26,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
20,21,35,2.3425336,18,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
21,22,1,12.237789,29,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
22,23,19,2.5409572,1,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
23,24,5,3.5584455,12,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
24,25,25,3.3168905,4,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
25,1,2,8.697603,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,2,3,4.8913503,2,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,3,22,3.9470341,3,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,4,23,3.028855,21,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,5,14,4.950506,20,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,6,21,3.1959624,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,7,20,3.1973453,20,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,8,16,3.7774131,19,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,9,26,3.0203295,13,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,10,20,3.217379,19,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,11,11,4.6620235,18,f42473cabb81d447785c15a46e0ccd2a9eb70434
36,12,16,4.157171,7,f42473cabb81d447785c15a46e0ccd2a9eb70434
37,13,10,3.4002826,15,f42473cabb81d447785c15a46e0ccd2a9eb70434
38,14,26,3.2190747,9,f42473cabb81d447785c15a46e0ccd2a9eb70434
39,15,33,4.069016,20,f42473cabb81d447785c15a46e0ccd2a9eb70434
40,16,5,4.3345785,28,f42473cabb81d447785c15a46e0ccd2a9eb70434
41,17,8,4.7504106,4,f42473cabb81d447785c15a46e0ccd2a9eb70434
42,18,23,3.512794,7,f42473cabb81d447785c15a46e0ccd2a9eb70434
43,19,36,2.8300374,23,f42473cabb81d447785c15a46e0ccd2a9eb70434
44,20,8,4.0489774,27,f42473cabb81d447785c15a46e0ccd2a9eb70434
45,21,1,10.422424,8,f42473cabb81d447785c15a46e0ccd2a9eb70434
46,22,3,5.563906,1,f42473cabb81d447785c15a46e0ccd2a9eb70434
47,23,16,4.15689,2,f42473cabb81d447785c15a46e0ccd2a9eb70434
48,24,14,4.2842655,15,f42473cabb81d447785c15a46e0ccd2a9eb70434
49,25,10,3.5947137,12,f42473cabb81d447785c15a46e0ccd2a9eb70434
50,26,20,4.469684,8,f42473cabb81d447785c15a46e0ccd2a9eb70434
51,27,8,4.5594234,17,f42473cabb81d447785c15a46e0ccd2a9eb70434
52,28,13,5.2112436,8,f42473cabb81d447785c15a46e0ccd2a9eb70434
53,29,8,3.4628067,12,f42473cabb81d447785c15a46e0ccd2a9eb70434
54,30,33,4.0045276,6,f42473cabb81d447785c15a46e0ccd2a9eb70434
55,31,20,3.991935,29,f42473cabb81d447785c15a46e0ccd2a9eb70434
56,32,24,3.682934,17,f42473cabb81d447785c15a46e0ccd2a9eb70434
57,33,3,6.518867,19,f42473cabb81d447785c15a46e0ccd2a9eb70434
58,34,15,4.736721,2,f42473cabb81d447785c15a46e0ccd2a9eb70434
59,35,16,2.995464,12,f42473cabb81d447785c15a46e0ccd2a9eb70434
60,36,35,2.782845,12,f42473cabb81d447785c15a46e0ccd2a9eb70434
61,1,4,3.922942,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
62,2,33,2.6735787,2,1c7b415f6d78ac63c237d68ddb437a147a89450c
63,3,17,3.9033864,31,1c7b415f6d78ac63c237d68ddb437a147a89450c
