,num,length,response,context_length,name
0,1,23,4.096532,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,31,3.344548,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,29,4.7759,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,43,2.9794893,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,29,3.2798364,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,21,4.458833,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,25,3.321226,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,26,3.7658987,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,35,3.03575,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,32,1.9723876,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,19,3.9514167,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,24,3.771181,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,41,2.8456278,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,14,4.471066,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,35,3.592319,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,26,2.9199147,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,29,2.6835501,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,33,3.771927,10,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,1,30,3.016183,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
19,2,33,3.643489,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
20,3,16,4.593041,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
21,4,27,3.3938558,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
22,5,15,3.7725902,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
23,6,17,3.9344156,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
24,7,30,3.3880312,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
25,8,31,3.2793238,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,9,22,2.6527534,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,10,22,5.2407846,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,11,20,3.9307306,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,12,18,4.0689163,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,13,22,3.810938,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,14,24,3.8700705,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,15,24,3.452278,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,16,27,3.595738,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,17,37,3.5872688,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,18,24,3.6592054,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
36,19,24,3.6673799,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
37,20,24,4.1025968,10,f42473cabb81d447785c15a46e0ccd2a9eb70434
38,1,20,3.2285893,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
39,2,26,3.2436209,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
40,3,26,3.238795,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
41,4,38,2.735916,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
42,5,32,3.1555498,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
43,6,19,2.9224126,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
44,7,25,2.8327873,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
45,8,26,2.6952207,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
46,9,21,2.5970225,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
47,10,35,3.384782,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
48,11,34,3.6194754,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
49,12,21,3.5821223,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
50,13,19,3.7906904,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
51,14,28,3.838587,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
52,15,27,2.6405072,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
53,16,25,4.0058618,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
54,17,27,3.3092098,10,1c7b415f6d78ac63c237d68ddb437a147a89450c
55,1,31,3.8583028,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
56,2,34,3.7073128,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
57,3,21,3.2257526,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
58,4,23,4.4295664,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
59,5,25,3.0031447,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
60,6,27,4.4189935,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
61,7,32,3.3740845,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
62,8,27,3.8226063,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
63,9,32,3.1297023,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
64,10,24,3.0391612,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
65,11,13,4.4025245,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
66,12,21,4.6722584,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
67,13,31,2.8704293,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
68,14,21,3.232837,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
69,15,22,3.106408,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
70,16,23,4.652341,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
71,17,22,3.3746424,10,10bff7c36ed8fa82e170be617a1f417f3722a18c
72,1,20,4.1677313,10,403c0bf3c57f5a31191557d16ce880a531ca770c
73,2,34,3.5061693,10,403c0bf3c57f5a31191557d16ce880a531ca770c
74,3,22,4.954992,10,403c0bf3c57f5a31191557d16ce880a531ca770c
75,4,28,4.026153,10,403c0bf3c57f5a31191557d16ce880a531ca770c
76,5,22,3.9970896,10,403c0bf3c57f5a31191557d16ce880a531ca770c
77,6,16,6.248547,10,403c0bf3c57f5a31191557d16ce880a531ca770c
78,7,28,3.8803601,10,403c0bf3c57f5a31191557d16ce880a531ca770c
79,8,24,4.0901365,10,403c0bf3c57f5a31191557d16ce880a531ca770c
80,9,21,4.6277714,10,403c0bf3c57f5a31191557d16ce880a531ca770c
81,10,22,4.000171,10,403c0bf3c57f5a31191557d16ce880a531ca770c
82,11,23,4.1760106,10,403c0bf3c57f5a31191557d16ce880a531ca770c
83,12,21,4.42319,10,403c0bf3c57f5a31191557d16ce880a531ca770c
84,13,24,3.6427991,10,403c0bf3c57f5a31191557d16ce880a531ca770c
85,14,20,4.947496,10,403c0bf3c57f5a31191557d16ce880a531ca770c
86,15,27,4.384094,10,403c0bf3c57f5a31191557d16ce880a531ca770c
87,16,19,3.8965502,10,403c0bf3c57f5a31191557d16ce880a531ca770c
88,17,26,3.5836296,10,403c0bf3c57f5a31191557d16ce880a531ca770c
89,18,30,3.1063483,10,403c0bf3c57f5a31191557d16ce880a531ca770c
90,19,24,4.174928,10,403c0bf3c57f5a31191557d16ce880a531ca770c
91,20,33,3.2278757,10,403c0bf3c57f5a31191557d16ce880a531ca770c
92,1,34,2.9040082,10,b5e0e811403e80b538ecaf3247f1edc318bcb25f
93,2,26,3.5105457,10,b5e0e811403e80b538ecaf3247f1edc318bcb25f
94,3,24,4.3890767,10,b5e0e811403e80b538ecaf3247f1edc318bcb25f
95,4,16,4.931154,10,b5e0e811403e80b538ecaf3247f1edc318bcb25f
96,5,25,4.1838417,10,b5e0e811403e80b538ecaf3247f1edc318bcb25f
97,6,18,3.3146644,10,b5e0e811403e80b538ecaf3247f1edc318bcb25f
98,7,28,3.368875,10,b5e0e811403e80b538ecaf3247f1edc318bcb25f
99,8,12,5.0036983,10,b5e0e811403e80b538ecaf3247f1edc318bcb25f
