,num,length,response,context_length,name
0,1,23,3.4086916,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,31,2.4456651,21,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,29,3.7442431,28,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,43,1.7807621,25,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,29,1.8469111,36,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,21,2.7607021,24,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,25,2.12419,17,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,26,2.5592012,23,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,35,1.903086,23,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,32,1.4022868,30,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,19,2.7298367,28,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,24,2.7181175,17,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,41,2.1556234,18,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,14,3.9308033,37,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,35,2.6944528,12,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,26,2.3591082,32,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,29,2.0859504,23,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,33,2.4928474,27,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,1,30,2.63543,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
19,2,33,2.4461749,25,f42473cabb81d447785c15a46e0ccd2a9eb70434
20,3,16,2.2922168,30,f42473cabb81d447785c15a46e0ccd2a9eb70434
21,4,27,2.346654,15,f42473cabb81d447785c15a46e0ccd2a9eb70434
22,5,15,2.2367165,25,f42473cabb81d447785c15a46e0ccd2a9eb70434
23,6,17,3.1453576,14,f42473cabb81d447785c15a46e0ccd2a9eb70434
24,7,30,2.4325464,16,f42473cabb81d447785c15a46e0ccd2a9eb70434
25,8,31,2.798441,26,f42473cabb81d447785c15a46e0ccd2a9eb70434
26,9,22,1.8751228,27,f42473cabb81d447785c15a46e0ccd2a9eb70434
27,10,22,4.3305516,19,f42473cabb81d447785c15a46e0ccd2a9eb70434
28,11,20,2.285135,20,f42473cabb81d447785c15a46e0ccd2a9eb70434
29,12,18,2.57791,19,f42473cabb81d447785c15a46e0ccd2a9eb70434
30,13,22,2.7215736,16,f42473cabb81d447785c15a46e0ccd2a9eb70434
31,14,24,3.2709491,21,f42473cabb81d447785c15a46e0ccd2a9eb70434
32,15,24,1.9635779,23,f42473cabb81d447785c15a46e0ccd2a9eb70434
33,16,27,2.6285112,22,f42473cabb81d447785c15a46e0ccd2a9eb70434
34,17,37,2.598308,25,f42473cabb81d447785c15a46e0ccd2a9eb70434
35,18,24,3.0292284,30,f42473cabb81d447785c15a46e0ccd2a9eb70434
36,19,24,2.3209534,22,f42473cabb81d447785c15a46e0ccd2a9eb70434
37,20,24,3.1344106,22,f42473cabb81d447785c15a46e0ccd2a9eb70434
38,1,20,2.7204213,0,1c7b415f6d78ac63c237d68ddb437a147a89450c
39,2,26,1.8722564,17,1c7b415f6d78ac63c237d68ddb437a147a89450c
40,3,26,1.9495068,25,1c7b415f6d78ac63c237d68ddb437a147a89450c
41,4,38,2.2477958,24,1c7b415f6d78ac63c237d68ddb437a147a89450c
42,5,32,2.4605293,33,1c7b415f6d78ac63c237d68ddb437a147a89450c
43,6,19,2.0568018,29,1c7b415f6d78ac63c237d68ddb437a147a89450c
44,7,25,1.9537727,17,1c7b415f6d78ac63c237d68ddb437a147a89450c
45,8,26,1.5911146,19,1c7b415f6d78ac63c237d68ddb437a147a89450c
46,9,21,2.0580685,21,1c7b415f6d78ac63c237d68ddb437a147a89450c
47,10,35,2.216714,18,1c7b415f6d78ac63c237d68ddb437a147a89450c
48,11,34,2.2792168,30,1c7b415f6d78ac63c237d68ddb437a147a89450c
49,12,21,2.7127204,31,1c7b415f6d78ac63c237d68ddb437a147a89450c
50,13,19,2.3069918,20,1c7b415f6d78ac63c237d68ddb437a147a89450c
