,num,length,response,context_length,name
0,1,23,3.4086916,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
1,2,31,2.656867,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
2,3,29,4.064179,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
3,4,43,2.1752462,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
4,5,29,1.9656545,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
5,6,21,3.3578465,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
6,7,25,2.3230681,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
7,8,26,2.874048,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
8,9,35,2.3044999,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
9,10,32,1.6321266,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
10,11,19,2.8559945,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
11,12,24,2.8901553,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
12,13,41,2.3624785,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
13,14,14,3.9913678,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
14,15,35,3.106757,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
15,16,26,2.3240786,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
16,17,29,2.1829863,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
17,18,33,2.6609151,0,a0afe7013a369ffd0fadd30e4186004fa7a0c7e2
18,1,30,2.63543,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
19,2,33,3.093522,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
20,3,16,3.5002112,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
21,4,27,2.744192,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
22,5,15,2.122508,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
23,6,17,2.7901206,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
24,7,30,2.891364,0,f42473cabb81d447785c15a46e0ccd2a9eb70434
