,num,length,response,context_length,name
0,1,45,1.6350929,41,26709147
1,2,24,2.2579248,8,26709147
2,3,15,4.1690397,11,26709147
3,4,40,1.6317278,32,26709147
4,5,46,2.021204,33,26709147
5,6,26,1.8465835,26,26709147
6,7,16,2.921388,8,26709147
7,8,27,3.0138998,10,26709147
8,9,16,3.028423,13,26709147
9,10,20,3.3383045,9,26709147
10,11,23,2.1687322,19,26709147
11,1,17,1.0318977,16,4508056
12,2,18,1.8182061,14,4508056
13,3,28,2.4261153,9,4508056
14,4,42,1.3279151,29,4508056
15,5,2,2.886417,13,4508056
16,6,29,1.4493899,27,4508056
17,7,23,1.1958066,27,4508056
18,8,29,1.7139066,20,4508056
19,9,28,1.0358872,21,4508056
20,1,46,2.830195,6,50875
21,2,58,2.7820017,14,50875
22,3,29,2.6614137,17,50875
23,4,30,2.7492824,7,50875
24,5,17,2.7504406,11,50875
25,6,29,3.0644069,8,50875
26,7,10,2.952721,10,50875
27,1,25,2.8160439,50,36670656
28,2,51,1.7292404,17,36670656
29,3,29,1.8823705,16,36670656
30,4,33,2.8405814,30,36670656
31,5,49,2.9895864,31,36670656
32,6,22,2.7299292,9,36670656
33,7,21,1.1859621,16,36670656
34,1,19,2.1206646,17,11907622
35,2,28,1.0768694,28,11907622
36,3,22,1.0645928,19,11907622
37,4,37,3.5066185,9,11907622
38,5,19,2.4268515,22,11907622
39,6,21,3.989012,14,11907622
40,7,48,1.3932476,34,11907622
41,1,23,0.674021,23,4352382
42,2,17,1.2880194,16,4352382
43,3,21,1.7237058,17,4352382
44,4,20,1.8591715,16,4352382
45,5,22,2.9490592,13,4352382
46,6,16,1.6318249,16,4352382
47,7,20,1.8012179,18,4352382
48,8,23,1.671191,30,4352382
49,9,14,2.2291386,11,4352382
50,10,36,2.5566032,21,4352382
51,11,14,1.6068646,10,4352382
52,12,18,1.5364621,15,4352382
53,13,38,2.282192,16,4352382
54,14,6,4.6261573,8,4352382
55,1,23,3.6074784,5,31533973
56,2,9,0.74762446,5,31533973
57,3,26,2.2809649,5,31533973
58,4,10,3.3649786,5,31533973
59,5,17,1.9907458,13,31533973
60,6,25,0.9127899,24,31533973
61,7,23,3.382287,9,31533973
62,8,2,7.7574325,0,31533973
63,9,33,1.2188977,27,31533973
64,1,20,2.7749536,7,758725
65,2,20,1.3925494,12,758725
66,3,52,2.9812427,13,758725
67,4,18,2.0784795,16,758725
68,5,25,0.7509696,25,758725
69,6,17,2.4338136,8,758725
70,7,16,0.6289655,13,758725
71,8,28,0.5505727,25,758725
72,1,14,0.8513265,13,39905881
73,2,12,1.1606721,10,39905881
74,3,27,3.468163,14,39905881
75,4,24,3.2911463,4,39905881
76,5,40,2.996289,8,39905881
77,6,50,2.420698,5,39905881
78,7,24,0.511634,22,39905881
79,8,31,2.9943542,15,39905881
80,1,21,0.6302251,24,52727235
81,2,44,3.2771757,48,52727235
82,3,150,1.7107046,50,52727235
83,4,76,2.1259444,48,52727235
