,num,length,response,context_length,name
0,1,45,2.8859918,10,26709147
1,2,24,2.982989,10,26709147
2,3,15,5.7368164,10,26709147
3,4,40,3.4841204,10,26709147
4,5,46,4.565111,10,26709147
5,6,26,4.417597,10,26709147
6,7,16,4.1041527,10,26709147
7,8,27,4.4277,10,26709147
8,9,16,4.5554404,10,26709147
9,10,20,3.929793,10,26709147
10,11,23,3.8635182,10,26709147
11,1,17,3.9484427,10,4508056
12,2,18,4.15045,10,4508056
13,3,28,3.879869,10,4508056
14,4,42,2.973726,10,4508056
15,5,2,8.785393,10,4508056
16,6,29,4.471534,10,4508056
17,7,23,3.9103081,10,4508056
18,8,29,3.652494,10,4508056
19,9,28,3.9322522,10,4508056
20,1,46,3.1927328,10,50875
21,2,58,3.2650933,10,50875
22,3,29,3.498999,10,50875
23,4,30,3.0137815,10,50875
24,5,17,2.9700854,10,50875
25,6,29,4.1232896,10,50875
26,7,10,6.263428,10,50875
27,1,25,3.6302462,10,36670656
28,2,51,2.830832,10,36670656
29,3,29,3.1300392,10,36670656
30,4,33,4.2155914,10,36670656
31,5,49,4.147753,10,36670656
32,6,22,4.1511774,10,36670656
33,7,21,4.651948,10,36670656
34,1,19,5.4073925,10,11907622
35,2,28,3.8664804,10,11907622
36,3,22,4.5576906,10,11907622
37,4,37,4.2168684,10,11907622
38,5,19,4.248132,10,11907622
39,6,21,5.3965154,10,11907622
40,7,48,4.87467,10,11907622
41,1,23,3.6901789,10,4352382
42,2,17,3.7126832,10,4352382
43,3,21,2.8336177,10,4352382
44,4,20,3.3556025,10,4352382
45,5,22,4.9801435,10,4352382
46,6,16,4.1089244,10,4352382
47,7,20,5.1746283,10,4352382
48,8,23,2.8311965,10,4352382
49,9,14,3.8140695,10,4352382
50,10,36,3.1088448,10,4352382
51,11,14,5.5330048,10,4352382
52,12,18,4.450168,10,4352382
53,13,38,3.809846,10,4352382
54,14,6,6.3255506,10,4352382
55,1,23,4.0457745,10,31533973
56,2,9,3.9723184,10,31533973
57,3,26,2.746722,10,31533973
58,4,10,5.07258,10,31533973
59,5,17,5.218634,10,31533973
60,6,25,3.28244,10,31533973
61,7,23,3.9711668,10,31533973
62,8,2,5.832979,10,31533973
63,9,33,4.274646,10,31533973
64,1,20,4.11107,10,758725
65,2,20,3.161634,10,758725
66,3,52,3.8414092,10,758725
67,4,18,4.575713,10,758725
68,5,25,3.4532125,10,758725
69,6,17,5.0534534,10,758725
70,7,16,4.5592127,10,758725
71,8,28,3.549542,10,758725
72,1,14,4.123202,10,39905881
73,2,12,3.5866287,10,39905881
74,3,27,4.7090797,10,39905881
75,4,24,3.8804026,10,39905881
76,5,40,3.47781,10,39905881
77,6,50,2.6283984,10,39905881
78,7,24,3.2237842,10,39905881
79,8,31,3.8235188,10,39905881
80,1,21,5.111209,10,52727235
81,2,44,3.9341693,10,52727235
82,3,150,1.6672938,10,52727235
83,4,76,2.1435354,10,52727235
84,1,27,4.2267065,10,8747330
85,2,33,4.66379,10,8747330
86,3,29,4.232508,10,8747330
87,4,16,4.1789255,10,8747330
88,5,21,3.4898612,10,8747330
89,6,27,3.778179,10,8747330
90,7,32,3.8568993,10,8747330
91,8,38,3.8703325,10,8747330
92,9,31,2.8950129,10,8747330
93,10,36,3.712725,10,8747330
94,1,14,3.8769066,10,44132726
95,2,19,4.533241,10,44132726
96,3,15,5.4063034,10,44132726
97,4,13,5.879696,10,44132726
98,5,15,6.089273,10,44132726
99,6,31,4.315128,10,44132726
100,7,14,4.4584217,10,44132726
101,8,50,3.9946854,10,44132726
102,9,22,5.670603,10,44132726
103,10,41,2.6331415,10,44132726
104,1,46,3.4971116,10,19879505
105,2,24,4.422986,10,19879505
106,3,25,3.784222,10,19879505
107,4,2,9.328872,10,19879505
108,5,16,4.4602427,10,19879505
109,6,18,4.8301916,10,19879505
110,7,32,3.9121616,10,19879505
111,8,25,4.297513,10,19879505
