,num,length,response,context_length,name
0,1,45,2.818405,0,26709147
1,2,24,2.883243,0,26709147
2,3,15,5.2452655,0,26709147
3,4,40,3.1692913,0,26709147
4,5,46,4.241125,0,26709147
5,6,26,4.387065,0,26709147
6,7,16,3.7584186,0,26709147
7,8,27,4.275131,0,26709147
8,9,16,3.509687,0,26709147
9,10,20,3.9444513,0,26709147
10,11,23,3.5853834,0,26709147
11,1,17,3.106797,0,4508056
12,2,18,3.4510808,0,4508056
13,3,28,3.0784953,0,4508056
14,4,42,2.61967,0,4508056
15,5,2,8.400313,0,4508056
16,6,29,3.9962633,0,4508056
17,7,23,3.440001,0,4508056
18,8,29,3.3894637,0,4508056
19,9,28,3.597651,0,4508056
20,1,46,3.0855079,0,50875
21,2,58,3.164993,0,50875
22,3,29,3.5960615,0,50875
23,4,30,2.73262,0,50875
24,5,17,2.746463,0,50875
25,6,29,3.9439852,0,50875
26,7,10,4.597607,0,50875
27,1,25,2.707039,0,36670656
28,2,51,2.467244,0,36670656
29,3,29,2.534438,0,36670656
30,4,33,3.614557,0,36670656
31,5,49,3.8022008,0,36670656
32,6,22,3.3600519,0,36670656
33,7,21,4.149653,0,36670656
34,1,19,4.754695,0,11907622
35,2,28,3.407219,0,11907622
36,3,22,4.203599,0,11907622
37,4,37,3.7918687,0,11907622
38,5,19,3.7235801,0,11907622
39,6,21,4.881825,0,11907622
40,7,48,4.4873,0,11907622
41,1,23,3.1211596,0,4352382
42,2,17,2.5961292,0,4352382
43,3,21,2.1373506,0,4352382
44,4,20,2.5746875,0,4352382
45,5,22,4.3592114,0,4352382
46,6,16,2.9942482,0,4352382
47,7,20,4.7301726,0,4352382
48,8,23,2.15637,0,4352382
49,9,14,3.1843004,0,4352382
50,10,36,2.8483744,0,4352382
51,11,14,4.148737,0,4352382
52,12,18,2.940848,0,4352382
53,13,38,3.5581534,0,4352382
54,14,6,4.9552736,0,4352382
55,1,23,3.6671593,0,31533973
56,2,9,2.8802202,0,31533973
57,3,26,2.314615,0,31533973
58,4,10,4.422563,0,31533973
59,5,17,3.7812176,0,31533973
60,6,25,2.8432157,0,31533973
61,7,23,3.5528395,0,31533973
62,8,2,4.3401647,0,31533973
63,9,33,3.9022343,0,31533973
64,1,20,3.1979964,0,758725
65,2,20,2.8799436,0,758725
66,3,52,3.7814395,0,758725
67,4,18,3.8356676,0,758725
68,5,25,2.8867965,0,758725
69,6,17,3.855485,0,758725
70,7,16,4.024733,0,758725
71,8,28,3.0375817,0,758725
72,1,14,3.3222952,0,39905881
73,2,12,2.6946788,0,39905881
74,3,27,3.6997893,0,39905881
75,4,24,3.4712045,0,39905881
76,5,40,3.3076062,0,39905881
77,6,50,2.3474069,0,39905881
78,7,24,2.647528,0,39905881
79,8,31,3.5444443,0,39905881
80,1,21,4.469463,0,52727235
81,2,44,3.7665026,0,52727235
82,3,150,1.6946381,0,52727235
83,4,76,2.0901008,0,52727235
84,1,27,3.7731879,0,8747330
85,2,33,4.4486976,0,8747330
86,3,29,3.931159,0,8747330
87,4,16,3.5516276,0,8747330
88,5,21,2.9548063,0,8747330
89,6,27,3.5166054,0,8747330
90,7,32,3.5380616,0,8747330
91,8,38,3.5987694,0,8747330
92,9,31,2.5757482,0,8747330
93,10,36,3.628272,0,8747330
94,1,14,3.2248597,0,44132726
95,2,19,4.3369803,0,44132726
96,3,15,4.029828,0,44132726
97,4,13,5.3133254,0,44132726
98,5,15,5.014447,0,44132726
99,6,31,3.456407,0,44132726
100,7,14,3.930016,0,44132726
101,8,50,3.5521185,0,44132726
102,9,22,4.8389726,0,44132726
103,10,41,2.2168458,0,44132726
104,1,46,2.8058102,0,19879505
105,2,24,4.0869174,0,19879505
106,3,25,3.4627187,0,19879505
107,4,2,8.403133,0,19879505
108,5,16,4.19598,0,19879505
109,6,18,4.292644,0,19879505
110,7,32,3.6117697,0,19879505
111,8,25,4.0257306,0,19879505
112,9,22,3.6728494,0,19879505
113,10,27,3.6894903,0,19879505
114,1,19,2.880618,0,54056603
115,2,8,2.9554896,0,54056603
116,3,12,5.3475833,0,54056603
117,4,39,3.4046774,0,54056603
118,5,26,3.2747953,0,54056603
119,6,23,2.841851,0,54056603
120,7,32,4.0185547,0,54056603
121,8,16,3.0087879,0,54056603
122,9,30,2.9562256,0,54056603
123,10,45,3.676919,0,54056603
124,1,24,2.828537,0,2093974
125,2,22,3.3658268,0,2093974
126,3,14,3.0617192,0,2093974
