,num,length,response,context_length,name
0,1,45,2.818405,0,26709147
1,2,24,1.9386449,38,26709147
2,3,15,4.827533,58,26709147
3,4,40,2.983076,71,26709147
4,5,46,3.8186834,67,26709147
5,6,26,3.9063272,84,26709147
6,7,16,2.9359539,94,26709147
7,8,27,3.9186306,74,26709147
8,9,16,3.178009,60,26709147
9,10,20,3.0468502,51,26709147
10,11,23,2.8677762,55,26709147
11,1,17,3.106797,0,4508056
12,2,18,3.004672,14,4508056
13,3,28,2.3977613,30,4508056
14,4,42,2.0873284,56,4508056
15,5,2,6.2988615,71,4508056
16,6,29,3.326366,56,4508056
17,7,23,2.2816844,57,4508056
18,8,29,2.623647,49,4508056
19,9,28,2.964354,75,4508056
20,1,46,3.0855079,0,50875
21,2,58,2.9817717,41,50875
22,3,29,3.0015838,95,50875
23,4,30,2.559766,120,50875
24,5,17,1.6595435,104,50875
25,6,29,3.4026515,66,50875
26,7,10,4.2971206,65,50875
27,1,25,2.707039,0,36670656
28,2,51,2.4003026,19,36670656
29,3,29,2.624858,59,36670656
30,4,33,3.2313416,83,36670656
31,5,49,3.2208629,93,36670656
32,6,22,2.7022889,98,36670656
33,7,21,3.1412995,92,36670656
34,1,19,4.754695,0,11907622
35,2,28,3.1146054,15,11907622
36,3,22,3.242363,40,11907622
37,4,37,3.50293,59,11907622
38,5,19,3.578645,74,11907622
39,6,21,4.6433835,63,11907622
40,7,48,4.005557,59,11907622
41,1,23,3.1211596,0,4352382
42,2,17,1.1672237,19,4352382
43,3,21,1.7854444,35,4352382
44,4,20,2.4597535,54,4352382
45,5,22,3.59398,53,4352382
46,6,16,1.6614416,54,4352382
47,7,20,3.8400552,49,4352382
48,8,23,1.8910892,49,4352382
49,9,14,2.8714936,53,4352382
50,10,36,2.4184122,51,4352382
51,11,14,3.0030518,66,4352382
52,12,18,2.10382,56,4352382
53,13,38,2.887469,60,4352382
54,14,6,3.7840195,58,4352382
55,1,23,3.6671593,0,31533973
56,2,9,1.407627,20,31533973
57,3,26,2.1333597,25,31533973
58,4,10,2.419677,47,31533973
59,5,17,3.149247,35,31533973
60,6,25,2.318044,45,31533973
61,7,23,3.1700647,47,31533973
62,8,2,2.4574108,61,31533973
63,9,33,2.6756444,47,31533973
64,1,20,3.1979964,0,758725
65,2,20,2.4939065,16,758725
66,3,52,3.3559358,28,758725
67,4,18,2.9273455,70,758725
68,5,25,2.6695216,69,758725
69,6,17,2.9581785,79,758725
70,7,16,2.9593325,51,758725
71,8,28,2.4217381,49,758725
72,1,14,3.3222952,0,39905881
73,2,12,1.8448809,13,39905881
74,3,27,3.575956,23,39905881
75,4,24,3.1782293,47,39905881
76,5,40,3.1478877,56,39905881
77,6,50,2.2225568,77,39905881
78,7,24,2.2681243,100,39905881
79,8,31,3.2813644,100,39905881
80,1,21,4.469463,0,52727235
81,2,44,2.629353,20,52727235
82,3,150,1.160236,50,52727235
83,4,76,1.0394329,170,52727235
84,1,27,3.7731879,0,8747330
85,2,33,3.5991564,19,8747330
86,3,29,2.7044585,49,8747330
87,4,16,2.7337842,75,8747330
88,5,21,1.9136925,68,8747330
89,6,27,3.0835109,55,8747330
90,7,32,3.5704818,49,8747330
91,8,38,3.212674,61,8747330
92,9,31,2.1094766,76,8747330
93,10,36,3.0402083,82,8747330
94,1,14,3.2248597,0,44132726
95,2,19,3.8450243,11,44132726
96,3,15,3.67749,27,44132726
97,4,13,3.2450428,40,44132726
98,5,15,4.2660365,41,44132726
99,6,31,3.2977455,39,44132726
100,7,14,3.7926335,53,44132726
101,8,50,3.3250356,54,44132726
102,9,22,4.262882,79,44132726
103,10,41,2.1404667,72,44132726
104,1,46,2.8058102,0,19879505
105,2,24,3.7256699,39,19879505
106,3,25,3.3706808,62,19879505
107,4,2,11.624592,84,19879505
108,5,16,3.404452,46,19879505
109,6,18,3.1857867,38,19879505
110,7,32,3.1543114,33,19879505
111,8,25,3.579585,62,19879505
112,9,22,2.9616883,70,19879505
113,10,27,3.4769275,73,19879505
114,1,19,2.880618,0,54056603
115,2,8,1.5190966,13,54056603
116,3,12,5.1321464,20,54056603
117,4,39,3.061299,31,54056603
118,5,26,2.953979,48,54056603
119,6,23,2.2708166,64,54056603
120,7,32,3.655306,75,54056603
121,8,16,2.4958549,70,54056603
122,9,30,2.5199926,62,54056603
123,10,45,3.3462036,68,54056603
124,1,24,2.828537,0,2093974
125,2,22,2.805824,19,2093974
126,3,14,2.2889123,35,2093974
127,4,10,3.8196096,46,2093974
