,num,length,response,context_length,name
0,1,45,2.818405,0,26709147
1,2,24,1.9386449,38,26709147
2,3,15,5.2527523,20,26709147
3,4,40,3.0569174,13,26709147
4,5,46,3.7788253,34,26709147
5,6,26,4.0048466,37,26709147
6,7,16,2.895316,23,26709147
7,8,27,3.9016654,14,26709147
8,9,16,3.2503703,23,26709147
9,10,20,3.6270072,14,26709147
10,11,23,2.848581,18,26709147
11,1,17,3.106797,0,4508056
12,2,18,3.004672,14,4508056
13,3,28,2.8350995,16,4508056
14,4,42,2.1333246,26,4508056
15,5,2,7.0027404,29,4508056
16,6,29,3.8733695,1,4508056
17,7,23,2.3326457,27,4508056
18,8,29,3.0142527,21,4508056
19,9,28,2.9534104,27,4508056
20,1,46,3.0855079,0,50875
21,2,58,2.9817717,41,50875
22,3,29,3.4706407,54,50875
23,4,30,2.593232,25,50875
24,5,17,1.9454195,25,50875
25,6,29,3.3559906,16,50875
26,7,10,4.526986,24,50875
27,1,25,2.707039,0,36670656
28,2,51,2.4003026,19,36670656
29,3,29,2.6526725,40,36670656
30,4,33,3.50968,24,36670656
31,5,49,3.5899017,29,36670656
32,6,22,2.719004,45,36670656
33,7,21,3.5654337,18,36670656
34,1,19,4.754695,0,11907622
35,2,28,3.1146054,15,11907622
36,3,22,3.2710464,25,11907622
37,4,37,3.6473048,19,11907622
38,5,19,3.4595397,30,11907622
39,6,21,4.51625,14,11907622
40,7,48,4.024825,15,11907622
41,1,23,3.1211596,0,4352382
42,2,17,1.1672237,19,4352382
43,3,21,1.9046355,16,4352382
44,4,20,2.4906998,19,4352382
45,5,22,4.44413,18,4352382
46,6,16,1.718792,17,4352382
47,7,20,3.9790144,14,4352382
48,8,23,2.0878022,18,4352382
49,9,14,2.861779,21,4352382
50,10,36,2.5330698,12,4352382
51,11,14,2.958487,33,4352382
52,12,18,2.1799746,11,4352382
53,13,38,3.4891958,16,4352382
54,14,6,3.8058374,31,4352382
55,1,23,3.6671593,0,31533973
56,2,9,1.407627,20,31533973
57,3,26,2.1012235,5,31533973
58,4,10,2.463822,22,31533973
59,5,17,4.1666765,8,31533973
60,6,25,2.3879845,15,31533973
61,7,23,3.0523427,24,31533973
62,8,2,2.23242,22,31533973
63,9,33,3.9356463,1,31533973
64,1,20,3.1979964,0,758725
65,2,20,2.4939065,16,758725
66,3,52,3.501267,12,758725
67,4,18,3.955377,42,758725
68,5,25,2.5478659,15,758725
69,6,17,3.1766305,22,758725
70,7,16,3.57556,14,758725
71,8,28,2.5691235,13,758725
72,1,14,3.3222952,0,39905881
73,2,12,1.8448809,13,39905881
74,3,27,3.633369,10,39905881
75,4,24,3.1503267,24,39905881
76,5,40,3.2588925,22,39905881
77,6,50,2.2755237,31,39905881
78,7,24,2.3864923,47,39905881
79,8,31,3.339876,22,39905881
80,1,21,4.469463,0,52727235
81,2,44,2.629353,20,52727235
82,3,150,1.1894324,30,52727235
83,4,76,1.029404,120,52727235
84,1,27,3.7731879,0,8747330
85,2,33,3.5991564,19,8747330
86,3,29,2.8734062,30,8747330
87,4,16,2.7646487,26,8747330
88,5,21,2.5228298,12,8747330
89,6,27,3.4492586,17,8747330
90,7,32,3.620946,20,8747330
91,8,38,3.2154984,24,8747330
92,9,31,2.5485473,32,8747330
93,10,36,3.5851169,26,8747330
94,1,14,3.2248597,0,44132726
95,2,19,3.8450243,11,44132726
96,3,15,3.9999862,16,44132726
97,4,13,5.143575,13,44132726
98,5,15,4.3683414,12,44132726
99,6,31,3.4744415,14,44132726
100,7,14,3.8365586,27,44132726
101,8,50,3.370933,13,44132726
102,9,22,4.560713,39,44132726
103,10,41,2.1634662,20,44132726
104,1,46,2.8058102,0,19879505
105,2,24,3.7256699,39,19879505
106,3,25,3.455632,23,19879505
107,4,2,10.736542,22,19879505
108,5,16,4.319699,1,19879505
109,6,18,3.244655,15,19879505
110,7,32,3.1222105,17,19879505
111,8,25,3.805556,30,19879505
112,9,22,3.6227112,23,19879505
113,10,27,3.5363913,20,19879505
114,1,19,2.880618,0,54056603
115,2,8,1.5190966,13,54056603
116,3,12,5.300876,7,54056603
117,4,39,3.3104053,11,54056603
118,5,26,2.9555974,30,54056603
119,6,23,2.3476985,23,54056603
120,7,32,3.8083296,22,54056603
121,8,16,2.8272521,25,54056603
122,9,30,2.6115975,15,54056603
123,10,45,3.4160442,28,54056603
124,1,24,2.828537,0,2093974
125,2,22,2.805824,19,2093974
126,3,14,2.5507247,16,2093974
127,4,10,4.6922455,11,2093974
