,num,length,response,context_length,name
0,1,17,0.59742355,17,26709147
1,2,22,1.9905139,8,26709147
2,3,12,1.48436,9,26709147
3,4,29,1.2662779,5,26709147
4,5,18,2.3561935,8,26709147
5,6,16,2.4411469,5,26709147
6,7,20,0.51720595,15,26709147
7,8,11,0.6790011,17,26709147
8,9,4,2.4372845,17,26709147
9,10,16,2.1424987,11,26709147
10,11,13,1.407727,16,26709147
11,12,20,0.79914135,15,26709147
12,1,21,2.2923615,7,4508056
13,2,19,0.7369449,19,4508056
14,3,13,1.9624478,4,4508056
15,4,14,1.8556737,13,4508056
16,5,26,1.6422031,18,4508056
17,6,19,0.28957316,22,4508056
18,7,16,1.1175646,19,4508056
19,8,34,3.4773142,11,4508056
20,9,22,2.2999575,5,4508056
21,10,19,1.5017619,17,4508056
22,1,22,1.8886921,23,50875
23,2,17,0.75452906,16,50875
24,3,31,0.7720546,26,50875
25,4,15,0.7932102,13,50875
26,5,8,1.477731,7,50875
27,6,15,2.1545062,12,50875
28,7,40,0.3749842,22,50875
29,8,23,0.55535287,20,50875
30,9,29,1.4897397,26,50875
31,10,18,0.64661646,16,50875
32,11,18,0.6462936,17,50875
33,12,15,1.8421849,12,50875
34,13,1,7.9890203,2,50875
35,1,21,3.0437667,50,36670656
36,2,29,1.6453793,29,36670656
37,3,18,1.1848316,20,36670656
38,4,26,2.199053,6,36670656
39,5,21,1.2402865,20,36670656
40,6,22,0.46155682,20,36670656
41,7,19,1.3143831,18,36670656
42,8,15,0.9572701,11,36670656
43,9,20,2.0284123,21,36670656
44,10,10,4.186311,0,36670656
45,11,1,1.4625081,1,36670656
46,1,19,2.1206646,17,11907622
47,2,31,2.496208,8,11907622
48,3,42,0.5498706,40,11907622
49,4,28,1.0453266,27,11907622
50,5,16,1.4053464,10,11907622
51,6,28,1.8317796,18,11907622
52,7,25,1.6513875,13,11907622
53,8,22,1.265123,19,11907622
54,9,19,1.5358157,17,11907622
55,10,20,0.5696713,19,11907622
56,11,16,3.1507132,13,11907622
57,1,39,0.3581161,37,4352382
58,2,27,1.0156232,22,4352382
59,3,22,0.9023168,18,4352382
60,4,20,1.989461,13,4352382
61,5,18,2.5645692,15,4352382
62,6,14,0.95856756,13,4352382
63,7,23,2.5669355,11,4352382
64,8,19,0.38840854,17,4352382
65,9,25,0.9064698,24,4352382
66,10,31,0.9249924,27,4352382
67,1,23,2.1945052,8,31533973
68,2,26,1.8389108,27,31533973
69,3,19,2.1942565,11,31533973
70,4,17,1.6786791,16,31533973
71,5,18,1.1044669,15,31533973
72,6,17,1.4268821,9,31533973
73,7,18,2.4399295,7,31533973
74,8,17,1.3309507,16,31533973
75,9,25,0.49242145,21,31533973
76,10,21,1.4334924,19,31533973
77,11,13,1.0387008,14,31533973
78,12,24,0.6242082,23,31533973
79,13,11,1.4844743,13,31533973
80,1,34,2.515889,11,758725
