,num,length,response,context_length,name
0,1,17,2.853533,10,26709147
1,2,22,2.7081225,10,26709147
2,3,12,4.3492827,10,26709147
3,4,29,2.0528238,10,26709147
4,5,18,3.2478905,10,26709147
5,6,16,2.8883944,10,26709147
6,7,20,3.7399633,10,26709147
7,8,11,3.0176501,10,26709147
8,9,4,6.2348022,10,26709147
9,10,16,4.2670283,10,26709147
10,11,13,3.25081,10,26709147
11,12,20,3.0897932,10,26709147
12,1,21,3.0842474,10,4508056
13,2,19,3.9094853,10,4508056
14,3,13,3.3630862,10,4508056
15,4,14,4.4358077,10,4508056
16,5,26,2.5367575,10,4508056
17,6,19,3.7352552,10,4508056
18,7,16,3.6975539,10,4508056
19,8,34,3.8542724,10,4508056
20,9,22,3.6832817,10,4508056
21,10,19,3.5159457,10,4508056
22,1,22,3.9080849,10,50875
23,2,17,2.6972458,10,50875
24,3,31,2.315892,10,50875
25,4,15,2.8180177,10,50875
26,5,8,5.0867224,10,50875
27,6,15,3.8181636,10,50875
28,7,40,2.459939,10,50875
29,8,23,2.6612701,10,50875
30,9,29,3.515796,10,50875
31,10,18,1.840727,10,50875
32,11,18,3.124995,10,50875
33,12,15,2.5216713,10,50875
34,13,1,6.3838243,10,50875
35,1,21,4.009864,10,36670656
36,2,29,2.6173172,10,36670656
37,3,18,2.342036,10,36670656
38,4,26,2.5984461,10,36670656
39,5,21,2.3366826,10,36670656
40,6,22,2.8880794,10,36670656
41,7,19,2.8556733,10,36670656
42,8,15,3.1781418,10,36670656
43,9,20,3.2887406,10,36670656
44,10,10,3.6774025,10,36670656
45,11,1,0.8134701,10,36670656
46,1,19,5.4073925,10,11907622
47,2,31,2.989063,10,11907622
48,3,42,2.5204608,10,11907622
49,4,28,3.6680272,10,11907622
50,5,16,4.202414,10,11907622
51,6,28,3.4957287,10,11907622
52,7,25,4.3165174,10,11907622
53,8,22,4.4552827,10,11907622
54,9,19,3.6052916,10,11907622
55,10,20,3.815704,10,11907622
56,11,16,5.2645235,10,11907622
57,1,39,2.922443,10,4352382
58,2,27,2.8038442,10,4352382
59,3,22,2.9660285,10,4352382
60,4,20,3.9305828,10,4352382
61,5,18,3.451534,10,4352382
62,6,14,4.313176,10,4352382
63,7,23,3.0631058,10,4352382
64,8,19,3.2376375,10,4352382
65,9,25,3.4054399,10,4352382
66,10,31,2.870246,10,4352382
67,1,23,4.09278,10,31533973
68,2,26,2.2238467,10,31533973
69,3,19,3.052988,10,31533973
70,4,17,3.1886346,10,31533973
71,5,18,2.2787554,10,31533973
72,6,17,2.8725924,10,31533973
73,7,18,4.697684,10,31533973
74,8,17,4.0110207,10,31533973
75,9,25,2.9734576,10,31533973
76,10,21,3.588849,10,31533973
77,11,13,4.091003,10,31533973
78,12,24,2.9171865,10,31533973
79,13,11,3.520394,10,31533973
80,1,34,3.621456,10,758725
81,2,11,3.995972,10,758725
82,3,11,3.5169795,10,758725
83,4,24,3.3512592,10,758725
84,5,16,3.4533083,10,758725
85,6,26,2.5807168,10,758725
86,7,19,3.7084854,10,758725
87,8,24,2.2753031,10,758725
88,9,35,3.4552135,10,758725
89,10,13,4.3864856,10,758725
90,11,27,3.8042293,10,758725
91,12,16,3.5075066,10,758725
92,1,17,3.1231542,10,39905881
93,2,17,4.2241488,10,39905881
94,3,18,2.696372,10,39905881
95,4,24,2.642368,10,39905881
96,5,21,4.091216,10,39905881
97,6,24,3.0081232,10,39905881
98,7,10,3.8227823,10,39905881
99,8,2,8.25638,10,39905881
100,9,10,5.1112647,10,39905881
101,10,27,3.7318695,10,39905881
102,11,28,3.1199288,10,39905881
103,1,12,4.996775,10,52727235
104,2,9,5.210607,10,52727235
105,3,10,4.9038315,10,52727235
106,4,16,3.3076565,10,52727235
107,5,15,3.2867706,10,52727235
108,6,23,3.426898,10,52727235
109,7,18,3.1009018,10,52727235
110,8,11,3.677577,10,52727235
111,9,20,3.1424701,10,52727235
112,10,19,3.2676916,10,52727235
113,1,28,3.5938294,10,8747330
114,2,9,4.3398533,10,8747330
115,3,21,3.45352,10,8747330
116,4,22,2.5079129,10,8747330
117,5,20,3.9918618,10,8747330
118,6,25,3.0147264,10,8747330
119,7,24,3.0705369,10,8747330
120,8,23,3.3168173,10,8747330
121,9,17,3.3459647,10,8747330
122,10,11,4.108965,10,8747330
123,1,17,2.673645,10,44132726
124,2,14,3.9830945,10,44132726
125,3,17,3.0890841,10,44132726
126,4,22,2.6344588,10,44132726
127,5,20,3.4478915,10,44132726
128,6,29,2.6137824,10,44132726
129,7,28,3.1398175,10,44132726
130,8,24,2.5533078,10,44132726
131,9,20,3.0102594,10,44132726
132,10,15,2.363211,10,44132726
133,11,11,3.9256399,10,44132726
134,12,33,3.6653242,10,44132726
135,13,15,3.3889885,10,44132726
136,1,24,3.5024893,10,19879505
137,2,14,3.0405238,10,19879505
138,3,33,2.7062545,10,19879505
139,4,23,3.1973891,10,19879505
140,5,22,2.833109,10,19879505
141,6,25,3.8040342,10,19879505
142,7,12,3.1947317,10,19879505
143,8,17,3.96878,10,19879505
144,9,20,4.6422777,10,19879505
145,10,9,3.259372,10,19879505
146,11,24,3.458326,10,19879505
147,12,23,3.0245922,10,19879505
148,13,23,3.484421,10,19879505
149,14,26,3.254267,10,19879505
150,1,24,3.253815,10,54056603
151,2,25,2.5323687,10,54056603
152,3,27,2.1272383,10,54056603
153,4,16,4.920954,10,54056603
154,5,18,4.077457,10,54056603
155,6,23,3.2459974,10,54056603
156,7,18,3.9193287,10,54056603
157,8,10,6.378522,10,54056603
158,9,20,3.8172438,10,54056603
159,10,24,3.28113,10,54056603
160,11,21,3.2950115,10,54056603
161,12,51,2.109579,10,54056603
162,13,8,5.896394,10,54056603
163,14,4,3.0786939,10,54056603
164,1,42,2.9183867,10,2093974
165,2,11,3.222432,10,2093974
166,3,17,3.2034087,10,2093974
167,4,14,2.8604655,10,2093974
168,5,24,2.829576,10,2093974
169,6,29,2.9106958,10,2093974
170,7,13,3.4629238,10,2093974
171,8,28,2.441012,10,2093974
172,9,33,2.8526146,10,2093974
173,10,11,3.742675,10,2093974
174,11,20,2.7734025,10,2093974
175,12,8,4.2850122,10,2093974
176,1,8,4.7458,10,25580107
177,2,7,5.071509,10,25580107
178,3,24,1.9709325,10,25580107
179,4,11,2.5867882,10,25580107
180,5,23,3.3390296,10,25580107
181,6,22,2.6045988,10,25580107
182,7,19,2.9794862,10,25580107
183,8,15,3.488403,10,25580107
184,9,29,2.3372982,10,25580107
185,10,31,1.8586134,10,25580107
186,11,17,3.3371098,10,25580107
187,12,20,2.87712,10,25580107
188,1,16,3.3136296,10,8768710
189,2,13,2.8858476,10,8768710
190,3,13,2.765763,10,8768710
191,4,18,2.7020473,10,8768710
192,5,15,2.8391523,10,8768710
193,6,30,2.6392908,10,8768710
194,7,56,2.1558201,10,8768710
195,8,26,2.9952595,10,8768710
196,9,42,2.191359,10,8768710
197,10,19,2.3298478,10,8768710
198,11,17,2.7183802,10,8768710
199,1,19,5.234665,10,575970
200,2,10,4.166384,10,575970
201,3,26,2.650571,10,575970
202,4,14,3.305797,10,575970
203,5,18,2.9801254,10,575970
204,6,25,3.2981343,10,575970
205,7,20,2.77776,10,575970
206,8,14,3.752812,10,575970
207,9,15,3.8211677,10,575970
208,10,10,4.1879597,10,575970
209,11,23,2.3184426,10,575970
210,12,29,2.329077,10,575970
211,13,15,4.320888,10,575970
212,14,12,2.6410522,10,575970
213,1,13,3.7782238,10,31030281
214,2,22,2.8573155,10,31030281
215,3,25,3.8100822,10,31030281
216,4,34,2.4983158,10,31030281
217,5,22,2.395327,10,31030281
218,6,11,4.509097,10,31030281
219,7,21,3.1945562,10,31030281
220,8,23,2.4733615,10,31030281
221,9,16,3.949986,10,31030281
222,10,19,3.178423,10,31030281
223,11,36,3.0589988,10,31030281
224,12,19,4.5030193,10,31030281
225,1,25,2.9733276,10,21903487
226,2,33,2.2641425,10,21903487
227,3,15,2.7086847,10,21903487
228,4,20,2.5448062,10,21903487
229,5,36,2.857952,10,21903487
230,6,12,5.981306,10,21903487
231,7,24,2.8552854,10,21903487
232,8,8,4.081141,10,21903487
233,9,20,3.1421912,10,21903487
234,10,28,2.2904613,10,21903487
235,1,21,3.9584556,10,1759538
236,2,27,2.3237598,10,1759538
237,3,13,3.4996107,10,1759538
238,4,10,3.442282,10,1759538
239,5,16,3.1461596,10,1759538
240,6,17,3.8174195,10,1759538
241,7,17,3.3386195,10,1759538
242,8,15,3.4456725,10,1759538
243,9,14,4.350856,10,1759538
244,10,11,4.7785106,10,1759538
245,11,25,2.3377752,10,1759538
246,12,21,4.1245465,10,1759538
247,13,10,3.8755534,10,1759538
248,14,14,2.7125046,10,1759538
249,15,15,3.931056,10,1759538
250,1,38,2.8944228,10,4864858
251,2,12,3.7233217,10,4864858
252,3,37,2.9724848,10,4864858
253,4,14,2.921814,10,4864858
254,5,26,2.355004,10,4864858
255,6,18,2.7385986,10,4864858
256,7,23,3.238264,10,4864858
257,8,25,2.1279495,10,4864858
258,9,26,3.1814723,10,4864858
