,num,length,response,context_length,name
0,1,17,2.8088634,0,26709147
1,2,22,2.6323762,0,26709147
2,3,12,3.8407571,0,26709147
3,4,29,1.9794762,0,26709147
4,5,18,2.747679,0,26709147
5,6,16,2.0927742,0,26709147
6,7,20,3.465325,0,26709147
7,8,11,3.1027787,0,26709147
8,9,4,3.8517792,0,26709147
9,10,16,3.560707,0,26709147
10,11,13,2.8802211,0,26709147
11,12,20,2.518975,0,26709147
12,1,21,2.3489559,0,4508056
13,2,19,3.1046932,0,4508056
14,3,13,3.4460335,0,4508056
15,4,14,3.671814,0,4508056
16,5,26,1.9944404,0,4508056
17,6,19,3.2964993,0,4508056
18,7,16,2.5717435,0,4508056
19,8,34,3.4216146,0,4508056
20,9,22,3.3487382,0,4508056
21,10,19,2.782371,0,4508056
22,1,22,3.6610587,0,50875
23,2,17,2.2176263,0,50875
24,3,31,2.0025094,0,50875
25,4,15,2.136436,0,50875
26,5,8,3.7150254,0,50875
27,6,15,3.370583,0,50875
28,7,40,2.5368385,0,50875
29,8,23,2.4195004,0,50875
30,9,29,2.9625666,0,50875
31,10,18,1.6981522,0,50875
32,11,18,2.7458692,0,50875
33,12,15,2.0331771,0,50875
34,13,1,nan,0,50875
35,1,21,2.9326243,0,36670656
36,2,29,2.2616985,0,36670656
37,3,18,2.1872847,0,36670656
38,4,26,2.118518,0,36670656
39,5,21,1.9819784,0,36670656
40,6,22,2.6115103,0,36670656
41,7,19,2.104272,0,36670656
42,8,15,2.0917895,0,36670656
43,9,20,2.515656,0,36670656
44,10,10,2.9018497,0,36670656
45,11,1,nan,0,36670656
46,1,19,4.754695,0,11907622
47,2,31,3.135978,0,11907622
48,3,42,2.4145956,0,11907622
49,4,28,3.4948783,0,11907622
50,5,16,3.2085574,0,11907622
51,6,28,3.0049777,0,11907622
52,7,25,4.0408196,0,11907622
53,8,22,3.7113116,0,11907622
54,9,19,2.9972088,0,11907622
55,10,20,3.0681925,0,11907622
56,11,16,5.0730076,0,11907622
57,1,39,2.4540706,0,4352382
58,2,27,2.0139427,0,4352382
59,3,22,2.2710207,0,4352382
60,4,20,2.5782897,0,4352382
61,5,18,2.7575505,0,4352382
