,num,length,response,context_length,name
0,1,17,2.8088634,0,26709147
1,2,22,1.6495641,12,26709147
2,3,12,2.810742,19,26709147
3,4,29,1.7902894,9,26709147
4,5,18,2.1940873,26,26709147
5,6,16,2.0936832,16,26709147
6,7,20,3.380786,14,26709147
7,8,11,2.4927258,15,26709147
8,9,4,2.7747777,9,26709147
9,10,16,3.025089,4,26709147
10,11,13,2.2323222,14,26709147
11,12,20,2.428799,12,26709147
12,1,21,2.3489559,0,4508056
13,2,19,2.1800456,18,4508056
14,3,13,2.361398,16,4508056
15,4,14,3.071033,11,4508056
16,5,26,2.0914974,13,4508056
17,6,19,2.40639,19,4508056
18,7,16,1.878828,17,4508056
19,8,34,2.485985,12,4508056
20,9,22,2.380564,29,4508056
21,10,19,1.9980947,20,4508056
22,1,22,3.6610587,0,50875
23,2,17,1.7385035,21,50875
24,3,31,1.8005694,16,50875
25,4,15,1.7402405,28,50875
26,5,8,2.5459416,13,50875
27,6,15,2.798701,7,50875
28,7,40,2.0353508,13,50875
29,8,23,1.6267955,22,50875
30,9,29,2.0189497,21,50875
31,10,18,1.5073595,27,50875
32,11,18,2.1074314,16,50875
33,12,15,1.7144243,17,50875
34,13,1,5.585807,12,50875
35,1,21,2.9326243,0,36670656
36,2,29,1.6354909,16,36670656
37,3,18,1.7650738,23,36670656
38,4,26,1.8153298,15,36670656
39,5,21,1.5503744,20,36670656
40,6,22,1.7364601,19,36670656
41,7,19,1.7244967,20,36670656
42,8,15,1.5676388,18,36670656
43,9,20,2.497408,11,36670656
44,10,10,2.9999874,18,36670656
45,11,1,0.8438666,9,36670656
46,1,19,4.754695,0,11907622
47,2,31,2.2123442,15,11907622
48,3,42,1.9962121,22,11907622
49,4,28,2.709837,37,11907622
50,5,16,2.4092107,23,11907622
51,6,28,2.443851,14,11907622
52,7,25,3.1927369,25,11907622
53,8,22,2.570477,18,11907622
54,9,19,2.2646363,20,11907622
55,10,20,2.4810712,16,11907622
56,11,16,4.9012485,19,11907622
57,1,39,2.4540706,0,4352382
58,2,27,1.1384764,33,4352382
59,3,22,0.85602194,22,4352382
60,4,20,1.643501,18,4352382
61,5,18,1.814846,18,4352382
62,6,14,2.4829164,16,4352382
63,7,23,2.3155906,13,4352382
64,8,19,2.4217868,20,4352382
