,num,length,response,context_length,name
0,1,45,1.3233696,41,26709147
1,2,24,1.9676993,79,26709147
2,3,15,4.793072,61,26709147
3,4,40,2.9833739,54,26709147
4,5,46,3.7958808,75,26709147
5,6,26,3.4092402,78,26709147
6,7,16,2.8771122,64,26709147
7,8,27,4.027487,55,26709147
8,9,16,3.416961,64,26709147
9,10,20,3.035419,55,26709147
10,11,23,1.5798798,59,26709147
11,1,17,2.4168725,34,4508056
12,2,18,0.34022364,48,4508056
13,3,28,1.3632072,50,4508056
14,4,42,2.1303413,60,4508056
15,5,2,6.368057,63,4508056
16,6,29,3.3724532,35,4508056
17,7,23,2.2103217,61,4508056
18,8,29,2.6390455,55,4508056
19,9,28,2.9399545,61,4508056
20,1,46,1.6227452,47,50875
21,2,58,3.026441,88,50875
22,3,29,3.0427735,101,50875
23,4,30,0.49858075,72,50875
24,5,17,1.5885586,72,50875
25,6,29,3.3708022,63,50875
26,7,10,4.39665,71,50875
27,1,25,0.6854858,53,36670656
28,2,51,1.8314594,72,36670656
29,3,29,2.5574348,93,36670656
30,4,33,3.2768042,77,36670656
31,5,49,3.4368033,82,36670656
32,6,22,2.4348128,98,36670656
33,7,21,0.7085576,71,36670656
34,1,19,2.8669925,40,11907622
35,2,28,0.29732615,55,11907622
36,3,22,3.3534462,65,11907622
37,4,37,3.482638,59,11907622
38,5,19,3.4472716,70,11907622
39,6,21,4.400824,54,11907622
40,7,48,3.975286,55,11907622
41,1,23,0.8105186,53,4352382
42,2,17,1.6258032,72,4352382
43,3,21,1.7660108,69,4352382
44,4,20,1.0192775,72,4352382
45,5,22,3.9939094,71,4352382
46,6,16,1.6768572,70,4352382
47,7,20,3.7862132,67,4352382
48,8,23,1.8525323,71,4352382
49,9,14,3.0588799,74,4352382
50,10,36,2.4587228,65,4352382
51,11,14,2.2529747,86,4352382
52,12,18,0.9787743,64,4352382
53,13,38,3.0651557,69,4352382
54,14,6,4.220274,84,4352382
55,1,23,0.486617,51,31533973
56,2,9,2.4350605,71,31533973
57,3,26,0.23874,56,31533973
58,4,10,3.1644983,73,31533973
59,5,17,2.1185489,59,31533973
60,6,25,2.2834642,66,31533973
61,7,23,3.1514654,75,31533973
62,8,2,2.2245262,73,31533973
63,9,33,3.7628284,52,31533973
64,1,20,1.1164742,40,758725
65,2,20,0.32043245,56,758725
66,3,52,2.6246016,52,758725
67,4,18,3.0628963,82,758725
68,5,25,2.6364222,55,758725
69,6,17,3.1316993,62,758725
70,7,16,3.1849964,54,758725
71,8,28,2.5507526,53,758725
72,1,14,0.73797417,53,39905881
73,2,12,0.57337254,66,39905881
74,3,27,3.8405082,63,39905881
75,4,24,3.1934888,77,39905881
76,5,40,3.1579757,75,39905881
77,6,50,2.0326102,84,39905881
78,7,24,1.8604845,100,39905881
79,8,31,3.0431921,75,39905881
80,1,21,0.45397085,30,52727235
81,2,44,2.4565082,50,52727235
82,3,150,1.1563148,60,52727235
83,4,76,1.0718799,150,52727235
84,1,27,0.6377616,57,8747330
85,2,33,1.3636922,76,8747330
86,3,29,2.6089888,87,8747330
87,4,16,2.3322363,83,8747330
88,5,21,2.1253357,69,8747330
89,6,27,1.0667915,74,8747330
90,7,32,2.3937678,77,8747330
91,8,38,3.2734091,81,8747330
92,9,31,2.459909,89,8747330
93,10,36,3.116224,83,8747330
94,1,14,0.8019376,46,44132726
95,2,19,0.30321094,57,44132726
96,3,15,3.675991,62,44132726
97,4,13,3.162539,59,44132726
98,5,15,4.5750546,58,44132726
99,6,31,1.7263789,60,44132726
100,7,14,3.9293814,73,44132726
101,8,50,3.3557067,59,44132726
102,9,22,4.5059147,85,44132726
103,10,41,1.7979271,66,44132726
104,1,46,2.3956044,40,19879505
105,2,24,3.4423678,79,19879505
106,3,25,3.2011116,63,19879505
107,4,2,11.686799,62,19879505
108,5,16,2.9485304,41,19879505
109,6,18,0.81017065,55,19879505
110,7,32,3.1777484,57,19879505
111,8,25,3.5096526,70,19879505
112,9,22,0.6766947,63,19879505
113,10,27,3.1103272,60,19879505
114,1,19,1.0969106,37,54056603
115,2,8,1.5881503,50,54056603
116,3,12,4.8271427,44,54056603
117,4,39,1.2552627,48,54056603
118,5,26,2.3675058,67,54056603
119,6,23,2.3905497,60,54056603
120,7,32,3.7067842,59,54056603
121,8,16,2.6841707,62,54056603
122,9,30,2.5693302,52,54056603
123,10,45,3.3383515,65,54056603
124,1,24,1.8488129,39,2093974
125,2,22,0.3109858,58,2093974
126,3,14,0.9781963,55,2093974
127,4,10,3.7826355,50,2093974
128,5,28,3.2420037,48,2093974
129,6,17,3.2371633,64,2093974
130,7,12,3.4934385,52,2093974
131,8,18,3.388957,50,2093974
132,9,25,1.8947223,55,2093974
133,10,26,2.1131167,61,2093974
134,11,38,1.9599416,64,2093974
135,12,27,2.7046218,72,2093974
136,13,46,2.7777812,63,2093974
137,1,8,3.5609457,47,25580107
138,2,10,0.8001935,54,25580107
139,3,22,0.30373284,54,25580107
140,4,26,0.009304063,66,25580107
141,5,16,3.78201,66,25580107
142,6,32,2.3969114,61,25580107
143,7,13,2.4493349,72,25580107
144,8,22,3.079863,59,25580107
145,9,11,4.3324223,67,25580107
146,10,35,3.062132,57,25580107
147,11,15,3.808765,77,25580107
148,12,25,3.6462286,57,25580107
149,13,12,3.4132693,69,25580107
150,14,35,3.2475662,57,25580107
151,15,12,4.547665,77,25580107
152,16,3,2.8124003,55,25580107
153,17,26,2.650572,49,25580107
154,1,30,1.8599162,32,8768710
155,2,34,1.7549611,56,8768710
156,3,39,3.6203752,63,8768710
157,4,19,1.7574161,66,8768710
158,5,35,3.12791,50,8768710
159,6,37,1.9962047,63,8768710
160,7,49,4.341304,58,8768710
161,1,26,0.2782638,60,575970
162,2,12,2.6671205,81,575970
163,3,20,0.7120129,70,575970
164,4,11,3.69153,76,575970
165,5,11,0.9891169,69,575970
166,6,16,0.36497295,69,575970
167,7,13,4.422449,74,575970
168,8,53,2.4456756,72,575970
169,9,23,2.1348035,111,575970
170,10,59,1.9250098,82,575970
171,11,26,3.2078793,110,575970
172,12,12,3.092454,83,575970
173,13,13,2.4039485,71,575970
174,14,12,2.5647187,71,575970
175,15,16,3.0984702,70,575970
176,1,20,1.2773716,39,31030281
177,2,47,1.4673874,54,31030281
178,3,31,1.494376,74,31030281
179,4,43,2.5217452,68,31030281
180,5,20,2.917006,76,31030281
181,6,11,4.957465,57,31030281
182,7,30,2.998749,47,31030281
183,8,3,5.3489146,62,31030281
184,1,34,2.4405594,31,21903487
185,2,21,1.8758898,59,21903487
186,3,24,1.824447,48,21903487
187,4,20,2.7806587,51,21903487
188,5,43,3.2747402,49,21903487
189,6,23,2.6582515,65,21903487
190,7,25,3.8084939,50,21903487
191,1,34,1.3891383,66,1759538
192,2,22,0.33205447,94,1759538
193,3,27,2.5100396,86,1759538
194,4,22,0.6616337,84,1759538
195,5,27,3.3007123,84,1759538
196,6,14,2.2746518,88,1759538
197,7,12,4.579392,76,1759538
198,8,42,2.9648294,77,1759538
199,9,12,3.2334008,98,1759538
200,10,42,2.5783043,77,1759538
201,1,25,1.5036734,72,4864858
202,2,21,0.51430327,93,4864858
203,3,33,1.2979913,92,4864858
204,4,14,1.0691044,99,4864858
205,5,13,2.0264027,84,4864858
206,6,20,2.8409095,83,4864858
207,7,15,2.3604696,88,4864858
208,8,10,3.3661141,84,4864858
209,9,22,2.935408,81,4864858
210,10,38,2.353516,91,4864858
211,1,25,0.45843706,37,52666398
212,2,41,2.193044,53,52666398
213,3,29,1.9904698,72,52666398
214,4,22,1.7386823,56,52666398
215,5,21,3.0115027,54,52666398
216,6,41,3.479341,55,52666398
217,7,44,2.7803564,70,52666398
218,8,47,3.09722,75,52666398
219,9,45,2.6522856,77,52666398
220,10,16,1.7659711,73,52666398
221,1,19,0.775174,28,10882098
222,2,17,0.41436175,43,10882098
223,3,15,3.9717844,41,10882098
224,4,3,7.3568172,42,10882098
225,5,47,2.5785105,30,10882098
226,6,15,2.2882924,57,10882098
227,7,31,2.8665633,41,10882098
228,8,32,3.306883,47,10882098
229,9,12,3.9979494,53,10882098
230,10,14,3.4207988,39,10882098
231,11,18,2.9840481,40,10882098
232,1,33,1.2414623,48,2756344
233,2,53,1.584795,70,2756344
234,3,24,2.370415,86,2756344
235,4,27,3.6594117,67,2756344
236,5,20,2.9531689,73,2756344
237,6,14,4.0074797,64,2756344
238,7,22,3.506216,59,2756344
239,8,24,3.5157745,68,2756344
240,9,37,2.2065256,69,2756344
241,1,44,1.9307895,43,1029333
242,2,53,0.5800406,80,1029333
243,3,23,4.145165,79,1029333
244,4,18,3.3549087,60,1029333
245,5,30,3.5417266,59,1029333
246,6,44,2.2077432,71,1029333
247,7,36,3.8427112,83,1029333
248,1,8,2.6355424,30,10226407
249,2,8,0.9487938,37,10226407
250,3,25,2.6240666,37,10226407
251,4,32,1.5126866,51,10226407
252,5,38,2.9856155,59,10226407
253,6,43,3.1305516,59,10226407
254,7,34,2.5336113,67,10226407
255,1,11,0.9304432,37,1694580
256,2,21,2.209128,45,1694580
257,3,34,1.2924184,55,1694580
258,4,39,2.484121,60,1694580
259,5,12,3.2770786,68,1694580
260,6,22,3.2694376,49,1694580
261,7,8,5.0271335,56,1694580
262,8,26,3.5196724,45,1694580
263,9,34,3.0561671,60,1694580
264,10,11,1.8273219,68,1694580
265,1,29,0.95099455,50,35642069
266,2,27,1.0704069,73,35642069
267,3,15,1.3938991,76,35642069
268,4,36,2.5033426,64,35642069
269,5,21,2.9992132,80,35642069
270,6,44,2.7087295,69,35642069
271,7,39,1.9437156,89,35642069
272,8,28,1.7116034,87,35642069
273,9,25,2.1740673,75,35642069
274,10,17,2.852409,71,35642069
275,1,13,0.86299145,40,60723503
276,2,17,0.40172157,52,60723503
277,3,71,4.2199054,56,60723503
278,4,37,4.412757,97,60723503
279,5,13,2.3480384,67,60723503
280,6,24,2.4472663,52,60723503
281,7,21,3.1615784,63,60723503
282,8,17,0.9876028,59,60723503
283,9,26,3.2148163,52,60723503
284,1,17,0.91803813,47,59923155
285,2,17,0.44034013,62,59923155
286,3,38,2.8863766,62,59923155
287,4,2,8.03864,80,59923155
288,5,22,3.016116,48,59923155
289,6,152,3.1786728,62,59923155
290,1,51,2.139213,51,3351416
291,2,42,2.9961474,90,3351416
292,3,31,0.7273851,84,3351416
293,4,48,2.9770887,71,3351416
294,5,40,2.272938,90,3351416
295,1,59,0.9888987,59,1740941
296,2,29,0.31283295,100,1740941
297,3,11,4.104137,82,1740941
298,4,46,2.6232946,69,1740941
299,5,25,2.7099955,96,1740941
300,6,19,3.8325298,82,1740941
301,7,12,2.7180111,76,1740941
302,8,13,1.8759365,70,1740941
303,9,15,2.2594144,70,1740941
304,10,18,2.9477737,73,1740941
305,1,19,0.8588599,33,9191770
306,2,21,0.27858695,47,9191770
307,3,21,1.985756,52,9191770
308,4,33,1.835654,51,9191770
309,5,30,2.1459758,63,9191770
310,6,29,2.5161033,61,9191770
311,7,14,2.0210168,59,9191770
312,8,23,2.666838,46,9191770
313,9,13,3.5744352,54,9191770
314,10,57,3.4248302,41,9191770
315,11,7,2.1948302,80,9191770
316,12,11,5.534063,38,9191770
317,1,33,3.0620697,27,25717517
318,2,40,1.9784616,57,25717517
319,3,46,2.4392095,61,25717517
320,4,36,2.6541798,66,25717517
321,5,20,3.3786821,60,25717517
