,num,length,response,context_length,name
0,1,17,2.8088634,0,26709147
1,2,22,1.6495641,12,26709147
2,3,12,2.4679503,31,26709147
3,4,29,1.4629874,40,26709147
4,5,18,2.2330656,54,26709147
5,6,16,1.9766357,51,26709147
6,7,20,2.9348688,56,26709147
7,8,11,2.258795,45,26709147
8,9,4,2.6150868,38,26709147
9,10,16,2.706187,28,26709147
10,11,13,1.597543,27,26709147
11,12,20,1.3583142,30,26709147
12,1,21,2.3489559,0,4508056
13,2,19,2.1800456,18,4508056
14,3,13,2.0359945,34,4508056
15,4,14,2.4341145,45,4508056
16,5,26,1.4209605,40,4508056
17,6,19,1.8952647,43,4508056
18,7,16,1.7576545,49,4508056
19,8,34,2.237726,48,4508056
20,9,22,2.248873,58,4508056
21,10,19,1.9464511,61,4508056
22,1,22,3.6610587,0,50875
23,2,17,1.7385035,21,50875
24,3,31,1.7399323,37,50875
25,4,15,1.6304958,65,50875
26,5,8,2.534908,57,50875
27,6,15,2.1848328,48,50875
28,7,40,2.0164633,33,50875
29,8,23,1.6096486,42,50875
30,9,29,1.9238225,56,50875
31,10,18,1.3300974,70,50875
32,11,18,2.2001019,64,50875
33,12,15,1.75876,60,50875
34,13,1,5.755613,45,50875
35,1,21,2.9326243,0,36670656
36,2,29,1.6354909,16,36670656
37,3,18,1.3261921,39,36670656
38,4,26,1.4011517,54,36670656
39,5,21,1.5108664,58,36670656
40,6,22,1.3251729,54,36670656
41,7,19,1.6238528,59,36670656
42,8,15,1.4414666,57,36670656
43,9,20,1.6606287,49,36670656
44,10,10,2.5479455,47,36670656
45,11,1,0.3815464,38,36670656
46,1,19,4.754695,0,11907622
47,2,31,2.2123442,15,11907622
48,3,42,1.9976605,37,11907622
49,4,28,2.0939276,74,11907622
50,5,16,2.2024982,82,11907622
51,6,28,2.3786824,74,11907622
52,7,25,2.3231924,62,11907622
53,8,22,2.235483,57,11907622
54,9,19,1.98589,63,11907622
55,10,20,2.497101,54,11907622
56,11,16,4.606666,55,11907622
57,1,39,2.4540706,0,4352382
58,2,27,1.1384764,33,4352382
59,3,22,0.7746745,55,4352382
60,4,20,1.4116256,73,4352382
61,5,18,1.4910778,58,4352382
62,6,14,1.5911758,52,4352382
63,7,23,2.163429,47,4352382
64,8,19,1.6839166,49,4352382
