,num,length,response,context_length,name
0,1,17,2.1046538,43,26709147
1,2,22,1.5695717,55,26709147
2,3,12,2.9179122,62,26709147
3,4,29,0.5614981,52,26709147
4,5,18,0.315978,69,26709147
5,6,16,1.9673157,59,26709147
6,7,20,2.8660018,57,26709147
7,8,11,2.1966107,58,26709147
8,9,4,2.803535,52,26709147
9,10,16,2.635041,47,26709147
10,11,13,2.3322253,57,26709147
11,12,20,2.1487377,55,26709147
12,1,21,2.1179435,35,4508056
13,2,19,2.1211367,53,4508056
14,3,13,0.6103866,51,4508056
15,4,14,3.4896004,46,4508056
16,5,26,1.5054687,48,4508056
17,6,19,1.9279921,54,4508056
18,7,16,0.7704388,52,4508056
19,8,34,1.7496233,47,4508056
20,9,22,2.3135884,64,4508056
21,10,19,1.914745,55,4508056
22,1,22,3.1880357,48,50875
23,2,17,0.6675771,69,50875
24,3,31,1.8320273,64,50875
25,4,15,1.552223,76,50875
26,5,8,2.4854727,61,50875
27,6,15,2.209714,55,50875
28,7,40,2.1561413,61,50875
29,8,23,1.5800221,70,50875
30,9,29,1.9268051,69,50875
31,10,18,0.55991644,75,50875
32,11,18,1.0466423,64,50875
33,12,15,1.8308222,65,50875
34,13,1,5.2422953,60,50875
35,1,21,1.5875119,38,36670656
36,2,29,0.94508743,54,36670656
37,3,18,1.4592822,61,36670656
38,4,26,1.4944091,53,36670656
39,5,21,1.5097855,58,36670656
40,6,22,1.5645064,57,36670656
41,7,19,1.4403465,58,36670656
42,8,15,1.5501492,56,36670656
43,9,20,1.5253432,49,36670656
44,10,10,1.3298706,56,36670656
45,11,1,1.0114717,47,36670656
46,1,19,3.4885738,55,11907622
47,2,31,0.24963605,70,11907622
48,3,42,0.7178124,77,11907622
49,4,28,2.2379506,92,11907622
50,5,16,2.1876006,78,11907622
51,6,28,2.4054866,69,11907622
52,7,25,2.5982127,80,11907622
53,8,22,2.3120465,73,11907622
54,9,19,2.4108942,75,11907622
55,10,20,2.3676853,71,11907622
56,11,16,3.1986592,74,11907622
57,1,39,1.4699394,69,4352382
58,2,27,0.46089667,102,4352382
59,3,22,0.92968357,91,4352382
60,4,20,1.4603903,87,4352382
61,5,18,1.6306278,87,4352382
62,6,14,1.7445602,85,4352382
63,7,23,0.7622383,82,4352382
64,8,19,1.4196854,89,4352382
65,9,25,1.4665518,86,4352382
66,10,31,1.357969,93,4352382
67,1,23,0.97021,42,31533973
68,2,26,1.50818,62,31533973
69,3,19,1.8394855,61,31533973
70,4,17,2.046011,59,31533973
71,5,18,1.265473,58,31533973
72,6,17,1.6398475,57,31533973
73,7,18,2.6229992,54,31533973
74,8,17,2.9552927,58,31533973
75,9,25,1.538182,56,31533973
76,10,21,2.5112777,63,31533973
77,11,13,1.9152863,62,31533973
78,12,24,0.7908625,54,31533973
79,13,11,2.3539813,65,31533973
80,1,34,1.4731942,35,758725
81,2,11,0.507055,65,758725
82,3,11,1.576022,45,758725
83,4,24,2.2165716,43,758725
84,5,16,1.8944722,57,758725
85,6,26,1.6075383,49,758725
86,7,19,2.244621,59,758725
87,8,24,1.4690576,53,758725
88,9,35,2.6225166,55,758725
89,10,13,2.6486204,67,758725
90,11,27,2.4672792,46,758725
91,12,16,2.0685315,59,758725
92,1,17,0.62405694,43,39905881
93,2,17,0.46582472,58,39905881
94,3,18,0.34039506,57,39905881
95,4,24,1.3735288,57,39905881
96,5,21,2.467417,61,39905881
97,6,24,1.7192762,61,39905881
98,7,10,1.6951739,64,39905881
99,8,2,0.06618543,50,39905881
100,9,10,3.0467756,44,39905881
101,10,27,3.2661462,52,39905881
102,11,28,1.6334497,67,39905881
103,1,12,0.72763187,28,52727235
104,2,9,0.9881859,39,52727235
105,3,10,1.4893777,36,52727235
106,4,16,1.9576894,36,52727235
107,5,15,2.2416725,42,52727235
108,6,23,1.6646367,41,52727235
109,7,18,2.287581,46,52727235
110,8,11,2.175393,44,52727235
111,9,20,1.7184886,37,52727235
112,10,19,2.1092708,45,52727235
113,1,28,0.5850928,40,8747330
114,2,9,0.813288,63,8747330
115,3,21,1.7820042,48,8747330
116,4,22,1.6292981,55,8747330
117,5,20,2.013765,60,8747330
118,6,25,1.5071454,58,8747330
119,7,24,1.5704736,58,8747330
120,8,23,1.7613791,62,8747330
121,9,17,2.1801667,60,8747330
122,10,11,1.0032791,56,8747330
123,1,17,0.67976695,62,44132726
124,2,14,0.61304694,76,44132726
125,3,17,1.6248806,75,44132726
126,4,22,1.5186859,77,44132726
127,5,20,2.2171266,80,44132726
128,6,29,1.8448862,78,44132726
129,7,28,1.4784224,86,44132726
130,8,24,0.57400095,85,44132726
131,9,20,1.6639123,83,44132726
132,10,15,1.0106574,81,44132726
133,11,11,1.645968,74,44132726
134,12,33,2.0448582,69,44132726
135,13,15,1.9649584,90,44132726
136,1,24,0.54859585,51,19879505
137,2,14,0.5000989,72,19879505
138,3,33,1.4781213,64,19879505
139,4,23,1.8694679,82,19879505
140,5,22,0.6527956,73,19879505
141,6,25,2.1587048,68,19879505
142,7,12,1.3712853,73,19879505
143,8,17,1.8919963,61,19879505
144,9,20,2.832087,67,19879505
145,10,9,1.3650026,69,19879505
146,11,24,1.8745521,58,19879505
147,12,23,1.804356,73,19879505
148,13,23,2.008168,73,19879505
149,14,26,1.7835702,71,19879505
150,1,24,0.4879859,37,54056603
151,2,25,0.3504361,53,54056603
152,3,27,1.082448,58,54056603
153,4,16,2.9003794,58,54056603
154,5,18,3.1005716,51,54056603
155,6,23,1.7968261,53,54056603
156,7,18,2.6475282,57,54056603
157,8,10,2.5474799,52,54056603
158,9,20,2.5200477,46,54056603
159,10,24,1.9665076,52,54056603
160,11,21,1.7902056,59,54056603
161,12,51,1.2606425,51,54056603
162,13,8,2.7610466,68,54056603
163,14,4,1.9391924,44,54056603
164,1,42,0.7406676,34,2093974
165,2,11,1.5569786,68,2093974
166,3,17,2.0983672,42,2093974
167,4,14,1.4787077,49,2093974
168,5,24,1.9769878,47,2093974
169,6,29,1.9749467,56,2093974
170,7,13,2.0236118,59,2093974
171,8,28,1.8579686,46,2093974
172,9,33,1.6096823,61,2093974
173,10,11,2.5524442,62,2093974
174,11,20,1.0057431,43,2093974
175,12,8,1.496063,50,2093974
176,1,8,3.258275,30,25580107
177,2,7,0.7890825,37,25580107
178,3,24,1.045211,36,25580107
179,4,11,1.3088812,52,25580107
180,5,23,1.8735156,38,25580107
181,6,22,1.4107763,50,25580107
182,7,19,1.6106634,51,25580107
183,8,15,0.881014,47,25580107
184,9,29,1.5697519,42,25580107
185,10,31,1.3294961,53,25580107
186,11,17,2.0086257,49,25580107
187,12,20,1.8802427,45,25580107
188,1,16,1.9626707,36,8768710
189,2,13,1.8613971,48,8768710
190,3,13,1.5855223,46,8768710
191,4,18,1.296551,47,8768710
192,5,15,1.3749499,52,8768710
193,6,30,1.9298235,47,8768710
194,7,56,1.4459002,61,8768710
195,8,26,2.3408668,78,8768710
196,9,42,1.5308002,57,8768710
197,10,19,1.3124769,73,8768710
198,11,17,1.4920654,53,8768710
199,1,19,0.33872747,36,575970
200,2,10,0.49530366,50,575970
201,3,26,1.9638736,45,575970
202,4,14,1.010777,59,575970
203,5,18,1.9971505,49,575970
204,6,25,1.7565756,51,575970
205,7,20,2.0492413,56,575970
206,8,14,1.7415591,54,575970
207,9,15,2.6210532,46,575970
208,10,10,2.3080242,50,575970
209,11,23,1.5321212,45,575970
210,12,29,1.4976084,57,575970
211,13,15,2.8082218,63,575970
212,14,12,1.354611,50,575970
213,1,13,1.5994556,70,31030281
214,2,22,1.4474622,80,31030281
